parent_id,id,type
228735667216_10154362591222217,892150694171421,SAD
228735667216_10154362591222217,10152392553387922,LIKE
228735667216_10154362591222217,10203575864771308,ANGRY
228735667216_10154362591222217,114138889110805,LIKE
228735667216_10154362591222217,213306435808193,LIKE
228735667216_10154362591222217,10155675967745635,LIKE
228735667216_10154362591222217,151572545350454,LIKE
228735667216_10154362591222217,119561478561951,LIKE
228735667216_10154362591222217,141750293001084,LIKE
228735667216_10154362591222217,101183697070390,LIKE
228735667216_10154362591222217,156257831546019,WOW
228735667216_10154362591222217,189248731556527,LIKE
228735667216_10154362591222217,114760732334396,LIKE
228735667216_10154362591222217,242918316165990,LIKE
228735667216_10154362591222217,162942364149910,LIKE
228735667216_10154362591222217,122293748285511,LIKE
228735667216_10154362591222217,136644310183853,LIKE
228735667216_10154362591222217,1521345121497901,LIKE
228735667216_10154362591222217,386450511721455,LOVE
228735667216_10154362591222217,166402363834362,LIKE
228735667216_10154362591222217,10203885884320708,LIKE
228735667216_10154362591222217,113400515844738,LIKE
228735667216_10154362591222217,118871668621912,LIKE
228735667216_10154362591222217,104319756755262,LIKE
228735667216_10154362591222217,121310571717628,LIKE
228735667216_10154362591222217,135712033599755,LIKE
228735667216_10154362591222217,147073389110101,LIKE
228735667216_10154362591222217,134989870317231,LIKE
228735667216_10154362591222217,745866282173785,LIKE
228735667216_10154362591222217,101049570416256,LIKE
228735667216_10154362591222217,108231319698102,LIKE
228735667216_10154362591222217,167145170445051,LIKE
228735667216_10154362591222217,255277778243782,ANGRY
228735667216_10154362591222217,478402125681304,LIKE
228735667216_10154362591222217,137025920144134,LIKE
228735667216_10154362591222217,297343504001224,LIKE
228735667216_10154362591222217,167791757044183,LIKE
228735667216_10154362591222217,129364477542656,LIKE
228735667216_10154362591222217,784299518249420,LIKE
228735667216_10154362591222217,185977968535679,LIKE
228735667216_10154362591222217,106578699856574,LIKE
228735667216_10154362591222217,10152120645686292,LIKE
228735667216_10154362591222217,146842642479484,LIKE
228735667216_10154362591222217,263011990731703,LIKE
228735667216_10154362591222217,141797769663674,LIKE
228735667216_10154362591222217,147887579029908,LIKE
228735667216_10154362591222217,103566500128396,LIKE
228735667216_10154362591222217,204705013330314,LIKE
228735667216_10154362591222217,541254382703493,LIKE
228735667216_10154362591222217,134400733690781,LIKE
228735667216_10154362591222217,136426690185441,LIKE
228735667216_10154362591222217,1469451220036793,LIKE
228735667216_10154362591222217,1834036730199812,LIKE
228735667216_10154362591222217,527558644070090,LIKE
228735667216_10154362591222217,107887976396721,LIKE
228735667216_10154362591222217,184903275291695,LIKE
228735667216_10154362591222217,145099602642300,LIKE
228735667216_10154362591222217,111181812733170,LIKE
228735667216_10154362591222217,1604740363160984,LIKE
228735667216_10154362591222217,121618564933077,LIKE
228735667216_10154362591222217,266307133798250,LIKE
228735667216_10154362591222217,1818741051783972,LIKE
228735667216_10154362591222217,170931526718347,LIKE
228735667216_10154362591222217,126540971193259,LIKE
228735667216_10154362591222217,198811870567641,LIKE
228735667216_10154362591222217,114413789025971,LIKE
228735667216_10154362591222217,137243143448391,LIKE
228735667216_10154362591222217,117148955425889,LIKE
228735667216_10154362591222217,110067039511513,LIKE
228735667216_10154362591222217,248704828968326,LIKE
228735667216_10154362591222217,897002480313498,LOVE
228735667216_10154362591222217,137965273379448,LIKE
228735667216_10154362591222217,116992598815964,LIKE
228735667216_10154362591222217,121059321711718,LIKE
228735667216_10154362591222217,189021044831958,LIKE
228735667216_10154362591222217,105833679931866,LIKE
228735667216_10154362591222217,102928353547281,LIKE
228735667216_10154362591222217,157691861397181,LIKE
228735667216_10154362591222217,10153060673589314,LIKE
228735667216_10154362591222217,729900573767890,LIKE
228735667216_10154362591222217,162284364201140,LIKE
228735667216_10154362591222217,117945055385146,LIKE
228735667216_10154362591222217,1621791861431682,LIKE
228735667216_10154362591222217,10203550576620570,LIKE
228735667216_10154362591222217,362591147251502,LIKE
228735667216_10154362591222217,130549720782283,LIKE
228735667216_10154362591222217,591562634360942,LIKE
228735667216_10154362591222217,1799408176987063,LIKE
228735667216_10154362591222217,111698949342959,LIKE
228735667216_10154362591222217,169736603506394,LIKE
228735667216_10154362591222217,253447895143718,LIKE
228735667216_10154362591222217,204939299946105,LIKE
228735667216_10154362591222217,156153841550013,LIKE
