parent_id,id,type
164305410295882_1955517447841327,10210841839215474,LIKE
164305410295882_1955517447841327,10152384109650421,LIKE
164305410295882_1955517447841327,791800790941673,LIKE
164305410295882_1955517447841327,1000990219924765,LIKE
164305410295882_1955517447841327,912601988783961,LIKE
164305410295882_1955517447841327,139864083071285,LIKE
164305410295882_1955517447841327,373502176152728,LIKE
164305410295882_1955517447841327,10205707380908681,LIKE
164305410295882_1955517447841327,744602925561657,LIKE
164305410295882_1955517447841327,10203348055811723,LIKE
164305410295882_1955517447841327,572813969518041,LIKE
164305410295882_1955517447841327,739400226113339,LIKE
164305410295882_1955517447841327,178116102651240,LIKE
164305410295882_1955517447841327,10203582007810750,LIKE
164305410295882_1955517447841327,10205362314756509,LIKE
164305410295882_1955517447841327,267529157015045,LIKE
164305410295882_1955517447841327,10200149898586425,LIKE
164305410295882_1955517447841327,4003264175419,LIKE
164305410295882_1955517447841327,10153020393583778,LIKE
164305410295882_1955517447841327,1701432873402232,LOVE
164305410295882_1955517447841327,10204607051999655,LIKE
164305410295882_1955517447841327,1410550879241025,LIKE
164305410295882_1955517447841327,10152557265613339,LIKE
164305410295882_1955517447841327,1438299119818342,LIKE
164305410295882_1955517447841327,554398861331346,SAD
164305410295882_1955517447841327,10201921170093104,LIKE
164305410295882_1955517447841327,10152762990364180,LIKE
164305410295882_1955517447841327,10152699138659961,LIKE
164305410295882_1955517447841327,10206351359610296,LIKE
164305410295882_1955517447841327,1443043219331905,LIKE
164305410295882_1955517447841327,618557491555603,LIKE
164305410295882_1955517447841327,1450425638612420,LIKE
164305410295882_1955517447841327,342618112609742,LIKE
164305410295882_1955517447841327,334529976732585,LIKE
164305410295882_1955517447841327,10205571313116120,LIKE
164305410295882_1955517447841327,362005353982155,LIKE
164305410295882_1955517447841327,429212530556795,LIKE
164305410295882_1955517447841327,824342374257676,LIKE
164305410295882_1955517447841327,4250018864107,LIKE
164305410295882_1955517447841327,316419168505583,LIKE
164305410295882_1955517447841327,933214026710166,LIKE
164305410295882_1955517447841327,700475523354123,LIKE
164305410295882_1955517447841327,333113533515244,LIKE
164305410295882_1955517447841327,371328983056412,LIKE
164305410295882_1955517447841327,862362460517293,LIKE
164305410295882_1955517447841327,1437946023119295,LIKE
164305410295882_1955517447841327,1788176091507980,LIKE
164305410295882_1955517447841327,10152823193997796,LIKE
164305410295882_1955517447841327,489849111145327,LIKE
164305410295882_1955517447841327,10152443456696529,LIKE
164305410295882_1955517447841327,10152296438599870,ANGRY
