parent_id,id,type
165348596842143_1434743636569293,10152845439614952,LIKE
165348596842143_1434743636569293,10153624142505661,LIKE
165348596842143_1434743636569293,716328625123746,SAD
165348596842143_1434743636569293,10206201686218563,LIKE
165348596842143_1434743636569293,642093252550327,HAHA
165348596842143_1434743636569293,552515424868533,LIKE
165348596842143_1434743636569293,10152493211709013,LIKE
165348596842143_1434743636569293,10153821408949829,LIKE
165348596842143_1434743636569293,885978564753565,LIKE
165348596842143_1434743636569293,357866734557848,LOVE
165348596842143_1434743636569293,887881667924711,LOVE
165348596842143_1434743636569293,10205158075102380,LIKE
165348596842143_1434743636569293,762297287189508,LIKE
165348596842143_1434743636569293,10152136640312833,LIKE
165348596842143_1434743636569293,10152099984190843,SAD
165348596842143_1434743636569293,955035974522814,LIKE
165348596842143_1434743636569293,10202454241815722,LIKE
165348596842143_1434743636569293,10153127872773679,LIKE
165348596842143_1434743636569293,615779371845110,LIKE
165348596842143_1434743636569293,623311091093569,ANGRY
165348596842143_1434743636569293,10203564841696018,ANGRY
165348596842143_1434743636569293,10152641514106772,LOVE
165348596842143_1434743636569293,10153420649860864,LOVE
165348596842143_1434743636569293,10204503980073796,ANGRY
165348596842143_1434743636569293,10152377904695474,LIKE
165348596842143_1434743636569293,495796903908814,LIKE
165348596842143_1434743636569293,10205151283205377,LIKE
165348596842143_1434743636569293,10202519982133522,ANGRY
165348596842143_1434743636569293,10202938146751235,LIKE
165348596842143_1434743636569293,10152266052587470,LIKE
165348596842143_1434743636569293,10153039531168628,LIKE
165348596842143_1434743636569293,1723428114557027,LIKE
165348596842143_1434743636569293,300351596815199,LOVE
165348596842143_1434743636569293,822872351083544,LIKE
165348596842143_1434743636569293,727097504066677,LIKE
165348596842143_1434743636569293,834693706563160,LIKE
165348596842143_1434743636569293,545830728856047,LIKE
165348596842143_1434743636569293,1496393183916051,LIKE
165348596842143_1434743636569293,816988608353218,LIKE
165348596842143_1434743636569293,303482109853605,LIKE
165348596842143_1434743636569293,141266896270438,LIKE
165348596842143_1434743636569293,445751102227220,LIKE
165348596842143_1434743636569293,1231774396933092,LIKE
165348596842143_1434743636569293,10152512360424319,ANGRY
165348596842143_1434743636569293,873072339376324,ANGRY
165348596842143_1434743636569293,10152467141253854,LIKE
165348596842143_1434743636569293,595363357226935,LIKE
165348596842143_1434743636569293,826116587474257,LIKE
165348596842143_1434743636569293,10204009376584272,ANGRY
165348596842143_1434743636569293,10155314802555258,LIKE
165348596842143_1434743636569293,954371967922424,LIKE
165348596842143_1434743636569293,10152321701177356,LOVE
165348596842143_1434743636569293,872833702746971,LIKE
165348596842143_1434743636569293,785261501484280,LIKE
165348596842143_1434743636569293,10205298783219399,LIKE
165348596842143_1434743636569293,10203101744839670,LIKE
165348596842143_1434743636569293,553986458074451,LIKE
165348596842143_1434743636569293,716386505091148,WOW
165348596842143_1434743636569293,10153564931993659,LIKE
165348596842143_1434743636569293,457817154321658,LIKE
165348596842143_1434743636569293,767551450003907,LIKE
165348596842143_1434743636569293,10152311152676998,ANGRY
165348596842143_1434743636569293,10153075952628724,LIKE
165348596842143_1434743636569293,10203267953236680,ANGRY
165348596842143_1434743636569293,855918154477850,LIKE
165348596842143_1434743636569293,1395883280717284,LIKE
165348596842143_1434743636569293,237376893308634,LIKE
165348596842143_1434743636569293,10203232991179644,LIKE
165348596842143_1434743636569293,148815822297442,LIKE
165348596842143_1434743636569293,10203671779623948,LIKE
165348596842143_1434743636569293,1625016471069319,LIKE
165348596842143_1434743636569293,10152133676021088,LIKE
165348596842143_1434743636569293,629228923827289,LIKE
165348596842143_1434743636569293,10204555236354176,LIKE
165348596842143_1434743636569293,832176923499983,LIKE
165348596842143_1434743636569293,239256496493033,LIKE
165348596842143_1434743636569293,10152373096026565,LOVE
165348596842143_1434743636569293,10202736208198781,LIKE
165348596842143_1434743636569293,500852490042483,LIKE
165348596842143_1434743636569293,10154134796655171,LOVE
165348596842143_1434743636569293,10155114130175173,LIKE
165348596842143_1434743636569293,10152712556091005,ANGRY
165348596842143_1434743636569293,385554054915681,LOVE
165348596842143_1434743636569293,10152845027278413,LOVE
165348596842143_1434743636569293,10153251044381258,LIKE
165348596842143_1434743636569293,1520280034907874,LIKE
165348596842143_1434743636569293,833515896680842,LIKE
165348596842143_1434743636569293,926278084082868,SAD
165348596842143_1434743636569293,10202365091633518,LIKE
165348596842143_1434743636569293,10203706881822534,ANGRY
165348596842143_1434743636569293,329320123928240,LIKE
165348596842143_1434743636569293,952951374728852,LIKE
165348596842143_1434743636569293,10153332722128782,ANGRY
165348596842143_1434743636569293,931197673559252,LIKE
165348596842143_1434743636569293,859968387353947,LIKE
165348596842143_1434743636569293,776490029094719,LIKE
165348596842143_1434743636569293,1493799517528863,LIKE
