parent_id,id,type
8860325749_10154931960880750,112769749139172,LIKE
8860325749_10154931960880750,152088565289568,LIKE
8860325749_10154931960880750,889920107702016,LIKE
8860325749_10154931960880750,1189327997759322,LIKE
8860325749_10154931960880750,10153289514974199,SAD
8860325749_10154931960880750,1435207236699790,LIKE
8860325749_10154931960880750,468117740002031,LIKE
8860325749_10154931960880750,10152378669904813,LIKE
8860325749_10154931960880750,10100197865218794,HAHA
8860325749_10154931960880750,787808127896244,LIKE
8860325749_10154931960880750,10153756789953532,SAD
8860325749_10154931960880750,10202871317597894,LIKE
8860325749_10154931960880750,719697531420153,ANGRY
8860325749_10154931960880750,451276301682317,SAD
8860325749_10154931960880750,730733263683312,LIKE
8860325749_10154931960880750,10203898742428768,LIKE
8860325749_10154931960880750,137568733419758,LIKE
8860325749_10154931960880750,10152174736098392,WOW
8860325749_10154931960880750,10152016414047466,SAD
8860325749_10154931960880750,10152112239073041,SAD
8860325749_10154931960880750,10205248610048058,LIKE
8860325749_10154931960880750,10152377056049208,LIKE
8860325749_10154931960880750,790917144318803,SAD
8860325749_10154931960880750,10203936458600959,LIKE
8860325749_10154931960880750,10153936629418672,LIKE
8860325749_10154931960880750,945887332089746,ANGRY
8860325749_10154931960880750,1043785072317701,LIKE
8860325749_10154931960880750,766361140049559,LIKE
8860325749_10154931960880750,741928082505898,LIKE
8860325749_10154931960880750,10152230029960728,SAD
8860325749_10154931960880750,664861706939800,ANGRY
8860325749_10154931960880750,10202075031584411,HAHA
8860325749_10154931960880750,10152415497338417,SAD
8860325749_10154931960880750,10203890232158896,SAD
8860325749_10154931960880750,1518725878377501,LIKE
8860325749_10154931960880750,10153802135026082,SAD
8860325749_10154931960880750,10100503322879659,LIKE
8860325749_10154931960880750,1180025025342158,SAD
8860325749_10154931960880750,10201234789106778,LIKE
8860325749_10154931960880750,10204735240891152,HAHA
8860325749_10154931960880750,10153886995978084,ANGRY
8860325749_10154931960880750,858810124146628,ANGRY
8860325749_10154931960880750,10152066363593597,LIKE
8860325749_10154931960880750,781547091864584,LIKE
8860325749_10154931960880750,10152452449118481,HAHA
8860325749_10154931960880750,650017278384689,LIKE
8860325749_10154931960880750,10202440471687071,LIKE
8860325749_10154931960880750,781842308504484,LIKE
8860325749_10154931960880750,10153521545797442,LIKE
8860325749_10154931960880750,1111430075541055,SAD
8860325749_10154931960880750,10152788569045210,SAD
8860325749_10154931960880750,668044633230912,LIKE
8860325749_10154931960880750,193455374355721,ANGRY
8860325749_10154931960880750,10153075253092728,SAD
8860325749_10154931960880750,10152575604582154,LIKE
8860325749_10154931960880750,1465457773686794,SAD
8860325749_10154931960880750,10152566793989952,LIKE
8860325749_10154931960880750,228986880629479,LIKE
8860325749_10154931960880750,10204364396737279,WOW
8860325749_10154931960880750,749743391732203,LIKE
8860325749_10154931960880750,654723431248575,LIKE
8860325749_10154931960880750,1228830623806104,LIKE
8860325749_10154931960880750,10203200897845578,SAD
8860325749_10154931960880750,10152339554567217,LIKE
8860325749_10154931960880750,10204274834085268,SAD
8860325749_10154931960880750,10152102590461700,LIKE
8860325749_10154931960880750,10152675762278116,LIKE
8860325749_10154931960880750,891281274223010,SAD
8860325749_10154931960880750,839483086083101,LIKE
8860325749_10154931960880750,101726403679125,LIKE
8860325749_10154931960880750,10101371054813958,ANGRY
8860325749_10154931960880750,10153042197847246,SAD
8860325749_10154931960880750,126490491187465,SAD
8860325749_10154931960880750,10152853924808632,SAD
8860325749_10154931960880750,274491722724860,LIKE
8860325749_10154931960880750,10203816055066762,LIKE
8860325749_10154931960880750,10152550648312684,LIKE
8860325749_10154931960880750,10205102735986949,ANGRY
8860325749_10154931960880750,646813048722628,LIKE
8860325749_10154931960880750,10153072923900942,LIKE
8860325749_10154931960880750,10151985713415738,LIKE
8860325749_10154931960880750,1400881533537097,LIKE
8860325749_10154931960880750,10202103465068255,LIKE
8860325749_10154931960880750,313707708822720,LIKE
8860325749_10154931960880750,10205444941745805,SAD
8860325749_10154931960880750,1644725905760817,WOW
8860325749_10154931960880750,10205173433684696,LIKE
8860325749_10154931960880750,830550950351485,LIKE
8860325749_10154931960880750,130540354111658,LIKE
8860325749_10154931960880750,10200818698105639,LIKE
8860325749_10154931960880750,10202703643786403,LIKE
8860325749_10154931960880750,862242003820569,SAD
8860325749_10154931960880750,393739870799412,LIKE
8860325749_10154931960880750,10100753722066745,WOW
8860325749_10154931960880750,119955138382854,LIKE
8860325749_10154931960880750,10153014801414465,ANGRY
8860325749_10154931960880750,717667748284622,HAHA
8860325749_10154931960880750,719337831422944,SAD
8860325749_10154931960880750,10201288093642954,LIKE
8860325749_10154931960880750,10152560795767335,LIKE
8860325749_10154931960880750,10203111133292175,LIKE
8860325749_10154931960880750,529782790476157,LIKE
8860325749_10154931960880750,10204221649562706,LIKE
8860325749_10154931960880750,125357544595774,LIKE
8860325749_10154931960880750,924027687625511,LIKE
8860325749_10154931960880750,120006358506138,LIKE
8860325749_10154931960880750,10203437827248302,LIKE
8860325749_10154931960880750,10206281010934019,LIKE
8860325749_10154931960880750,10205326792903143,LIKE
8860325749_10154931960880750,10153354451669496,SAD
8860325749_10154931960880750,844449815607240,LIKE
8860325749_10154931960880750,10203791179526340,LIKE
8860325749_10154931960880750,10152802579308841,LIKE
8860325749_10154931960880750,643682145759252,LIKE
8860325749_10154931960880750,10153031617825259,WOW
8860325749_10154931960880750,10205264506642873,SAD
8860325749_10154931960880750,10202774857986215,ANGRY
8860325749_10154931960880750,182422195504598,LIKE
8860325749_10154931960880750,10203106404087973,LIKE
8860325749_10154931960880750,10152163759892823,ANGRY
8860325749_10154931960880750,852255881502684,HAHA
8860325749_10154931960880750,896182863729254,LIKE
8860325749_10154931960880750,831748153514722,LIKE
8860325749_10154931960880750,1074275282616861,LOVE
8860325749_10154931960880750,1398435657150617,LIKE
8860325749_10154931960880750,784885084876872,LIKE
8860325749_10154931960880750,247207812302259,SAD
8860325749_10154931960880750,10152493626105845,SAD
8860325749_10154931960880750,10205169421380938,LIKE
8860325749_10154931960880750,10152315957886321,LIKE
8860325749_10154931960880750,10203551985454653,SAD
8860325749_10154931960880750,10152739193988593,WOW
8860325749_10154931960880750,10153908362508377,LIKE
8860325749_10154931960880750,10152329800637918,SAD
8860325749_10154931960880750,596302647132906,WOW
8860325749_10154931960880750,10203063832703982,LIKE
8860325749_10154931960880750,10100099164265841,LIKE
8860325749_10154931960880750,10153219613099871,LIKE
8860325749_10154931960880750,566408353458713,LIKE
8860325749_10154931960880750,10100751604884594,WOW
8860325749_10154931960880750,965281280168039,LIKE
8860325749_10154931960880750,778949778890904,WOW
8860325749_10154931960880750,122103571623865,LIKE
8860325749_10154931960880750,1058382927528824,LIKE
8860325749_10154931960880750,590022197768654,HAHA
8860325749_10154931960880750,10204737613572963,LIKE
8860325749_10154931960880750,10205219438460990,LIKE
8860325749_10154931960880750,10152942359833793,SAD
8860325749_10154931960880750,10152568501945139,LIKE
8860325749_10154931960880750,1498324420429240,LIKE
8860325749_10154931960880750,158520597979818,LIKE
8860325749_10154931960880750,10203748548218912,LIKE
8860325749_10154931960880750,529340170609989,LIKE
8860325749_10154931960880750,129504850881864,LIKE
8860325749_10154931960880750,10152679342598512,LIKE
8860325749_10154931960880750,10152965093801178,LOVE
8860325749_10154931960880750,364326287081730,LIKE
8860325749_10154931960880750,1520074988269381,LIKE
8860325749_10154931960880750,545676502210308,LIKE
