parent_id,id,type
10513336322_10155060913051323,985913794768175,ANGRY
10513336322_10155060913051323,10204384593429711,ANGRY
10513336322_10155060913051323,10153337568864762,SAD
10513336322_10155060913051323,10152753460426913,ANGRY
10513336322_10155060913051323,10152322096744109,ANGRY
10513336322_10155060913051323,10152754741948466,ANGRY
10513336322_10155060913051323,10206919365998542,ANGRY
10513336322_10155060913051323,10154389411866802,LIKE
10513336322_10155060913051323,10151984548991640,ANGRY
10513336322_10155060913051323,10153367501388409,LIKE
10513336322_10155060913051323,10152102611562869,LIKE
10513336322_10155060913051323,635327923225855,LIKE
10513336322_10155060913051323,1627768400877020,LIKE
10513336322_10155060913051323,782632975121041,LIKE
10513336322_10155060913051323,10200169742482058,ANGRY
10513336322_10155060913051323,874784049276856,LIKE
10513336322_10155060913051323,842164739151797,LIKE
10513336322_10155060913051323,534271973368816,LIKE
10513336322_10155060913051323,928605033834842,LIKE
10513336322_10155060913051323,10204684226130637,LIKE
10513336322_10155060913051323,10152914842310728,LIKE
10513336322_10155060913051323,10203750053454811,SAD
10513336322_10155060913051323,10152592931328785,LIKE
10513336322_10155060913051323,10152417729932747,ANGRY
10513336322_10155060913051323,10154724011765304,ANGRY
10513336322_10155060913051323,881215511910871,LIKE
10513336322_10155060913051323,1534713946767153,LIKE
10513336322_10155060913051323,10153117887771959,LIKE
10513336322_10155060913051323,10152875708682247,HAHA
10513336322_10155060913051323,731898826862688,SAD
10513336322_10155060913051323,10153373211306381,LIKE
10513336322_10155060913051323,234707443393503,WOW
10513336322_10155060913051323,10203563518957752,SAD
10513336322_10155060913051323,10152814999129148,LIKE
10513336322_10155060913051323,1037466322941036,LIKE
10513336322_10155060913051323,10154955413444698,LIKE
10513336322_10155060913051323,911354438909776,SAD
10513336322_10155060913051323,182125348826663,LIKE
10513336322_10155060913051323,10152381954993255,LIKE
10513336322_10155060913051323,10153229731774362,LIKE
10513336322_10155060913051323,345488098950816,LIKE
10513336322_10155060913051323,10202431507523605,LIKE
10513336322_10155060913051323,10152759000786772,SAD
10513336322_10155060913051323,10152945233777692,LIKE
10513336322_10155060913051323,902403456457772,LIKE
10513336322_10155060913051323,10203300326449986,LIKE
10513336322_10155060913051323,10152137856201377,LIKE
