parent_id,id,type
13312631635_10154475383436636,10152388104656471,SAD
13312631635_10154475383436636,133027520545898,LIKE
13312631635_10154475383436636,10203930349413543,LIKE
13312631635_10154475383436636,154171678290566,LIKE
13312631635_10154475383436636,738505662864437,SAD
13312631635_10154475383436636,987319624623455,LIKE
13312631635_10154475383436636,10152492199694180,ANGRY
13312631635_10154475383436636,165576980463329,SAD
13312631635_10154475383436636,10152811250313223,ANGRY
13312631635_10154475383436636,10153005630414496,ANGRY
13312631635_10154475383436636,10152702143565180,LIKE
13312631635_10154475383436636,116067468882582,LIKE
13312631635_10154475383436636,10152689573143384,LIKE
13312631635_10154475383436636,10152019059422793,WOW
13312631635_10154475383436636,10152512351783937,LIKE
13312631635_10154475383436636,844449815607240,LIKE
13312631635_10154475383436636,10152926888314025,SAD
13312631635_10154475383436636,506184896160324,SAD
13312631635_10154475383436636,476833692444636,LIKE
13312631635_10154475383436636,693816347393684,LIKE
13312631635_10154475383436636,10152786944436019,LIKE
13312631635_10154475383436636,742988289112413,LIKE
13312631635_10154475383436636,10207668513168477,LOVE
13312631635_10154475383436636,161690660835128,LIKE
13312631635_10154475383436636,10152082176961560,ANGRY
13312631635_10154475383436636,10152022027100882,SAD
13312631635_10154475383436636,735081053181872,ANGRY
13312631635_10154475383436636,777581305628526,LIKE
13312631635_10154475383436636,334321703416060,LIKE
13312631635_10154475383436636,10204937524135882,ANGRY
13312631635_10154475383436636,10206142747862898,HAHA
13312631635_10154475383436636,585104144928804,LIKE
13312631635_10154475383436636,1668902786676626,LOVE
13312631635_10154475383436636,10152329377895900,ANGRY
13312631635_10154475383436636,10203448921036849,SAD
13312631635_10154475383436636,10203391339042122,LIKE
13312631635_10154475383436636,10154041147185273,SAD
13312631635_10154475383436636,905335389476964,LIKE
13312631635_10154475383436636,1421247861469034,LIKE
13312631635_10154475383436636,10202519982133522,ANGRY
13312631635_10154475383436636,935004223184101,LIKE
13312631635_10154475383436636,10153065387694001,SAD
13312631635_10154475383436636,1446058685714522,LIKE
13312631635_10154475383436636,10152890820915893,LIKE
13312631635_10154475383436636,10200942875293930,LIKE
13312631635_10154475383436636,10204596453298237,SAD
13312631635_10154475383436636,10153280189210817,WOW
13312631635_10154475383436636,10152750108651038,LIKE
13312631635_10154475383436636,10205303123878946,LIKE
13312631635_10154475383436636,138015453229859,LIKE
13312631635_10154475383436636,1509340805997270,LIKE
13312631635_10154475383436636,10203843244744974,LIKE
