parent_id,id,type
161385360554578_1777579698935128,1518132011778858,LOVE
161385360554578_1777579698935128,1479134685725979,LIKE
161385360554578_1777579698935128,1579870815612507,LIKE
161385360554578_1777579698935128,445695838924165,LIKE
161385360554578_1777579698935128,659853374083689,LIKE
161385360554578_1777579698935128,233649823811970,LIKE
161385360554578_1777579698935128,1527573523972433,LIKE
161385360554578_1777579698935128,511215582314170,LIKE
161385360554578_1777579698935128,10155035324650517,LIKE
161385360554578_1777579698935128,702771663169723,LIKE
161385360554578_1777579698935128,160809660977992,LIKE
161385360554578_1777579698935128,10201991939175809,LIKE
161385360554578_1777579698935128,136143170133049,SAD
161385360554578_1777579698935128,788982244445370,LIKE
161385360554578_1777579698935128,762555240485040,LIKE
161385360554578_1777579698935128,1577632015800914,LIKE
161385360554578_1777579698935128,10154223836649192,LIKE
161385360554578_1777579698935128,10204969276975614,LIKE
161385360554578_1777579698935128,145694179149773,LIKE
161385360554578_1777579698935128,1482790712009788,LIKE
161385360554578_1777579698935128,115107442303069,LIKE
161385360554578_1777579698935128,665493146849741,LIKE
161385360554578_1777579698935128,990182304334843,LIKE
161385360554578_1777579698935128,10203431951742569,LOVE
161385360554578_1777579698935128,10200986018332900,LIKE
161385360554578_1777579698935128,1782507545330240,LIKE
161385360554578_1777579698935128,985033591546706,LIKE
161385360554578_1777579698935128,10202523627150524,LIKE
161385360554578_1777579698935128,1530272993882038,LIKE
161385360554578_1777579698935128,977006965643979,LIKE
161385360554578_1777579698935128,915363145146768,LIKE
161385360554578_1777579698935128,865773710133366,LIKE
161385360554578_1777579698935128,10153054207302520,LIKE
161385360554578_1777579698935128,10205409798504370,ANGRY
161385360554578_1777579698935128,721306181272977,LOVE
161385360554578_1777579698935128,580661778746316,LIKE
161385360554578_1777579698935128,1451867115086964,LIKE
161385360554578_1777579698935128,266518923534401,LIKE
161385360554578_1777579698935128,10152583722954514,LIKE
161385360554578_1777579698935128,913286478697455,LIKE
161385360554578_1777579698935128,535049619989343,LIKE
161385360554578_1777579698935128,10203479568658616,LIKE
161385360554578_1777579698935128,1000044386714920,LOVE
161385360554578_1777579698935128,236369586876343,LIKE
161385360554578_1777579698935128,10205831943987455,LIKE
161385360554578_1777579698935128,10152273026059088,LIKE
161385360554578_1777579698935128,10154670091446570,LIKE
161385360554578_1777579698935128,10152812773974484,LIKE
161385360554578_1777579698935128,120963694917415,LIKE
161385360554578_1777579698935128,722512461177367,LIKE
161385360554578_1777579698935128,10203589781969318,LIKE
161385360554578_1777579698935128,10154071284855057,LIKE
161385360554578_1777579698935128,10203515303736915,LIKE
161385360554578_1777579698935128,10200723511450299,LIKE
161385360554578_1777579698935128,10206302811546327,LOVE
161385360554578_1777579698935128,10152702349889586,LIKE
161385360554578_1777579698935128,914786061868087,LIKE
161385360554578_1777579698935128,10152410984652909,LIKE
161385360554578_1777579698935128,10152477919352027,LIKE
161385360554578_1777579698935128,921005307961843,LIKE
161385360554578_1777579698935128,10152232263142391,LIKE
161385360554578_1777579698935128,10205928215426206,LIKE
161385360554578_1777579698935128,10202123334708949,LIKE
161385360554578_1777579698935128,1702983079943633,LIKE
161385360554578_1777579698935128,10205569914629467,LIKE
161385360554578_1777579698935128,10152631210825930,LIKE
161385360554578_1777579698935128,668159419912396,LIKE
161385360554578_1777579698935128,10152417232291832,LOVE
161385360554578_1777579698935128,10203403992607735,LIKE
161385360554578_1777579698935128,459492684225036,LIKE
161385360554578_1777579698935128,156824741464544,LIKE
161385360554578_1777579698935128,581282631979553,LIKE
161385360554578_1777579698935128,10202576197658858,LIKE
161385360554578_1777579698935128,10152984400639757,LIKE
161385360554578_1777579698935128,1714585968816784,LIKE
161385360554578_1777579698935128,1433199063669890,LIKE
161385360554578_1777579698935128,10204365965891387,LIKE
161385360554578_1777579698935128,612084415581578,LIKE
161385360554578_1777579698935128,802357173237155,LIKE
161385360554578_1777579698935128,10203844361056507,LIKE
