parent_id,id,type
228735667216_10154489308442217,1057273091071338,LIKE
228735667216_10154489308442217,182652762270910,LIKE
228735667216_10154489308442217,321299794976164,LIKE
228735667216_10154489308442217,244060669420564,LIKE
228735667216_10154489308442217,195953664267435,LIKE
228735667216_10154489308442217,185330588668425,LIKE
228735667216_10154489308442217,223391848182002,LIKE
228735667216_10154489308442217,855296037952697,LIKE
228735667216_10154489308442217,188623558338875,LIKE
228735667216_10154489308442217,312536265867460,HAHA
228735667216_10154489308442217,180938405776557,LIKE
228735667216_10154489308442217,188069295061812,LIKE
228735667216_10154489308442217,288558074950909,LIKE
228735667216_10154489308442217,169165436957317,LIKE
228735667216_10154489308442217,192735947926990,LIKE
228735667216_10154489308442217,1901794166760879,LIKE
228735667216_10154489308442217,191442131388623,LIKE
228735667216_10154489308442217,201205097075119,LIKE
228735667216_10154489308442217,237327903452677,LIKE
228735667216_10154489308442217,179724622567828,LIKE
228735667216_10154489308442217,192512391281928,LIKE
228735667216_10154489308442217,237384100099468,LIKE
228735667216_10154489308442217,449203958769157,LIKE
228735667216_10154489308442217,242250492955761,LIKE
228735667216_10154489308442217,238398316674200,LIKE
228735667216_10154489308442217,286027571870255,LIKE
228735667216_10154489308442217,197226254139167,LIKE
228735667216_10154489308442217,246720265824800,LIKE
228735667216_10154489308442217,202131500316062,LIKE
228735667216_10154489308442217,182163898987250,LIKE
228735667216_10154489308442217,242661249581638,LIKE
228735667216_10154489308442217,318591138582779,LIKE
228735667216_10154489308442217,201178247076974,LIKE
228735667216_10154489308442217,320347421724444,LIKE
228735667216_10154489308442217,1401272166593823,ANGRY
228735667216_10154489308442217,1482686901801831,LIKE
228735667216_10154489308442217,179671975905329,LIKE
228735667216_10154489308442217,172850579920826,LIKE
228735667216_10154489308442217,1969289409983116,LIKE
228735667216_10154489308442217,2040259486197885,LIKE
228735667216_10154489308442217,194940444370741,LIKE
228735667216_10154489308442217,182202515649919,LIKE
228735667216_10154489308442217,348915892194724,LIKE
228735667216_10154489308442217,245708512597293,LIKE
228735667216_10154489308442217,245939612588535,LIKE
228735667216_10154489308442217,1363931036989565,LIKE
228735667216_10154489308442217,443512569356888,LIKE
228735667216_10154489308442217,10155479685934784,LIKE
228735667216_10154489308442217,841933495959995,LIKE
228735667216_10154489308442217,733945643444989,LIKE
228735667216_10154489308442217,184909688709012,LIKE
228735667216_10154489308442217,321077608330938,LIKE
228735667216_10154489308442217,1376985945723446,LIKE
228735667216_10154489308442217,238627866652442,LIKE
228735667216_10154489308442217,1583216938417302,LIKE
228735667216_10154489308442217,814359625390161,LIKE
228735667216_10154489308442217,1522146954509736,LIKE
228735667216_10154489308442217,793925357438074,SAD
228735667216_10154489308442217,283987305402928,LIKE
228735667216_10154489308442217,1513201272079208,LIKE
228735667216_10154489308442217,301766966960694,LIKE
228735667216_10154489308442217,170937500113152,LIKE
228735667216_10154489308442217,419433038450362,LIKE
228735667216_10154489308442217,180124262524155,LIKE
228735667216_10154489308442217,1926154524321429,LIKE
228735667216_10154489308442217,1615081668577191,LIKE
228735667216_10154489308442217,329541834146269,LIKE
228735667216_10154489308442217,238986003273181,LIKE
228735667216_10154489308442217,190315254835052,LIKE
228735667216_10154489308442217,212767252579902,LIKE
228735667216_10154489308442217,10209260591807101,LIKE
228735667216_10154489308442217,204682360059585,LIKE
228735667216_10154489308442217,1961125200790203,LIKE
228735667216_10154489308442217,176637796208746,LIKE
228735667216_10154489308442217,225184871335491,LIKE
228735667216_10154489308442217,331139833974297,LIKE
228735667216_10154489308442217,303410386786672,LIKE
228735667216_10154489308442217,1535471099838778,LIKE
228735667216_10154489308442217,1356064664447039,LIKE
228735667216_10154489308442217,10155324330441063,SAD
228735667216_10154489308442217,10155430628574437,LIKE
228735667216_10154489308442217,445497212492783,LIKE
228735667216_10154489308442217,1410316015727164,ANGRY
228735667216_10154489308442217,203361783521903,LIKE
228735667216_10154489308442217,255144491636391,LIKE
228735667216_10154489308442217,10209749938251217,LIKE
228735667216_10154489308442217,10156322229648452,ANGRY
228735667216_10154489308442217,1611903522156052,SAD
228735667216_10154489308442217,319236295199647,LIKE
228735667216_10154489308442217,10209148582664385,LIKE
228735667216_10154489308442217,368698900199830,LIKE
228735667216_10154489308442217,10213627407106125,SAD
228735667216_10154489308442217,10212053556727966,LIKE
228735667216_10154489308442217,10213480477589912,LIKE
228735667216_10154489308442217,471497929870638,LIKE
228735667216_10154489308442217,202607390265665,LIKE
228735667216_10154489308442217,217238925464862,LIKE
228735667216_10154489308442217,184372208765094,LIKE
228735667216_10154489308442217,238231890027624,HAHA
228735667216_10154489308442217,241287396364873,LIKE
228735667216_10154489308442217,1928879597330300,LIKE
228735667216_10154489308442217,349499865468908,LIKE
228735667216_10154489308442217,191923124671992,LIKE
228735667216_10154489308442217,250217045479799,LIKE
228735667216_10154489308442217,238200406685436,LIKE
228735667216_10154489308442217,846568372166249,LIKE
228735667216_10154489308442217,673456152843943,LIKE
228735667216_10154489308442217,192191391311823,LIKE
228735667216_10154489308442217,1531186806933647,LIKE
228735667216_10154489308442217,206426243216202,LIKE
228735667216_10154489308442217,323464598109931,LIKE
228735667216_10154489308442217,323300948082360,LIKE
228735667216_10154489308442217,442045372846633,LIKE
228735667216_10154489308442217,238749439962583,LOVE
228735667216_10154489308442217,234348710409103,LIKE
228735667216_10154489308442217,205261060002090,LIKE
228735667216_10154489308442217,294568897682694,LIKE
228735667216_10154489308442217,764262060420228,LIKE
228735667216_10154489308442217,331364060629750,LIKE
228735667216_10154489308442217,188580225009201,LIKE
228735667216_10154489308442217,251119892056738,LIKE
228735667216_10154489308442217,182263575644133,LIKE
228735667216_10154489308442217,429170364149377,LIKE
228735667216_10154489308442217,1915783732012542,LIKE
228735667216_10154489308442217,192088127990250,LIKE
228735667216_10154489308442217,306516063087357,LIKE
228735667216_10154489308442217,1385351778212751,LIKE
228735667216_10154489308442217,309540029490764,LIKE
228735667216_10154489308442217,1295240430573482,LIKE
228735667216_10154489308442217,1387987814571179,LIKE
228735667216_10154489308442217,10213767868170237,LIKE
228735667216_10154489308442217,203226916870230,LIKE
228735667216_10154489308442217,10213695974380760,SAD
228735667216_10154489308442217,248432418991116,LIKE
228735667216_10154489308442217,185621228639350,LIKE
228735667216_10154489308442217,822040407947720,LIKE
228735667216_10154489308442217,10159127210625106,LIKE
228735667216_10154489308442217,763714397124007,LIKE
228735667216_10154489308442217,256435741501468,SAD
228735667216_10154489308442217,1059909050819415,LIKE
228735667216_10154489308442217,987610828046618,LIKE
228735667216_10154489308442217,10155471318379282,SAD
228735667216_10154489308442217,176465012891605,LIKE
228735667216_10154489308442217,10156268573497388,ANGRY
228735667216_10154489308442217,181232305746850,LIKE
228735667216_10154489308442217,10155021617182982,LIKE
228735667216_10154489308442217,189782364888931,LIKE
228735667216_10154489308442217,757289134443822,LIKE
228735667216_10154489308442217,269579053518631,LIKE
228735667216_10154489308442217,185556348646858,LIKE
228735667216_10154489308442217,1391484814220610,SAD
228735667216_10154489308442217,1547083008669046,LIKE
228735667216_10154489308442217,194289917768655,LIKE
228735667216_10154489308442217,232171517293177,LIKE
228735667216_10154489308442217,582920675429534,LIKE
228735667216_10154489308442217,10154893551264372,LIKE
228735667216_10154489308442217,1877607905893978,LIKE
228735667216_10154489308442217,207731096417882,LIKE
228735667216_10154489308442217,240123563152596,LIKE
228735667216_10154489308442217,1399458020147214,LIKE
228735667216_10154489308442217,10155437834067790,LIKE
228735667216_10154489308442217,297124150750031,LIKE
228735667216_10154489308442217,10154794219378437,LIKE
228735667216_10154489308442217,239439416558032,LIKE
228735667216_10154489308442217,223966008124749,LIKE
228735667216_10154489308442217,839615282882500,LIKE
228735667216_10154489308442217,1335917899859873,LIKE
228735667216_10154489308442217,185860291950545,LIKE
228735667216_10154489308442217,255023734981000,LIKE
228735667216_10154489308442217,1745960532367768,LIKE
228735667216_10154489308442217,2027730290585921,LIKE
228735667216_10154489308442217,179448599259796,LIKE
228735667216_10154489308442217,1542056745869198,LOVE
228735667216_10154489308442217,10213461284185240,WOW
228735667216_10154489308442217,454491574915828,LIKE
228735667216_10154489308442217,205434206649237,LIKE
228735667216_10154489308442217,250268672130610,LIKE
228735667216_10154489308442217,196099274255286,LIKE
