parent_id,id,type
164305410295882_2086621124730958,1608512622506146,LIKE
164305410295882_2086621124730958,1407608829330733,LIKE
164305410295882_2086621124730958,1467244923343056,LIKE
164305410295882_2086621124730958,1615262545151084,LIKE
164305410295882_2086621124730958,10154924129299755,LIKE
164305410295882_2086621124730958,1380276248675342,LIKE
164305410295882_2086621124730958,311724172583877,LIKE
164305410295882_2086621124730958,1968971283332535,LIKE
164305410295882_2086621124730958,10203388797677052,LIKE
164305410295882_2086621124730958,190885718111313,LIKE
164305410295882_2086621124730958,10155461442151532,LOVE
164305410295882_2086621124730958,1862423980685954,LIKE
164305410295882_2086621124730958,1590635577635804,LIKE
164305410295882_2086621124730958,1817025448312761,LIKE
164305410295882_2086621124730958,1400867980003044,LIKE
164305410295882_2086621124730958,10154404437312396,LIKE
164305410295882_2086621124730958,1350194831683184,LIKE
164305410295882_2086621124730958,244902629347084,LIKE
164305410295882_2086621124730958,10155123392029143,LIKE
164305410295882_2086621124730958,1447826345297759,LIKE
164305410295882_2086621124730958,1460501920655853,LIKE
164305410295882_2086621124730958,10214129044766589,LOVE
164305410295882_2086621124730958,10155277468020170,LIKE
164305410295882_2086621124730958,1072751432856270,LIKE
164305410295882_2086621124730958,1569933023067901,LIKE
164305410295882_2086621124730958,10155224363310923,LIKE
164305410295882_2086621124730958,1349817305137699,LIKE
164305410295882_2086621124730958,1919850101630642,LIKE
164305410295882_2086621124730958,1916698318601619,WOW
164305410295882_2086621124730958,1380279822054701,LIKE
164305410295882_2086621124730958,1246089075502420,LIKE
164305410295882_2086621124730958,183817298819865,LIKE
164305410295882_2086621124730958,1545296125533899,LIKE
164305410295882_2086621124730958,483099772023952,LIKE
164305410295882_2086621124730958,235826103591811,LIKE
164305410295882_2086621124730958,10208138135004988,WOW
164305410295882_2086621124730958,10210960712508497,LIKE
164305410295882_2086621124730958,1574566849234184,LIKE
164305410295882_2086621124730958,1918713411679163,LIKE
164305410295882_2086621124730958,260408244363293,LIKE
164305410295882_2086621124730958,1442546912478189,LIKE
164305410295882_2086621124730958,1919217381667901,LIKE
164305410295882_2086621124730958,1093808680752031,LIKE
164305410295882_2086621124730958,1782779865069514,LIKE
164305410295882_2086621124730958,984790681658398,LOVE
164305410295882_2086621124730958,10155602232264009,LIKE
164305410295882_2086621124730958,1629108757107665,LIKE
164305410295882_2086621124730958,327684644328476,LIKE
164305410295882_2086621124730958,1705259616154333,LOVE
164305410295882_2086621124730958,566458070409972,LIKE
164305410295882_2086621124730958,1446048745440663,LIKE
164305410295882_2086621124730958,1329451517173958,LIKE
164305410295882_2086621124730958,10155701422484369,ANGRY
164305410295882_2086621124730958,1917620248492221,LIKE
164305410295882_2086621124730958,295177760892965,LIKE
164305410295882_2086621124730958,1357631420958319,LIKE
164305410295882_2086621124730958,10209654897308551,ANGRY
164305410295882_2086621124730958,1587999694576020,LIKE
164305410295882_2086621124730958,10213434596278348,LIKE
164305410295882_2086621124730958,10209743894853564,LIKE
164305410295882_2086621124730958,1940136516263478,LIKE
164305410295882_2086621124730958,10210186533163175,LIKE
164305410295882_2086621124730958,10211044407964144,LIKE
164305410295882_2086621124730958,1337306639700695,LIKE
164305410295882_2086621124730958,10213062311209797,LIKE
164305410295882_2086621124730958,1409178065828251,LOVE
164305410295882_2086621124730958,350851978667533,LIKE
164305410295882_2086621124730958,871858639619410,LIKE
164305410295882_2086621124730958,10155030494178509,LIKE
164305410295882_2086621124730958,10156315062309392,LIKE
164305410295882_2086621124730958,1501562376532948,LIKE
164305410295882_2086621124730958,1412065932213751,LIKE
164305410295882_2086621124730958,10213674792927766,LIKE
164305410295882_2086621124730958,1922353344703930,LIKE
164305410295882_2086621124730958,1351739374944727,LIKE
164305410295882_2086621124730958,1069179729879026,LIKE
164305410295882_2086621124730958,1471450632911303,LIKE
