parent_id,id,type
1542228052683519_1835703543335967,10210939009363530,ANGRY
1542228052683519_1835703543335967,1855671341426531,ANGRY
1542228052683519_1835703543335967,1479324632127896,LIKE
1542228052683519_1835703543335967,294978760973741,LIKE
1542228052683519_1835703543335967,1609313642452125,LIKE
1542228052683519_1835703543335967,234925810352101,LIKE
1542228052683519_1835703543335967,1717525981874587,LIKE
1542228052683519_1835703543335967,326809804416967,LIKE
1542228052683519_1835703543335967,1452786251449551,LIKE
1542228052683519_1835703543335967,1947504118867039,ANGRY
1542228052683519_1835703543335967,1508506869195502,LIKE
1542228052683519_1835703543335967,1396029570479156,ANGRY
1542228052683519_1835703543335967,10212913768016146,ANGRY
1542228052683519_1835703543335967,10155376966186768,LIKE
1542228052683519_1835703543335967,10209721936185990,ANGRY
1542228052683519_1835703543335967,10155541076732490,LIKE
1542228052683519_1835703543335967,10154670558776935,ANGRY
1542228052683519_1835703543335967,10155792896128274,ANGRY
1542228052683519_1835703543335967,10154855491390028,ANGRY
1542228052683519_1835703543335967,10203429962387870,LOVE
1542228052683519_1835703543335967,1537305422958300,LIKE
1542228052683519_1835703543335967,1526249254062727,LIKE
1542228052683519_1835703543335967,10155511080357140,ANGRY
1542228052683519_1835703543335967,1888527271409140,LIKE
1542228052683519_1835703543335967,690434731142245,SAD
1542228052683519_1835703543335967,680846572116524,LIKE
1542228052683519_1835703543335967,2106867029338817,SAD
1542228052683519_1835703543335967,10155459280157498,ANGRY
1542228052683519_1835703543335967,10207913134541051,LIKE
1542228052683519_1835703543335967,1699089973442072,LIKE
1542228052683519_1835703543335967,1425450287517140,ANGRY
1542228052683519_1835703543335967,1818360158179124,LIKE
1542228052683519_1835703543335967,1433313463414441,LOVE
1542228052683519_1835703543335967,1346052732111378,ANGRY
1542228052683519_1835703543335967,10208959771503307,LIKE
1542228052683519_1835703543335967,847208782097900,LIKE
1542228052683519_1835703543335967,10209635669236814,SAD
1542228052683519_1835703543335967,258805474603921,LIKE
1542228052683519_1835703543335967,1895304554067176,ANGRY
1542228052683519_1835703543335967,10155491018782250,LIKE
1542228052683519_1835703543335967,692510944274736,LIKE
1542228052683519_1835703543335967,10211123802924388,ANGRY
1542228052683519_1835703543335967,10209871906849813,ANGRY
1542228052683519_1835703543335967,745668562306709,LIKE
1542228052683519_1835703543335967,10102753677382248,ANGRY
1542228052683519_1835703543335967,10211881433142775,ANGRY
1542228052683519_1835703543335967,10102753677387238,ANGRY
1542228052683519_1835703543335967,1969296736649158,SAD
1542228052683519_1835703543335967,10155105973085379,ANGRY
1542228052683519_1835703543335967,464662837223990,LIKE
1542228052683519_1835703543335967,10213413165627348,LIKE
1542228052683519_1835703543335967,1863600367295750,LIKE
1542228052683519_1835703543335967,1609658135742560,LOVE
1542228052683519_1835703543335967,10203489789322211,ANGRY
1542228052683519_1835703543335967,10210946466115809,LIKE
1542228052683519_1835703543335967,10213736736761632,LIKE
1542228052683519_1835703543335967,1943518352604243,LOVE
1542228052683519_1835703543335967,1702677836426260,ANGRY
1542228052683519_1835703543335967,437389333309297,LIKE
1542228052683519_1835703543335967,1834459310137445,ANGRY
1542228052683519_1835703543335967,1894451940819122,LIKE
1542228052683519_1835703543335967,325920624527445,LIKE
1542228052683519_1835703543335967,1479067368817690,ANGRY
1542228052683519_1835703543335967,1885968508392233,LIKE
