parent_id,id,type
10513336322_10155182431186323,1474820355903026,ANGRY
10513336322_10155182431186323,274830492991159,LIKE
10513336322_10155182431186323,1673806232631440,LIKE
10513336322_10155182431186323,471066406603958,LIKE
10513336322_10155182431186323,951077171698748,ANGRY
10513336322_10155182431186323,10156345422359689,ANGRY
10513336322_10155182431186323,1318759281579302,ANGRY
10513336322_10155182431186323,1362224980493664,WOW
10513336322_10155182431186323,1739569249391420,LIKE
10513336322_10155182431186323,462196784139821,LIKE
10513336322_10155182431186323,10155708688534050,LIKE
10513336322_10155182431186323,806949786121053,LIKE
10513336322_10155182431186323,10210547927399298,LIKE
10513336322_10155182431186323,10154720040751334,ANGRY
10513336322_10155182431186323,10155636114139736,LOVE
10513336322_10155182431186323,1732354120395230,ANGRY
10513336322_10155182431186323,327715750995266,LIKE
10513336322_10155182431186323,725233150995297,LIKE
10513336322_10155182431186323,10213951434285328,LIKE
10513336322_10155182431186323,10155430465508959,LIKE
10513336322_10155182431186323,10210326846022996,SAD
10513336322_10155182431186323,826827970818915,LIKE
10513336322_10155182431186323,1565774076786223,ANGRY
10513336322_10155182431186323,1453596164701937,LIKE
10513336322_10155182431186323,1591176137561740,ANGRY
10513336322_10155182431186323,298437690617541,LIKE
10513336322_10155182431186323,243262142845950,LIKE
10513336322_10155182431186323,10158955017175298,ANGRY
10513336322_10155182431186323,10155341758221083,LOVE
10513336322_10155182431186323,795073727339645,LIKE
10513336322_10155182431186323,10210022892512359,LIKE
10513336322_10155182431186323,10213582294891662,ANGRY
10513336322_10155182431186323,1342424582538747,LIKE
10513336322_10155182431186323,1776294025744506,LIKE
10513336322_10155182431186323,10210780020191381,ANGRY
10513336322_10155182431186323,10154943353244472,ANGRY
10513336322_10155182431186323,454140448276523,LIKE
10513336322_10155182431186323,10211834381208545,LIKE
10513336322_10155182431186323,1788663961163315,LIKE
10513336322_10155182431186323,10209869996249377,LIKE
10513336322_10155182431186323,10213381869770797,ANGRY
10513336322_10155182431186323,10213869085149617,ANGRY
10513336322_10155182431186323,1936280146589772,LIKE
10513336322_10155182431186323,10155096910234130,LIKE
10513336322_10155182431186323,10213434704481053,ANGRY
10513336322_10155182431186323,1599962693387360,HAHA
10513336322_10155182431186323,10212636736460802,ANGRY
10513336322_10155182431186323,10154967780648264,LIKE
10513336322_10155182431186323,10155565376219515,SAD
10513336322_10155182431186323,10155692058992018,ANGRY
10513336322_10155182431186323,811298982377696,LIKE
10513336322_10155182431186323,1576208265731447,LIKE
10513336322_10155182431186323,1037508563018200,LIKE
10513336322_10155182431186323,10155619151279551,SAD
10513336322_10155182431186323,10211628707167117,ANGRY
10513336322_10155182431186323,1501795319872053,LIKE
10513336322_10155182431186323,10155434081721354,ANGRY
10513336322_10155182431186323,10155376344797744,LIKE
10513336322_10155182431186323,1773978882618871,LIKE
10513336322_10155182431186323,10154411965646403,LIKE
10513336322_10155182431186323,10203332009138260,LIKE
10513336322_10155182431186323,10154453524991213,LIKE
10513336322_10155182431186323,10158978997855578,LIKE
10513336322_10155182431186323,10209096732324897,ANGRY
10513336322_10155182431186323,1444570275624766,LIKE
10513336322_10155182431186323,10155544003961800,ANGRY
10513336322_10155182431186323,1551454648218153,ANGRY
10513336322_10155182431186323,10154975356067199,LIKE
10513336322_10155182431186323,10158893239925246,LIKE
10513336322_10155182431186323,10207296051159387,LIKE
10513336322_10155182431186323,10155630201012427,HAHA
10513336322_10155182431186323,1623811297638256,ANGRY
10513336322_10155182431186323,1729366200437346,LIKE
10513336322_10155182431186323,1723477287956060,LIKE
10513336322_10155182431186323,1546397415435415,LIKE
10513336322_10155182431186323,10211135805208719,LIKE
10513336322_10155182431186323,10211417557249485,SAD
10513336322_10155182431186323,1939871756292858,LIKE
10513336322_10155182431186323,10213620304808033,LIKE
10513336322_10155182431186323,10158895092910591,LIKE
10513336322_10155182431186323,10213517111587896,LIKE
10513336322_10155182431186323,1327214284053225,LIKE
10513336322_10155182431186323,10154991424924751,LIKE
10513336322_10155182431186323,10154770300513575,LIKE
10513336322_10155182431186323,10213612000153593,LIKE
10513336322_10155182431186323,1099558200178484,LIKE
10513336322_10155182431186323,1699287863706730,LIKE
10513336322_10155182431186323,10211256989074453,LIKE
10513336322_10155182431186323,525633827768254,LIKE
10513336322_10155182431186323,10211968626803760,LIKE
10513336322_10155182431186323,1454787627908292,LIKE
10513336322_10155182431186323,288817961586219,LIKE
10513336322_10155182431186323,10213787852435243,LIKE
10513336322_10155182431186323,10212909502909564,WOW
10513336322_10155182431186323,674919759373688,LIKE
10513336322_10155182431186323,10154900383594482,ANGRY
10513336322_10155182431186323,10154961886008802,LIKE
10513336322_10155182431186323,1205145546256924,WOW
10513336322_10155182431186323,1350979288282452,SAD
10513336322_10155182431186323,10155480897948934,LIKE
10513336322_10155182431186323,10155470580599183,LIKE
10513336322_10155182431186323,444579155923115,LIKE
10513336322_10155182431186323,316509528775927,LIKE
10513336322_10155182431186323,10154932404493893,HAHA
10513336322_10155182431186323,10158906636570371,LIKE
10513336322_10155182431186323,10154666618341867,LIKE
10513336322_10155182431186323,324580701298576,LIKE
10513336322_10155182431186323,1939463459669892,LIKE
10513336322_10155182431186323,10154440612070728,LIKE
10513336322_10155182431186323,10159164777235724,ANGRY
10513336322_10155182431186323,1550869298368146,LIKE
10513336322_10155182431186323,1586411008049516,LIKE
10513336322_10155182431186323,10154447672952245,LIKE
10513336322_10155182431186323,442874622778079,LIKE
10513336322_10155182431186323,774655596029193,LIKE
10513336322_10155182431186323,10159044545335249,LIKE
10513336322_10155182431186323,10209749597913059,LIKE
10513336322_10155182431186323,1901634003496021,LIKE
10513336322_10155182431186323,1438824959544039,ANGRY
10513336322_10155182431186323,10155528011758708,LOVE
10513336322_10155182431186323,1557574754272801,LIKE
10513336322_10155182431186323,10155619035069284,HAHA
10513336322_10155182431186323,1939411502967945,ANGRY
10513336322_10155182431186323,10155550498228000,LIKE
10513336322_10155182431186323,10209785687950035,LIKE
10513336322_10155182431186323,1785377574812265,LIKE
10513336322_10155182431186323,10213811894639405,LIKE
10513336322_10155182431186323,10211653866194974,LIKE
10513336322_10155182431186323,10155278595431327,HAHA
10513336322_10155182431186323,10212299422713674,LIKE
10513336322_10155182431186323,1111946678937376,LIKE
10513336322_10155182431186323,1537982859586729,LIKE
10513336322_10155182431186323,10154416532221572,LIKE
10513336322_10155182431186323,10155137573113580,WOW
10513336322_10155182431186323,451483328543265,LIKE
10513336322_10155182431186323,1573463386059229,LIKE
10513336322_10155182431186323,10154676205327747,SAD
10513336322_10155182431186323,1325851140855412,LIKE
10513336322_10155182431186323,820513044788023,LIKE
10513336322_10155182431186323,10155523329328023,LOVE
10513336322_10155182431186323,10154748605006344,LIKE
10513336322_10155182431186323,10155350148873971,LIKE
10513336322_10155182431186323,10212846886422480,HAHA
10513336322_10155182431186323,1793379780972244,LIKE
10513336322_10155182431186323,1573318769406907,LOVE
