parent_id,id,type
161385360554578_1263368207051422,1908116806122935,LIKE
161385360554578_1263368207051422,1917451815210776,LIKE
161385360554578_1263368207051422,10158938062870293,LIKE
161385360554578_1263368207051422,1367321470030810,LIKE
161385360554578_1263368207051422,10158911510420137,ANGRY
161385360554578_1263368207051422,1420418128049224,LIKE
161385360554578_1263368207051422,1095821093896178,LIKE
161385360554578_1263368207051422,875501429265500,LOVE
161385360554578_1263368207051422,1519814214707784,LIKE
161385360554578_1263368207051422,1063437213789973,LIKE
161385360554578_1263368207051422,10209698178551008,LIKE
161385360554578_1263368207051422,1636485043028710,LIKE
161385360554578_1263368207051422,1739194859430700,LIKE
161385360554578_1263368207051422,1688460067848195,LIKE
