parent_id,id,type
228735667216_1727850623898455,159822094561868,LIKE
228735667216_1727850623898455,154602135085150,LIKE
228735667216_1727850623898455,287896145006646,LIKE
228735667216_1727850623898455,316533348804673,LIKE
228735667216_1727850623898455,246943542473312,LIKE
228735667216_1727850623898455,194540721077894,LIKE
228735667216_1727850623898455,154614635086063,LIKE
228735667216_1727850623898455,489704504705284,LIKE
228735667216_1727850623898455,213897242466580,LIKE
228735667216_1727850623898455,234402337072563,LIKE
228735667216_1727850623898455,157899078088380,LIKE
228735667216_1727850623898455,439244983122450,LIKE
228735667216_1727850623898455,168123443729489,LIKE
228735667216_1727850623898455,1329026673878518,LIKE
228735667216_1727850623898455,313168599134775,LIKE
228735667216_1727850623898455,181307002406285,LIKE
228735667216_1727850623898455,250570555429822,LIKE
228735667216_1727850623898455,10159031314695445,LOVE
228735667216_1727850623898455,170601406814856,LIKE
228735667216_1727850623898455,308782709579628,LIKE
228735667216_1727850623898455,242468469585094,LIKE
228735667216_1727850623898455,244043032766658,LIKE
228735667216_1727850623898455,186284525241278,LIKE
228735667216_1727850623898455,10158826077220461,ANGRY
228735667216_1727850623898455,437343416645210,LIKE
228735667216_1727850623898455,1480883178629035,LIKE
228735667216_1727850623898455,1245608885551568,LIKE
228735667216_1727850623898455,1555110287852808,LIKE
228735667216_1727850623898455,208070986385137,LIKE
228735667216_1727850623898455,10158906672285537,LIKE
228735667216_1727850623898455,10155520528889490,LOVE
228735667216_1727850623898455,10155222166005255,LOVE
228735667216_1727850623898455,10212288240468816,LIKE
228735667216_1727850623898455,1457720770949526,SAD
228735667216_1727850623898455,1432218753492859,LIKE
228735667216_1727850623898455,219908111865076,LIKE
228735667216_1727850623898455,458880421137358,ANGRY
228735667216_1727850623898455,243555319473653,LIKE
228735667216_1727850623898455,10155503629044310,LIKE
228735667216_1727850623898455,1808420362502325,LIKE
228735667216_1727850623898455,10212601579172529,LIKE
228735667216_1727850623898455,10207475205077119,LIKE
228735667216_1727850623898455,441261209572276,LIKE
228735667216_1727850623898455,267761273702423,LIKE
228735667216_1727850623898455,1120188838114190,LIKE
228735667216_1727850623898455,1758489557514037,LIKE
228735667216_1727850623898455,573274523022873,LIKE
228735667216_1727850623898455,319798981777299,LIKE
228735667216_1727850623898455,1089917391108022,LIKE
228735667216_1727850623898455,315914642154194,LIKE
228735667216_1727850623898455,177943422743819,LIKE
228735667216_1727850623898455,707058156145153,LIKE
228735667216_1727850623898455,756945847810558,LIKE
228735667216_1727850623898455,1903167626616717,LIKE
228735667216_1727850623898455,1573458892679065,LIKE
228735667216_1727850623898455,163425977534313,LIKE
228735667216_1727850623898455,468603483486182,LIKE
228735667216_1727850623898455,10155654320851554,LIKE
228735667216_1727850623898455,846259132195359,HAHA
228735667216_1727850623898455,1915743902017492,LIKE
228735667216_1727850623898455,1861525217508256,LIKE
228735667216_1727850623898455,1074623112668733,LIKE
228735667216_1727850623898455,10213668447129836,LIKE
228735667216_1727850623898455,239191746588923,LIKE
228735667216_1727850623898455,1354157624699873,LIKE
228735667216_1727850623898455,1954384894845478,LIKE
228735667216_1727850623898455,1312426472207897,LIKE
228735667216_1727850623898455,500916430252781,LOVE
228735667216_1727850623898455,1519732194770218,LIKE
228735667216_1727850623898455,10209225675547192,LIKE
228735667216_1727850623898455,1930907510525179,LIKE
228735667216_1727850623898455,177515652787345,LIKE
228735667216_1727850623898455,1742787385746430,LIKE
228735667216_1727850623898455,1493800187347805,LIKE
228735667216_1727850623898455,316501685468231,LIKE
228735667216_1727850623898455,653474951530351,LIKE
228735667216_1727850623898455,184746448727101,LIKE
228735667216_1727850623898455,277710066037156,LIKE
228735667216_1727850623898455,194326381098216,LIKE
228735667216_1727850623898455,1481260718603592,LOVE
228735667216_1727850623898455,236299670215191,LIKE
228735667216_1727850623898455,10203489426633085,LIKE
228735667216_1727850623898455,1321776357941866,LIKE
228735667216_1727850623898455,1103376363129722,LIKE
228735667216_1727850623898455,1357505394318560,LIKE
228735667216_1727850623898455,736373113209361,LIKE
228735667216_1727850623898455,1284671171649793,LOVE
228735667216_1727850623898455,367224647026072,LIKE
228735667216_1727850623898455,1991025431130943,LOVE
228735667216_1727850623898455,1570345149704784,ANGRY
228735667216_1727850623898455,1904194419849745,LIKE
228735667216_1727850623898455,279297455872287,LIKE
228735667216_1727850623898455,10213646763267735,LIKE
