parent_id,id,type
164305410295882_2129505040442566,10203112325406183,LIKE
164305410295882_2129505040442566,246777302485721,LIKE
164305410295882_2129505040442566,1892970011028563,LIKE
164305410295882_2129505040442566,10213293774128341,SAD
164305410295882_2129505040442566,448967075488613,LIKE
164305410295882_2129505040442566,238890079959056,LIKE
164305410295882_2129505040442566,988399257929604,LIKE
164305410295882_2129505040442566,10212431922866147,LIKE
164305410295882_2129505040442566,1627667620608759,LIKE
164305410295882_2129505040442566,207755493083016,LIKE
164305410295882_2129505040442566,10213924840701068,LOVE
164305410295882_2129505040442566,10213293340598451,LIKE
164305410295882_2129505040442566,1587999694576020,LOVE
164305410295882_2129505040442566,1762994940382885,LIKE
164305410295882_2129505040442566,10213435361948363,LIKE
164305410295882_2129505040442566,1888327964739034,LIKE
164305410295882_2129505040442566,1614446168568197,LIKE
164305410295882_2129505040442566,1348143395304568,LOVE
164305410295882_2129505040442566,1336019829768836,LIKE
164305410295882_2129505040442566,1484213468307903,SAD
164305410295882_2129505040442566,724890051036160,LIKE
164305410295882_2129505040442566,1950760695174715,LIKE
164305410295882_2129505040442566,10156346299549167,LIKE
164305410295882_2129505040442566,1641176779258238,LOVE
164305410295882_2129505040442566,836385426530762,LIKE
164305410295882_2129505040442566,10155464091849561,SAD
164305410295882_2129505040442566,10155310514401166,LIKE
164305410295882_2129505040442566,1499869756743176,LOVE
164305410295882_2129505040442566,1471617556209941,HAHA
164305410295882_2129505040442566,245966239241896,LIKE
164305410295882_2129505040442566,10154806309712817,LIKE
164305410295882_2129505040442566,10155485070483695,LIKE
164305410295882_2129505040442566,1607660599266438,LIKE
164305410295882_2129505040442566,1403882356364692,LOVE
164305410295882_2129505040442566,457975134558183,LIKE
164305410295882_2129505040442566,1776318309051062,LOVE
164305410295882_2129505040442566,1964181557161939,LIKE
164305410295882_2129505040442566,10213264342553372,LIKE
164305410295882_2129505040442566,298228150586787,LIKE
164305410295882_2129505040442566,711299329042011,LIKE
164305410295882_2129505040442566,10155487588713684,LIKE
164305410295882_2129505040442566,10154616113045849,ANGRY
164305410295882_2129505040442566,10213494918908192,LIKE
164305410295882_2129505040442566,1816099642034875,LOVE
164305410295882_2129505040442566,10211617296575403,LIKE
164305410295882_2129505040442566,10209909431111982,LIKE
164305410295882_2129505040442566,10213873803858077,LIKE
164305410295882_2129505040442566,1442653282484690,LIKE
164305410295882_2129505040442566,1739023729460405,LOVE
164305410295882_2129505040442566,1705306376445717,LOVE
164305410295882_2129505040442566,10211647825364419,LIKE
164305410295882_2129505040442566,10210820450562081,LIKE
164305410295882_2129505040442566,10213842145947253,LIKE
164305410295882_2129505040442566,158834967993945,LIKE
164305410295882_2129505040442566,1894793100769954,LIKE
164305410295882_2129505040442566,10158893357170246,SAD
164305410295882_2129505040442566,10212628346640138,LIKE
164305410295882_2129505040442566,1678428145562506,LIKE
164305410295882_2129505040442566,10102533547951963,LIKE
164305410295882_2129505040442566,259682391178201,LIKE
164305410295882_2129505040442566,1932031387085275,LIKE
164305410295882_2129505040442566,10155111375969342,LIKE
164305410295882_2129505040442566,10211738694919283,SAD
164305410295882_2129505040442566,10155478063289419,LIKE
164305410295882_2129505040442566,1055578491244685,LIKE
164305410295882_2129505040442566,10213363713637395,LIKE
164305410295882_2129505040442566,10155602232264009,LIKE
164305410295882_2129505040442566,10155043613634177,LIKE
164305410295882_2129505040442566,1333132556782105,LIKE
164305410295882_2129505040442566,1378042368982583,LIKE
164305410295882_2129505040442566,308212456315338,LIKE
164305410295882_2129505040442566,10211730140562530,LIKE
164305410295882_2129505040442566,10155468053378627,LIKE
164305410295882_2129505040442566,10155393679596240,LIKE
164305410295882_2129505040442566,1951330458437768,LIKE
164305410295882_2129505040442566,10212353766455030,LIKE
164305410295882_2129505040442566,1553502104724766,LIKE
164305410295882_2129505040442566,10209864217471025,LIKE
164305410295882_2129505040442566,1596543920385343,LIKE
164305410295882_2129505040442566,1889529014648042,LIKE
164305410295882_2129505040442566,1931268877141596,LIKE
164305410295882_2129505040442566,10213036579450862,LIKE
164305410295882_2129505040442566,10203526671963217,LIKE
164305410295882_2129505040442566,813203638841175,LIKE
164305410295882_2129505040442566,671189166424112,LIKE
164305410295882_2129505040442566,1077097349088522,LIKE
164305410295882_2129505040442566,1400867980003044,LIKE
164305410295882_2129505040442566,917272481757033,LIKE
164305410295882_2129505040442566,10154590263385404,SAD
164305410295882_2129505040442566,10156394041850299,LIKE
164305410295882_2129505040442566,1942894109329590,LIKE
164305410295882_2129505040442566,787998221374610,LIKE
164305410295882_2129505040442566,10154805661847914,LOVE
164305410295882_2129505040442566,1515288041862463,LOVE
164305410295882_2129505040442566,1757298274285512,LIKE
164305410295882_2129505040442566,1342092862575430,LOVE
164305410295882_2129505040442566,1921313811449178,LIKE
164305410295882_2129505040442566,10155586798896654,LIKE
164305410295882_2129505040442566,10213593862549454,LIKE
164305410295882_2129505040442566,1137065013061080,LIKE
164305410295882_2129505040442566,1141360715994923,LIKE
164305410295882_2129505040442566,453604648328157,LIKE
164305410295882_2129505040442566,10213601722461268,LIKE
164305410295882_2129505040442566,1478929308837923,LIKE
164305410295882_2129505040442566,1426776567365466,LOVE
164305410295882_2129505040442566,835289736647842,LIKE
164305410295882_2129505040442566,1278244805636886,LOVE
164305410295882_2129505040442566,10154442940926394,LIKE
164305410295882_2129505040442566,279507302519911,LIKE
164305410295882_2129505040442566,10213107438184235,LIKE
164305410295882_2129505040442566,1375625149152342,LOVE
164305410295882_2129505040442566,10156346299554167,LIKE
164305410295882_2129505040442566,1167738299999290,LOVE
164305410295882_2129505040442566,933995703409566,LIKE
164305410295882_2129505040442566,10211871626718563,LIKE
164305410295882_2129505040442566,468844743466283,LIKE
164305410295882_2129505040442566,10155493410059297,LOVE
164305410295882_2129505040442566,10211258161742393,LIKE
164305410295882_2129505040442566,10156463664878066,HAHA
164305410295882_2129505040442566,354973384921292,LIKE
164305410295882_2129505040442566,455819574772718,LIKE
164305410295882_2129505040442566,10159449437000112,LIKE
164305410295882_2129505040442566,406280356440077,ANGRY
164305410295882_2129505040442566,1969485619954220,SAD
164305410295882_2129505040442566,528685600855972,LOVE
164305410295882_2129505040442566,1739513926063157,SAD
164305410295882_2129505040442566,788090178024354,LIKE
164305410295882_2129505040442566,10213372440087805,ANGRY
164305410295882_2129505040442566,10154922139902734,LIKE
164305410295882_2129505040442566,1714498895517929,LIKE
164305410295882_2129505040442566,2086071281620108,LIKE
164305410295882_2129505040442566,1836589196357907,LIKE
164305410295882_2129505040442566,10209684049314946,LIKE
164305410295882_2129505040442566,393841817683970,LIKE
164305410295882_2129505040442566,1703987269905702,LIKE
164305410295882_2129505040442566,270199830116311,LIKE
