parent_id,id,type
6013004059_10155238142339060,259853317825343,LIKE
6013004059_10155238142339060,1973826029515413,LIKE
6013004059_10155238142339060,795589043953192,LIKE
6013004059_10155238142339060,328977354191280,LIKE
6013004059_10155238142339060,10155592187319444,LIKE
6013004059_10155238142339060,1825246787490621,LIKE
6013004059_10155238142339060,10203472086399438,LIKE
6013004059_10155238142339060,10211471804964571,LIKE
6013004059_10155238142339060,10154873008168790,LIKE
6013004059_10155238142339060,10154505319942063,LIKE
6013004059_10155238142339060,1467314003292130,LIKE
6013004059_10155238142339060,1070463013084340,LIKE
6013004059_10155238142339060,179781472559268,LIKE
6013004059_10155238142339060,10208948622347266,LIKE
6013004059_10155238142339060,770150809833250,LIKE
6013004059_10155238142339060,1610928032251955,LIKE
6013004059_10155238142339060,1389094354477248,LIKE
6013004059_10155238142339060,10208144337080103,LIKE
6013004059_10155238142339060,10155344899225505,LIKE
6013004059_10155238142339060,698637513655836,LIKE
6013004059_10155238142339060,1820784734813091,LIKE
6013004059_10155238142339060,723581904494215,LIKE
6013004059_10155238142339060,1628164583911968,LIKE
6013004059_10155238142339060,1134515596650009,LIKE
6013004059_10155238142339060,10156377195398327,WOW
6013004059_10155238142339060,10155562196028896,LIKE
6013004059_10155238142339060,1831640043819669,SAD
6013004059_10155238142339060,316221288822518,LIKE
6013004059_10155238142339060,10209110940960621,LIKE
6013004059_10155238142339060,1331752370274465,LIKE
6013004059_10155238142339060,1915078085176341,LIKE
6013004059_10155238142339060,10212908362052788,LIKE
6013004059_10155238142339060,1179370432167947,LIKE
6013004059_10155238142339060,10154542179867051,WOW
6013004059_10155238142339060,462686024092283,LIKE
6013004059_10155238142339060,2034020256884175,LIKE
6013004059_10155238142339060,10207224935222147,LIKE
6013004059_10155238142339060,1443556189070518,LIKE
6013004059_10155238142339060,1411064972315688,LIKE
6013004059_10155238142339060,10213026780365310,LIKE
6013004059_10155238142339060,10155348020925692,LIKE
6013004059_10155238142339060,10207533988387299,LIKE
6013004059_10155238142339060,10209781310712506,SAD
6013004059_10155238142339060,10212440123213190,LIKE
6013004059_10155238142339060,10208928723486601,SAD
6013004059_10155238142339060,10154440083792084,LIKE
6013004059_10155238142339060,10155543972299884,SAD
6013004059_10155238142339060,10103199967546509,ANGRY
6013004059_10155238142339060,328063517615011,LIKE
6013004059_10155238142339060,10155149288928961,LIKE
6013004059_10155238142339060,1334418686674048,LIKE
6013004059_10155238142339060,10213518889954820,LIKE
6013004059_10155238142339060,1742572469097895,LIKE
6013004059_10155238142339060,10209474911931451,LIKE
6013004059_10155238142339060,10154796833388105,LIKE
6013004059_10155238142339060,10155274728885605,LIKE
6013004059_10155238142339060,10101753141906560,LIKE
6013004059_10155238142339060,10212422937702792,LIKE
6013004059_10155238142339060,10154730641875418,LIKE
6013004059_10155238142339060,1483298138425500,LIKE
6013004059_10155238142339060,10213645009264590,LIKE
6013004059_10155238142339060,10155170390175783,LIKE
6013004059_10155238142339060,10211469004133347,LIKE
6013004059_10155238142339060,10212977728468340,LIKE
6013004059_10155238142339060,10203383231977794,LIKE
6013004059_10155238142339060,1229435970535911,LIKE
6013004059_10155238142339060,2151646911728630,LIKE
6013004059_10155238142339060,10154931154113246,LIKE
6013004059_10155238142339060,1237669079695156,LIKE
6013004059_10155238142339060,1882525331763388,LIKE
6013004059_10155238142339060,1226261404169942,LIKE
6013004059_10155238142339060,1714143348891811,LIKE
6013004059_10155238142339060,10154497413485443,SAD
6013004059_10155238142339060,10155019970383277,ANGRY
6013004059_10155238142339060,1972398216340988,LIKE
6013004059_10155238142339060,666340003569701,LIKE
6013004059_10155238142339060,10155496472409532,LIKE
6013004059_10155238142339060,10213352527198255,LIKE
6013004059_10155238142339060,641366916061623,LOVE
6013004059_10155238142339060,1077960245636852,LIKE
6013004059_10155238142339060,1221746494602078,LIKE
6013004059_10155238142339060,10211992145712530,WOW
6013004059_10155238142339060,1585803391481654,SAD
6013004059_10155238142339060,10213420480687924,SAD
6013004059_10155238142339060,2021214564773935,LIKE
6013004059_10155238142339060,1001059213330382,LIKE
6013004059_10155238142339060,1668817409814996,LIKE
6013004059_10155238142339060,10155363631620030,LIKE
6013004059_10155238142339060,10207595931615488,LIKE
6013004059_10155238142339060,1805249889490237,LIKE
6013004059_10155238142339060,10213789119270307,LIKE
6013004059_10155238142339060,10213383424521207,LIKE
6013004059_10155238142339060,314457675661534,LIKE
6013004059_10155238142339060,1479191352119730,LIKE
6013004059_10155238142339060,1612440605435425,SAD
6013004059_10155238142339060,321301534974728,LIKE
6013004059_10155238142339060,10155027352493935,WOW
6013004059_10155238142339060,10103073208098407,LIKE
6013004059_10155238142339060,10154456714810213,SAD
6013004059_10155238142339060,10213901780724589,LIKE
6013004059_10155238142339060,1738622572819654,LIKE
6013004059_10155238142339060,1272206326231864,LIKE
6013004059_10155238142339060,922746027868645,LIKE
6013004059_10155238142339060,10213147650467628,LIKE
6013004059_10155238142339060,1503037149718120,LIKE
6013004059_10155238142339060,1312737772172054,LIKE
6013004059_10155238142339060,10211529383023770,LIKE
6013004059_10155238142339060,10213346605528583,LIKE
6013004059_10155238142339060,1471414272925312,SAD
6013004059_10155238142339060,1367738773323778,LIKE
6013004059_10155238142339060,10214173286875051,LIKE
6013004059_10155238142339060,10210133266593605,LIKE
6013004059_10155238142339060,10155543642242276,LIKE
6013004059_10155238142339060,10213582446855461,LIKE
6013004059_10155238142339060,10214153328814374,LIKE
6013004059_10155238142339060,254627755034801,LIKE
6013004059_10155238142339060,10158904395785585,WOW
6013004059_10155238142339060,10154872087322725,LIKE
6013004059_10155238142339060,10155394131636788,LIKE
6013004059_10155238142339060,10155535952476738,LIKE
6013004059_10155238142339060,1483879454967720,LIKE
6013004059_10155238142339060,750613858474159,LIKE
6013004059_10155238142339060,1427473837333449,LIKE
6013004059_10155238142339060,10154400920671065,LIKE
6013004059_10155238142339060,10155562921599489,LIKE
6013004059_10155238142339060,10154570053401363,LIKE
6013004059_10155238142339060,743406062509167,SAD
6013004059_10155238142339060,10154814462786687,LIKE
6013004059_10155238142339060,1405175702903572,LIKE
6013004059_10155238142339060,399937013735735,LIKE
6013004059_10155238142339060,10158916239270134,SAD
6013004059_10155238142339060,10154765330947039,LIKE
6013004059_10155238142339060,1768498083167615,LIKE
6013004059_10155238142339060,1869344409757222,LIKE
6013004059_10155238142339060,1783085888373429,LIKE
6013004059_10155238142339060,1464463463634531,LIKE
6013004059_10155238142339060,1406433926110614,LIKE
6013004059_10155238142339060,359094041175933,LIKE
6013004059_10155238142339060,1546464755372085,LIKE
6013004059_10155238142339060,10154950165178585,LIKE
6013004059_10155238142339060,1343454259087233,LIKE
6013004059_10155238142339060,10209406702593046,LIKE
6013004059_10155238142339060,1769581443069095,LIKE
6013004059_10155238142339060,10213060797894536,LIKE
6013004059_10155238142339060,10158928114170058,LIKE
6013004059_10155238142339060,10212978701532067,LIKE
6013004059_10155238142339060,1722679174428666,LIKE
6013004059_10155238142339060,10211221059235841,LIKE
6013004059_10155238142339060,10154795707676309,LIKE
6013004059_10155238142339060,1659035824130094,LIKE
6013004059_10155238142339060,761284320725973,LIKE
6013004059_10155238142339060,10209210730926966,WOW
6013004059_10155238142339060,1334311629999864,LIKE
6013004059_10155238142339060,10213029594158227,LIKE
6013004059_10155238142339060,10155503017143841,LIKE
6013004059_10155238142339060,10154572904746850,LIKE
6013004059_10155238142339060,10214543597644056,LIKE
6013004059_10155238142339060,10156245936339688,LIKE
6013004059_10155238142339060,10211803563998757,LIKE
6013004059_10155238142339060,10155465187264609,LIKE
6013004059_10155238142339060,10155748511063968,LIKE
6013004059_10155238142339060,10158958553940634,LIKE
6013004059_10155238142339060,10213398435372227,LIKE
6013004059_10155238142339060,1413153735428980,LIKE
6013004059_10155238142339060,10154432350890044,LIKE
6013004059_10155238142339060,1496667523706071,LIKE
6013004059_10155238142339060,10155174587020342,LIKE
6013004059_10155238142339060,10211866290707208,LIKE
6013004059_10155238142339060,1585072078172386,LIKE
6013004059_10155238142339060,10212431491369565,LIKE
6013004059_10155238142339060,10155362412473257,LIKE
6013004059_10155238142339060,10156352872857782,LIKE
6013004059_10155238142339060,1020582161411945,LIKE
6013004059_10155238142339060,10213477863960544,LIKE
6013004059_10155238142339060,2006762332876885,LIKE
6013004059_10155238142339060,1740105159339205,LIKE
6013004059_10155238142339060,1597914320240712,LIKE
6013004059_10155238142339060,1719939858033999,LIKE
6013004059_10155238142339060,10213249536783930,LOVE
6013004059_10155238142339060,10155540095126095,LIKE
6013004059_10155238142339060,10155604536663919,LIKE
6013004059_10155238142339060,1561824343879677,SAD
6013004059_10155238142339060,671428646400697,LIKE
6013004059_10155238142339060,1294837600642317,LIKE
6013004059_10155238142339060,10213462443415164,LIKE
6013004059_10155238142339060,10211926749297425,LIKE
6013004059_10155238142339060,10155438189539414,LIKE
