parent_id,id,type
10513336322_10155243158406323,10209825370695752,LIKE
10513336322_10155243158406323,238393236675902,LIKE
10513336322_10155243158406323,1589431547734571,LIKE
10513336322_10155243158406323,1422266057866841,SAD
10513336322_10155243158406323,338456603249655,SAD
10513336322_10155243158406323,10212238260623741,SAD
10513336322_10155243158406323,1451015681626444,LIKE
10513336322_10155243158406323,10155150351776273,LIKE
10513336322_10155243158406323,10154975784326185,SAD
10513336322_10155243158406323,1759692164042795,SAD
10513336322_10155243158406323,169501670257371,LIKE
10513336322_10155243158406323,489846091369549,LIKE
10513336322_10155243158406323,1180406838772513,SAD
10513336322_10155243158406323,1579384242136248,LIKE
10513336322_10155243158406323,10155489930622937,LIKE
10513336322_10155243158406323,1603750436302858,LIKE
10513336322_10155243158406323,1801440589866424,LIKE
10513336322_10155243158406323,1592032770831214,SAD
10513336322_10155243158406323,246799065818417,LIKE
10513336322_10155243158406323,1598390240211147,LIKE
10513336322_10155243158406323,466189333749265,LIKE
10513336322_10155243158406323,603622146475212,LIKE
10513336322_10155243158406323,1367047370039904,SAD
10513336322_10155243158406323,10155535165286133,LIKE
10513336322_10155243158406323,10154764180765835,LIKE
10513336322_10155243158406323,10155141320155100,LIKE
10513336322_10155243158406323,1554229417961800,LIKE
10513336322_10155243158406323,10210712023850268,LIKE
10513336322_10155243158406323,1403366136376298,LIKE
10513336322_10155243158406323,1646064502094448,SAD
10513336322_10155243158406323,486568051681032,SAD
10513336322_10155243158406323,1444475192281000,LIKE
10513336322_10155243158406323,1393959417361419,LIKE
10513336322_10155243158406323,10155308776201745,LIKE
10513336322_10155243158406323,10159043374190217,LIKE
10513336322_10155243158406323,314341072350935,LIKE
10513336322_10155243158406323,1448403611874877,SAD
10513336322_10155243158406323,10213197151387172,LIKE
10513336322_10155243158406323,811996617792,LIKE
10513336322_10155243158406323,491746967840260,LIKE
10513336322_10155243158406323,10154565459900776,LIKE
10513336322_10155243158406323,1574387992573850,LIKE
10513336322_10155243158406323,10155192067609457,SAD
10513336322_10155243158406323,269543340118691,SAD
10513336322_10155243158406323,1430819570331872,LIKE
10513336322_10155243158406323,10154597247261231,LIKE
10513336322_10155243158406323,10156373078329148,LIKE
10513336322_10155243158406323,10212895854608722,LIKE
10513336322_10155243158406323,466823323667857,LIKE
10513336322_10155243158406323,10154502598201021,SAD
10513336322_10155243158406323,830759640409352,LIKE
10513336322_10155243158406323,10155193527561201,LIKE
10513336322_10155243158406323,681929821993089,SAD
10513336322_10155243158406323,10158850565445570,LIKE
10513336322_10155243158406323,10209615886698896,LIKE
10513336322_10155243158406323,10209696043106880,SAD
10513336322_10155243158406323,1789034211121917,SAD
10513336322_10155243158406323,10210030488384167,LIKE
10513336322_10155243158406323,1958063354219535,LIKE
10513336322_10155243158406323,10158954691700174,SAD
10513336322_10155243158406323,1937543733190012,LIKE
10513336322_10155243158406323,826827970818915,LIKE
10513336322_10155243158406323,10214037519878953,SAD
10513336322_10155243158406323,10209399514614017,LOVE
10513336322_10155243158406323,10211866937201582,SAD
10513336322_10155243158406323,10211563275230006,LIKE
10513336322_10155243158406323,372379803164750,LIKE
10513336322_10155243158406323,239406656576774,LIKE
10513336322_10155243158406323,10212758780792011,LIKE
10513336322_10155243158406323,10212301073858468,SAD
10513336322_10155243158406323,1899959336936669,LIKE
10513336322_10155243158406323,319407738505250,LIKE
10513336322_10155243158406323,10156301618074097,LIKE
10513336322_10155243158406323,482416168769615,SAD
10513336322_10155243158406323,10155602222003028,SAD
10513336322_10155243158406323,1376514495761759,LIKE
10513336322_10155243158406323,10159017983420397,LIKE
10513336322_10155243158406323,10155432188607154,LIKE
10513336322_10155243158406323,10154747065967006,LIKE
10513336322_10155243158406323,10155475214684439,SAD
10513336322_10155243158406323,1576985795667782,SAD
10513336322_10155243158406323,10155377697650275,LIKE
10513336322_10155243158406323,10154432316265044,LIKE
10513336322_10155243158406323,10154521860972657,SAD
10513336322_10155243158406323,1796702220345824,SAD
10513336322_10155243158406323,10213052368880172,SAD
10513336322_10155243158406323,10211737718731021,LIKE
10513336322_10155243158406323,1417150821708961,LIKE
10513336322_10155243158406323,10101151278852612,LIKE
10513336322_10155243158406323,1574773352554772,LIKE
10513336322_10155243158406323,1470164829713453,SAD
10513336322_10155243158406323,10212643743463818,LIKE
10513336322_10155243158406323,10213176591960531,LIKE
10513336322_10155243158406323,10213586783679413,LIKE
10513336322_10155243158406323,399509853776498,LIKE
10513336322_10155243158406323,1590778604329461,HAHA
10513336322_10155243158406323,169741780233759,LIKE
10513336322_10155243158406323,635872641603,SAD
10513336322_10155243158406323,10155524711218833,SAD
10513336322_10155243158406323,1569502299727957,LIKE
10513336322_10155243158406323,1972216019470522,LIKE
10513336322_10155243158406323,1547034868700465,LIKE
10513336322_10155243158406323,10159123650685434,LIKE
10513336322_10155243158406323,10159135211555195,LIKE
10513336322_10155243158406323,10156379389559937,SAD
10513336322_10155243158406323,850114608475332,LIKE
10513336322_10155243158406323,10159065845440061,SAD
10513336322_10155243158406323,10211471222608208,LIKE
10513336322_10155243158406323,10155398257315690,LIKE
10513336322_10155243158406323,10154554001191174,SAD
10513336322_10155243158406323,10207792983976335,SAD
10513336322_10155243158406323,10155221589357931,LIKE
10513336322_10155243158406323,10212146525632909,SAD
10513336322_10155243158406323,10158950688705113,SAD
10513336322_10155243158406323,10154434651997127,SAD
10513336322_10155243158406323,10155591777815739,LIKE
10513336322_10155243158406323,1805399016439055,LIKE
10513336322_10155243158406323,10158900143715654,LIKE
10513336322_10155243158406323,1530729643614327,LIKE
10513336322_10155243158406323,1182824595157388,LIKE
10513336322_10155243158406323,10154918238819091,SAD
10513336322_10155243158406323,10207669546856386,SAD
10513336322_10155243158406323,10209325922009610,LIKE
10513336322_10155243158406323,10154524616665736,SAD
10513336322_10155243158406323,10154478269021400,SAD
10513336322_10155243158406323,10103211883925663,LIKE
10513336322_10155243158406323,10154527690576121,LIKE
10513336322_10155243158406323,10156261275592977,SAD
10513336322_10155243158406323,1396296633741859,SAD
10513336322_10155243158406323,10213831874537190,LIKE
10513336322_10155243158406323,10209183420685880,SAD
10513336322_10155243158406323,1503646133035841,LIKE
10513336322_10155243158406323,487038421640382,LIKE
10513336322_10155243158406323,10210828079752205,LIKE
10513336322_10155243158406323,10154683561407014,LIKE
10513336322_10155243158406323,1961842904059918,SAD
10513336322_10155243158406323,1818681434815105,LIKE
10513336322_10155243158406323,2451086615032043,LIKE
10513336322_10155243158406323,10155733168391535,LIKE
10513336322_10155243158406323,1390854947636541,LIKE
10513336322_10155243158406323,10211812083971164,LIKE
10513336322_10155243158406323,10210922153343816,SAD
