parent_id,id,type
13312631635_10154638456676636,10211495291051061,SAD
13312631635_10154638456676636,474292706256356,LIKE
13312631635_10154638456676636,252041745279774,LIKE
13312631635_10154638456676636,311495065958694,LIKE
13312631635_10154638456676636,10213821092302617,LIKE
13312631635_10154638456676636,544358079287753,LIKE
13312631635_10154638456676636,508222049525610,ANGRY
13312631635_10154638456676636,10155543979379612,LIKE
13312631635_10154638456676636,1353979871322147,LIKE
13312631635_10154638456676636,245885665908268,LIKE
13312631635_10154638456676636,1789969254353264,LIKE
13312631635_10154638456676636,1389502557808116,LIKE
13312631635_10154638456676636,1485973504759375,LIKE
13312631635_10154638456676636,1396350367081104,ANGRY
13312631635_10154638456676636,433640653676685,SAD
13312631635_10154638456676636,2010731662495284,LIKE
13312631635_10154638456676636,10212450311989129,LIKE
13312631635_10154638456676636,172881076585886,LIKE
13312631635_10154638456676636,285482098582761,LIKE
13312631635_10154638456676636,1351127248298233,LIKE
13312631635_10154638456676636,1392019220892273,LIKE
13312631635_10154638456676636,1428848457208410,LIKE
13312631635_10154638456676636,2012776188953256,LIKE
13312631635_10154638456676636,1482133151821942,LIKE
13312631635_10154638456676636,286551835141551,LIKE
13312631635_10154638456676636,10155531715518628,SAD
13312631635_10154638456676636,10211743278011642,ANGRY
13312631635_10154638456676636,809475605894919,LIKE
13312631635_10154638456676636,10154938530150642,LOVE
13312631635_10154638456676636,10207440607173166,LOVE
13312631635_10154638456676636,1997901070223807,SAD
13312631635_10154638456676636,1427254797364137,LIKE
13312631635_10154638456676636,1521798171225510,ANGRY
13312631635_10154638456676636,436429616738986,LIKE
13312631635_10154638456676636,667125926812727,LIKE
13312631635_10154638456676636,1449286128471582,LIKE
13312631635_10154638456676636,322083798234724,LIKE
13312631635_10154638456676636,10211569476925279,WOW
13312631635_10154638456676636,1357729094334290,LIKE
13312631635_10154638456676636,10155565379284515,LIKE
13312631635_10154638456676636,162223034320792,LIKE
13312631635_10154638456676636,1763412917019276,LOVE
13312631635_10154638456676636,1604385072919073,HAHA
13312631635_10154638456676636,1887267248264477,SAD
13312631635_10154638456676636,395247197542949,ANGRY
13312631635_10154638456676636,10210152591438462,SAD
13312631635_10154638456676636,10210628730967262,SAD
13312631635_10154638456676636,10158952016585483,LOVE
13312631635_10154638456676636,1735266423154870,LIKE
13312631635_10154638456676636,1878751272151479,SAD
13312631635_10154638456676636,10154683947141088,LIKE
13312631635_10154638456676636,1506672239389815,LIKE
13312631635_10154638456676636,1803080116385285,LIKE
13312631635_10154638456676636,1646481462068890,LIKE
13312631635_10154638456676636,1515509111802726,HAHA
13312631635_10154638456676636,10159041282170602,WOW
13312631635_10154638456676636,10158920650975453,LIKE
13312631635_10154638456676636,252142835273471,SAD
13312631635_10154638456676636,10158957503070346,LIKE
13312631635_10154638456676636,1492125347475873,ANGRY
13312631635_10154638456676636,10211982262410456,ANGRY
13312631635_10154638456676636,10156282264003128,ANGRY
13312631635_10154638456676636,10156544524117575,LIKE
13312631635_10154638456676636,1526452670708743,SAD
13312631635_10154638456676636,1486240744730415,LOVE
13312631635_10154638456676636,1435063209849429,ANGRY
13312631635_10154638456676636,10209810937537534,SAD
13312631635_10154638456676636,1941459642764567,SAD
13312631635_10154638456676636,10211815075926366,LIKE
13312631635_10154638456676636,10154616860876434,SAD
13312631635_10154638456676636,10155336375936977,LIKE
13312631635_10154638456676636,878856038937621,WOW
13312631635_10154638456676636,10211790675556671,ANGRY
13312631635_10154638456676636,460366367647226,LIKE
13312631635_10154638456676636,1466961283325602,ANGRY
13312631635_10154638456676636,1502017123205726,ANGRY
13312631635_10154638456676636,658256901029478,LIKE
13312631635_10154638456676636,236813426831859,LIKE
13312631635_10154638456676636,10213341792889037,SAD
13312631635_10154638456676636,1366343756787627,ANGRY
13312631635_10154638456676636,10154606337921003,ANGRY
13312631635_10154638456676636,10155235053895781,ANGRY
13312631635_10154638456676636,322817471508672,SAD
13312631635_10154638456676636,10155434085826354,ANGRY
13312631635_10154638456676636,10208216181036207,HAHA
13312631635_10154638456676636,10211726840504950,LOVE
13312631635_10154638456676636,10211243716260998,SAD
13312631635_10154638456676636,1467974549928841,SAD
13312631635_10154638456676636,10209936540835591,LIKE
13312631635_10154638456676636,925532290919695,LIKE
13312631635_10154638456676636,1863357397324132,LIKE
13312631635_10154638456676636,10155407377944266,LIKE
13312631635_10154638456676636,1572640422809093,ANGRY
13312631635_10154638456676636,1458750317524118,SAD
13312631635_10154638456676636,10154822864706243,SAD
13312631635_10154638456676636,10154720085698873,SAD
13312631635_10154638456676636,10211045561269034,LIKE
13312631635_10154638456676636,775944932579262,LIKE
13312631635_10154638456676636,1390748611013891,LIKE
13312631635_10154638456676636,1832107807117024,LIKE
13312631635_10154638456676636,10211707750103655,LIKE
13312631635_10154638456676636,250040595484493,ANGRY
13312631635_10154638456676636,10212498369928260,LIKE
13312631635_10154638456676636,1358609154188456,ANGRY
13312631635_10154638456676636,10155193365035041,LIKE
13312631635_10154638456676636,10207850515934318,ANGRY
13312631635_10154638456676636,250557172113810,LIKE
13312631635_10154638456676636,808106129364174,LIKE
13312631635_10154638456676636,1590205647676380,LIKE
13312631635_10154638456676636,1899315680280217,LIKE
13312631635_10154638456676636,1394016927314401,SAD
13312631635_10154638456676636,1583806561690044,LIKE
13312631635_10154638456676636,388761868192754,LOVE
13312631635_10154638456676636,1490372097668580,LIKE
13312631635_10154638456676636,1089890274489231,LIKE
13312631635_10154638456676636,1244132245714671,LIKE
13312631635_10154638456676636,1517475498273988,LIKE
13312631635_10154638456676636,473496096338420,WOW
13312631635_10154638456676636,10155266593270661,LIKE
13312631635_10154638456676636,10155337071769651,SAD
13312631635_10154638456676636,1608906209128730,LIKE
13312631635_10154638456676636,2101661496727840,SAD
13312631635_10154638456676636,1372740902842182,LIKE
13312631635_10154638456676636,1510078849014044,ANGRY
13312631635_10154638456676636,1688906528085772,LIKE
13312631635_10154638456676636,10211802376029881,WOW
13312631635_10154638456676636,10213657183004210,SAD
13312631635_10154638456676636,1350232625031077,SAD
13312631635_10154638456676636,10209183206809564,SAD
13312631635_10154638456676636,1498272533613071,LIKE
13312631635_10154638456676636,1556255311053475,LIKE
13312631635_10154638456676636,1271690916292688,WOW
13312631635_10154638456676636,10155059495188600,LIKE
13312631635_10154638456676636,1924799277800739,ANGRY
13312631635_10154638456676636,1842712056056781,ANGRY
13312631635_10154638456676636,10211363516982217,SAD
13312631635_10154638456676636,10211758659515543,SAD
13312631635_10154638456676636,1526449550741197,SAD
13312631635_10154638456676636,2023467124551174,HAHA
13312631635_10154638456676636,1458727350832243,SAD
13312631635_10154638456676636,10156317762339829,LIKE
13312631635_10154638456676636,1495624330459947,LIKE
13312631635_10154638456676636,10155541111687490,LOVE
13312631635_10154638456676636,1430438037047985,LIKE
13312631635_10154638456676636,1389257264462448,LIKE
13312631635_10154638456676636,10203145604238853,LIKE
13312631635_10154638456676636,2529686970504726,LIKE
13312631635_10154638456676636,330482224055573,LIKE
13312631635_10154638456676636,1584171641607751,LIKE
13312631635_10154638456676636,10213783378523588,LIKE
13312631635_10154638456676636,10159029670065201,ANGRY
13312631635_10154638456676636,10154634834966846,HAHA
13312631635_10154638456676636,336212106799652,LIKE
13312631635_10154638456676636,1791432824206998,LIKE
13312631635_10154638456676636,1946717052236440,LIKE
13312631635_10154638456676636,815346225308195,ANGRY
13312631635_10154638456676636,10156465964799698,HAHA
13312631635_10154638456676636,844553122362019,LIKE
