parent_id,id,type
164665060214766_1697013113646612,10213174114057271,LIKE
164665060214766_1697013113646612,196496684212786,LIKE
164665060214766_1697013113646612,242556912927024,LIKE
164665060214766_1697013113646612,340818436352871,LIKE
164665060214766_1697013113646612,1350636305057344,LIKE
164665060214766_1697013113646612,1906576632942668,LIKE
164665060214766_1697013113646612,10213239664015895,LIKE
164665060214766_1697013113646612,10212601579172529,LIKE
164665060214766_1697013113646612,10154597106226073,LIKE
164665060214766_1697013113646612,302338983561871,LIKE
164665060214766_1697013113646612,10213975104151249,LIKE
164665060214766_1697013113646612,313302729097524,LIKE
164665060214766_1697013113646612,483148782028647,LIKE
164665060214766_1697013113646612,337404776696841,LIKE
164665060214766_1697013113646612,10212038116202398,LIKE
164665060214766_1697013113646612,499403227066329,LIKE
164665060214766_1697013113646612,10213482748002014,HAHA
164665060214766_1697013113646612,10210779279931359,LIKE
164665060214766_1697013113646612,1761199767229906,LIKE
164665060214766_1697013113646612,1227058610774377,LIKE
164665060214766_1697013113646612,10213783490646391,LIKE
164665060214766_1697013113646612,782481821918322,LIKE
164665060214766_1697013113646612,195010564363255,LIKE
164665060214766_1697013113646612,10213652798663239,LIKE
164665060214766_1697013113646612,811057392404260,LIKE
164665060214766_1697013113646612,1382786048471224,LIKE
164665060214766_1697013113646612,1577760148965381,LIKE
164665060214766_1697013113646612,1372815246100165,LIKE
164665060214766_1697013113646612,316027558838174,LIKE
164665060214766_1697013113646612,164037654138681,LIKE
164665060214766_1697013113646612,1459757854071131,LIKE
164665060214766_1697013113646612,1587775407919609,LIKE
164665060214766_1697013113646612,1541717312538632,LIKE
164665060214766_1697013113646612,1392885004162283,LIKE
164665060214766_1697013113646612,1628512003859755,SAD
164665060214766_1697013113646612,1885791931445885,LIKE
164665060214766_1697013113646612,1590084537691116,LIKE
164665060214766_1697013113646612,750404588472085,LIKE
164665060214766_1697013113646612,10155511043784036,LIKE
164665060214766_1697013113646612,251654785337786,LIKE
164665060214766_1697013113646612,1465168746883266,LIKE
164665060214766_1697013113646612,10156278812745410,LIKE
164665060214766_1697013113646612,10213699765308829,LIKE
164665060214766_1697013113646612,236967350149101,LIKE
164665060214766_1697013113646612,10211382551412160,LIKE
164665060214766_1697013113646612,1386620591431484,LIKE
164665060214766_1697013113646612,305100196627115,LIKE
164665060214766_1697013113646612,1349083951879548,LIKE
164665060214766_1697013113646612,10106077820990050,SAD
164665060214766_1697013113646612,10213026385964982,HAHA
164665060214766_1697013113646612,1950067421895409,ANGRY
164665060214766_1697013113646612,323914434700182,LIKE
164665060214766_1697013113646612,10154769954423450,LIKE
164665060214766_1697013113646612,1190277317784107,LIKE
164665060214766_1697013113646612,359082041174269,LIKE
164665060214766_1697013113646612,475388719464791,LIKE
164665060214766_1697013113646612,1151479521665213,LIKE
164665060214766_1697013113646612,305263956602525,LIKE
164665060214766_1697013113646612,10213870719028012,LIKE
164665060214766_1697013113646612,486139208385479,LIKE
164665060214766_1697013113646612,10155015520348649,LOVE
164665060214766_1697013113646612,10213684497883688,LIKE
164665060214766_1697013113646612,1770388522977258,SAD
164665060214766_1697013113646612,1510356599052732,HAHA
164665060214766_1697013113646612,10155444890869935,SAD
164665060214766_1697013113646612,10211636668785359,LIKE
164665060214766_1697013113646612,385168638551684,LIKE
164665060214766_1697013113646612,1243682599074361,LIKE
164665060214766_1697013113646612,1700210276951936,LIKE
164665060214766_1697013113646612,1170110803094384,LIKE
164665060214766_1697013113646612,10155539399017390,LIKE
164665060214766_1697013113646612,1495157760527774,LIKE
164665060214766_1697013113646612,460039844388478,LIKE
164665060214766_1697013113646612,10158802688865391,LOVE
164665060214766_1697013113646612,10154965338054671,LOVE
164665060214766_1697013113646612,936776849795618,LIKE
164665060214766_1697013113646612,1793843587298772,LOVE
164665060214766_1697013113646612,10213491882242027,LIKE
164665060214766_1697013113646612,1361702160532475,LIKE
164665060214766_1697013113646612,1865991787053693,LIKE
164665060214766_1697013113646612,10213988870982882,LIKE
164665060214766_1697013113646612,1917413611870821,SAD
164665060214766_1697013113646612,1370324526386917,LIKE
164665060214766_1697013113646612,1293944670718595,LIKE
164665060214766_1697013113646612,1568602939890017,LIKE
164665060214766_1697013113646612,1059325627531003,LIKE
164665060214766_1697013113646612,453089015077827,LIKE
164665060214766_1697013113646612,10155400497423267,LIKE
164665060214766_1697013113646612,10213895409443317,LOVE
164665060214766_1697013113646612,10154587897202321,LIKE
164665060214766_1697013113646612,1410257412385141,LIKE
164665060214766_1697013113646612,1429261720486486,LIKE
164665060214766_1697013113646612,490778961274326,LIKE
164665060214766_1697013113646612,10209214648834454,LIKE
164665060214766_1697013113646612,1582869178430800,LIKE
164665060214766_1697013113646612,10155446584136407,LIKE
164665060214766_1697013113646612,1953250008252734,LIKE
164665060214766_1697013113646612,941808739292723,LIKE
164665060214766_1697013113646612,10211660002269491,LIKE
164665060214766_1697013113646612,10156301671994097,LIKE
164665060214766_1697013113646612,10156533106668916,LIKE
164665060214766_1697013113646612,440599679642566,LIKE
164665060214766_1697013113646612,1444116472300982,LIKE
164665060214766_1697013113646612,10212318161565735,LIKE
164665060214766_1697013113646612,459365494419168,LIKE
164665060214766_1697013113646612,1621895287830212,SAD
164665060214766_1697013113646612,250698245418827,LIKE
164665060214766_1697013113646612,1386433368078392,LIKE
164665060214766_1697013113646612,10154723535805994,LIKE
164665060214766_1697013113646612,10207638079865087,LIKE
164665060214766_1697013113646612,1192785640867537,LIKE
164665060214766_1697013113646612,10209465437935846,LOVE
164665060214766_1697013113646612,10208134982126146,LIKE
164665060214766_1697013113646612,10159008499265565,LIKE
164665060214766_1697013113646612,1603147889705156,LIKE
164665060214766_1697013113646612,10155464077779561,LIKE
164665060214766_1697013113646612,10209535725331155,LIKE
164665060214766_1697013113646612,2056432897716099,LIKE
164665060214766_1697013113646612,10156691614779466,LIKE
164665060214766_1697013113646612,10155049053552224,LIKE
164665060214766_1697013113646612,239940253190677,LOVE
164665060214766_1697013113646612,1917496071871936,LIKE
164665060214766_1697013113646612,10210276593533263,LIKE
164665060214766_1697013113646612,1500019090041083,LIKE
164665060214766_1697013113646612,1367115223406291,HAHA
164665060214766_1697013113646612,194093697789221,LIKE
164665060214766_1697013113646612,1779122658769631,LIKE
164665060214766_1697013113646612,1588515777848557,LIKE
164665060214766_1697013113646612,10155453758859725,WOW
164665060214766_1697013113646612,10213821253675115,LIKE
164665060214766_1697013113646612,178805475990761,LIKE
164665060214766_1697013113646612,1696220570392248,LIKE
164665060214766_1697013113646612,10155541073776289,LOVE
164665060214766_1697013113646612,10210766576222459,LIKE
164665060214766_1697013113646612,10154519076662212,LIKE
164665060214766_1697013113646612,494774150859675,LIKE
164665060214766_1697013113646612,1946575912221434,LIKE
164665060214766_1697013113646612,10155557215192558,LIKE
164665060214766_1697013113646612,1420929461321145,LIKE
164665060214766_1697013113646612,10212281116918764,LOVE
164665060214766_1697013113646612,10159021185015319,LIKE
164665060214766_1697013113646612,1356554677713255,SAD
164665060214766_1697013113646612,238733136638178,LIKE
164665060214766_1697013113646612,10207369017422250,LIKE
164665060214766_1697013113646612,244920822663557,LIKE
164665060214766_1697013113646612,572377683152703,LIKE
164665060214766_1697013113646612,10211950469028701,LIKE
164665060214766_1697013113646612,1439314639457860,LIKE
164665060214766_1697013113646612,10212925300628130,LIKE
164665060214766_1697013113646612,10155347933510941,LIKE
164665060214766_1697013113646612,10155494010743166,LIKE
164665060214766_1697013113646612,296205317508565,LIKE
164665060214766_1697013113646612,10214109051705846,LIKE
164665060214766_1697013113646612,1150075718470804,LIKE
164665060214766_1697013113646612,491298764542987,LIKE
164665060214766_1697013113646612,1925480007726255,LIKE
164665060214766_1697013113646612,237218223455934,LIKE
164665060214766_1697013113646612,10213205513274444,LIKE
164665060214766_1697013113646612,2006414232924421,LIKE
164665060214766_1697013113646612,10212413359744821,LIKE
164665060214766_1697013113646612,10155089079348855,SAD
164665060214766_1697013113646612,10213957330426481,LOVE
164665060214766_1697013113646612,10159035350625714,LIKE
164665060214766_1697013113646612,1288035317961936,LIKE
164665060214766_1697013113646612,516164425398881,ANGRY
164665060214766_1697013113646612,1977626185857466,LIKE
164665060214766_1697013113646612,187704305097844,LIKE
164665060214766_1697013113646612,1404007623001610,LIKE
164665060214766_1697013113646612,10155866578296111,LOVE
164665060214766_1697013113646612,1074623112668733,LIKE
164665060214766_1697013113646612,10203729583517063,LIKE
164665060214766_1697013113646612,1440243396044244,SAD
164665060214766_1697013113646612,10154926780169773,LIKE
164665060214766_1697013113646612,797499430424519,LIKE
164665060214766_1697013113646612,163971814146151,LIKE
164665060214766_1697013113646612,1372422772807177,HAHA
164665060214766_1697013113646612,1900616620198977,LIKE
164665060214766_1697013113646612,706049392920993,LIKE
164665060214766_1697013113646612,324172181372904,LIKE
164665060214766_1697013113646612,272523229822300,LIKE
164665060214766_1697013113646612,10154563354975636,LIKE
164665060214766_1697013113646612,10156305244496258,LOVE
164665060214766_1697013113646612,246335235860781,LIKE
164665060214766_1697013113646612,1935970616622050,LIKE
164665060214766_1697013113646612,10213752012700392,LIKE
164665060214766_1697013113646612,10210941611909064,LOVE
164665060214766_1697013113646612,249916028842196,SAD
164665060214766_1697013113646612,1942734426007001,LIKE
164665060214766_1697013113646612,433280067056712,LIKE
164665060214766_1697013113646612,1521345321251327,LIKE
164665060214766_1697013113646612,10155599928117376,LOVE
164665060214766_1697013113646612,1775571322459018,LIKE
164665060214766_1697013113646612,249603048869341,LIKE
164665060214766_1697013113646612,1930874340271607,LIKE
164665060214766_1697013113646612,10213098590516786,LIKE
164665060214766_1697013113646612,10158872168035526,LIKE
