parent_id,id,type
161385360554578_1873230876036676,1401444446611296,LOVE
161385360554578_1873230876036676,807625789415142,LIKE
161385360554578_1873230876036676,1047586548705314,LIKE
161385360554578_1873230876036676,338525376566898,LIKE
161385360554578_1873230876036676,10154673933063314,LIKE
161385360554578_1873230876036676,10155839239099523,LIKE
161385360554578_1873230876036676,10213557487841223,LIKE
161385360554578_1873230876036676,797736650434526,LIKE
161385360554578_1873230876036676,10154737944323030,LIKE
161385360554578_1873230876036676,10214085688764742,LIKE
161385360554578_1873230876036676,1392200650896269,LIKE
161385360554578_1873230876036676,1075484892583018,LIKE
161385360554578_1873230876036676,1985633341462758,LIKE
161385360554578_1873230876036676,483383858674605,LIKE
161385360554578_1873230876036676,1592999890718217,SAD
161385360554578_1873230876036676,1925910694291061,LIKE
161385360554578_1873230876036676,1100803990061940,LIKE
161385360554578_1873230876036676,1066538840146354,LIKE
161385360554578_1873230876036676,1404096236336040,LIKE
161385360554578_1873230876036676,10211539741743856,LIKE
161385360554578_1873230876036676,10155499883472460,LIKE
161385360554578_1873230876036676,10213490478842510,LIKE
161385360554578_1873230876036676,468734026852381,LIKE
161385360554578_1873230876036676,10209514289475902,LIKE
161385360554578_1873230876036676,1644095542290570,LIKE
161385360554578_1873230876036676,743182839196027,LIKE
161385360554578_1873230876036676,1563078593704233,LIKE
161385360554578_1873230876036676,10155446319308890,LIKE
161385360554578_1873230876036676,10155322570686101,LIKE
161385360554578_1873230876036676,10211365654270775,LIKE
161385360554578_1873230876036676,10156338449907306,LIKE
161385360554578_1873230876036676,314190189008065,LIKE
161385360554578_1873230876036676,1970245269668269,LOVE
161385360554578_1873230876036676,1568770803136050,LIKE
161385360554578_1873230876036676,241112589722698,LIKE
161385360554578_1873230876036676,10155267712921655,LIKE
161385360554578_1873230876036676,817237621767978,LIKE
161385360554578_1873230876036676,1558576404215325,LIKE
161385360554578_1873230876036676,10154510352897470,LIKE
161385360554578_1873230876036676,10213507796432864,LIKE
161385360554578_1873230876036676,10156435049734741,LIKE
161385360554578_1873230876036676,726089037576428,LIKE
161385360554578_1873230876036676,1874407379546469,LIKE
161385360554578_1873230876036676,10211305183198293,LIKE
161385360554578_1873230876036676,10208990668076334,LIKE
161385360554578_1873230876036676,1222738724522638,LIKE
161385360554578_1873230876036676,10154346530511618,LIKE
161385360554578_1873230876036676,1566952683314881,LIKE
161385360554578_1873230876036676,1055934474510291,LIKE
161385360554578_1873230876036676,1575540445809897,HAHA
161385360554578_1873230876036676,10209622952867435,LIKE
161385360554578_1873230876036676,10158818647520184,LOVE
161385360554578_1873230876036676,1404132536345507,LIKE
161385360554578_1873230876036676,1217969948332752,LIKE
161385360554578_1873230876036676,1472983422767615,LIKE
161385360554578_1873230876036676,1169433639827610,LIKE
161385360554578_1873230876036676,10158906730000371,LIKE
161385360554578_1873230876036676,1942847839330919,LIKE
161385360554578_1873230876036676,461706380871590,LIKE
161385360554578_1873230876036676,1707412415954074,LIKE
161385360554578_1873230876036676,10155507569330701,LIKE
161385360554578_1873230876036676,1565160946829809,LOVE
161385360554578_1873230876036676,10155521015129766,LIKE
161385360554578_1873230876036676,10155381499702416,LIKE
161385360554578_1873230876036676,10154842127084072,LIKE
161385360554578_1873230876036676,10213153492094883,LOVE
161385360554578_1873230876036676,10213254477060280,LIKE
161385360554578_1873230876036676,475051442831703,LIKE
161385360554578_1873230876036676,10213614424422798,LIKE
161385360554578_1873230876036676,10213886028929181,LIKE
161385360554578_1873230876036676,253930995091689,LIKE
161385360554578_1873230876036676,10207718317476545,LIKE
161385360554578_1873230876036676,1836156913379461,LIKE
161385360554578_1873230876036676,1986851288215013,LIKE
161385360554578_1873230876036676,10211435042125726,LIKE
161385360554578_1873230876036676,1824965541153125,LIKE
161385360554578_1873230876036676,2352073118350652,LIKE
161385360554578_1873230876036676,172771556596486,LIKE
161385360554578_1873230876036676,10156981568546509,LIKE
161385360554578_1873230876036676,10155403830683329,LIKE
161385360554578_1873230876036676,1929805643957477,LIKE
161385360554578_1873230876036676,1363652823747930,LIKE
161385360554578_1873230876036676,10213677749435948,LIKE
161385360554578_1873230876036676,297820777346827,LOVE
161385360554578_1873230876036676,1754602021224255,LIKE
161385360554578_1873230876036676,1481913298558172,LIKE
161385360554578_1873230876036676,10207746734985336,LIKE
161385360554578_1873230876036676,1268236496620095,LIKE
161385360554578_1873230876036676,241011066413070,LIKE
161385360554578_1873230876036676,1903078616597290,LIKE
161385360554578_1873230876036676,1629938787050709,LIKE
161385360554578_1873230876036676,10154480642826104,LOVE
161385360554578_1873230876036676,1448044551901124,LIKE
161385360554578_1873230876036676,1892529637737206,LIKE
161385360554578_1873230876036676,1621856244491955,LIKE
161385360554578_1873230876036676,10158904612200114,LIKE
161385360554578_1873230876036676,1441026182623432,LIKE
