parent_id,id,type
143666524748_10155472936824749,10154505566416286,LIKE
143666524748_10155472936824749,874725159332577,LIKE
143666524748_10155472936824749,1503835816342405,LIKE
143666524748_10155472936824749,680757502117140,LIKE
143666524748_10155472936824749,230336164142514,LIKE
143666524748_10155472936824749,1903862383204770,LIKE
143666524748_10155472936824749,671557549701259,LIKE
143666524748_10155472936824749,184120562123255,LIKE
143666524748_10155472936824749,877454719080305,LIKE
143666524748_10155472936824749,168383730369059,LIKE
143666524748_10155472936824749,10213097343205508,WOW
143666524748_10155472936824749,1581140238602741,LOVE
143666524748_10155472936824749,1759316377417816,LIKE
143666524748_10155472936824749,1922449024711143,LIKE
143666524748_10155472936824749,10154753422809033,LIKE
143666524748_10155472936824749,10155583242374374,LIKE
143666524748_10155472936824749,10209884538254181,LIKE
143666524748_10155472936824749,10212596754541176,LOVE
143666524748_10155472936824749,286830805059692,LIKE
143666524748_10155472936824749,10212604480322350,LIKE
143666524748_10155472936824749,10213614424422798,LIKE
143666524748_10155472936824749,439865046398213,LIKE
143666524748_10155472936824749,819370388239073,LIKE
143666524748_10155472936824749,10212300695785022,LIKE
143666524748_10155472936824749,1220077171453045,LIKE
143666524748_10155472936824749,232980623882101,LIKE
143666524748_10155472936824749,1935924386647511,LIKE
143666524748_10155472936824749,10155498515153493,LOVE
143666524748_10155472936824749,1579412815433935,LIKE
143666524748_10155472936824749,10158921977000282,SAD
143666524748_10155472936824749,1468374206554799,LIKE
143666524748_10155472936824749,1370339816382562,LIKE
143666524748_10155472936824749,1305922779504965,ANGRY
143666524748_10155472936824749,797393007108638,LIKE
143666524748_10155472936824749,10155539965979630,ANGRY
143666524748_10155472936824749,1369489413146327,LIKE
143666524748_10155472936824749,1389292474459068,SAD
143666524748_10155472936824749,1936168069998853,LIKE
143666524748_10155472936824749,10156455095707468,ANGRY
143666524748_10155472936824749,10155518888284570,LOVE
143666524748_10155472936824749,1395175177197140,ANGRY
143666524748_10155472936824749,10154666618341867,LIKE
143666524748_10155472936824749,1571002366263996,LIKE
143666524748_10155472936824749,1491776714176639,LIKE
143666524748_10155472936824749,449084715474738,LIKE
143666524748_10155472936824749,1898149717102778,LIKE
143666524748_10155472936824749,1371350966293676,LIKE
143666524748_10155472936824749,449647888724866,LIKE
143666524748_10155472936824749,1260913920684473,LIKE
143666524748_10155472936824749,1871694042849878,LIKE
143666524748_10155472936824749,1513003768759943,LIKE
143666524748_10155472936824749,448120425551253,LIKE
143666524748_10155472936824749,1397222383694928,LIKE
143666524748_10155472936824749,10155709319802454,LIKE
143666524748_10155472936824749,1627865037256241,HAHA
143666524748_10155472936824749,10155540602642783,LIKE
143666524748_10155472936824749,1803660299660979,LOVE
143666524748_10155472936824749,1868887426697826,LIKE
143666524748_10155472936824749,10214292816693307,LIKE
143666524748_10155472936824749,10207550051829689,LIKE
143666524748_10155472936824749,10154632358290936,LIKE
143666524748_10155472936824749,10209307454392641,LIKE
143666524748_10155472936824749,656885111171133,LIKE
143666524748_10155472936824749,10154949947624480,LIKE
143666524748_10155472936824749,243645649471784,LIKE
143666524748_10155472936824749,1488797277807901,WOW
143666524748_10155472936824749,10213705845421351,LOVE
143666524748_10155472936824749,1449093498469865,LIKE
143666524748_10155472936824749,10213632154187294,LIKE
143666524748_10155472936824749,1985766518327228,LIKE
143666524748_10155472936824749,10155783387058287,LIKE
143666524748_10155472936824749,10207188204982561,SAD
143666524748_10155472936824749,10214558857633410,LIKE
143666524748_10155472936824749,1334872599960815,LIKE
143666524748_10155472936824749,1566902953354967,LIKE
143666524748_10155472936824749,1402164296529480,LIKE
143666524748_10155472936824749,10212071739321739,LIKE
143666524748_10155472936824749,1805107779499692,LIKE
143666524748_10155472936824749,184986972036780,LOVE
143666524748_10155472936824749,1827444710904652,LIKE
143666524748_10155472936824749,10213539399983793,LIKE
143666524748_10155472936824749,10155438039248374,LIKE
