parent_id,id,type
228735667216_1701316436551874,283904445417041,LIKE
228735667216_1701316436551874,213906062466922,LIKE
228735667216_1701316436551874,231810287327267,LIKE
228735667216_1701316436551874,248868725601040,LIKE
228735667216_1701316436551874,490548927955711,LIKE
228735667216_1701316436551874,255891198227715,LIKE
228735667216_1701316436551874,1706890322950039,LIKE
228735667216_1701316436551874,450477965308858,LIKE
228735667216_1701316436551874,500265917031865,ANGRY
228735667216_1701316436551874,10159070939785235,LIKE
228735667216_1701316436551874,213986322457072,LIKE
228735667216_1701316436551874,771758576327245,LIKE
228735667216_1701316436551874,239647216549318,LIKE
228735667216_1701316436551874,465114920536315,LIKE
228735667216_1701316436551874,1986822391539228,LIKE
228735667216_1701316436551874,244151632756536,LIKE
228735667216_1701316436551874,209373512921956,LIKE
228735667216_1701316436551874,245734779262793,LIKE
228735667216_1701316436551874,313685502411173,LIKE
228735667216_1701316436551874,246577905844990,LIKE
228735667216_1701316436551874,1246032435506661,LIKE
228735667216_1701316436551874,239434589903374,LIKE
228735667216_1701316436551874,458082394564454,LIKE
228735667216_1701316436551874,233202080530856,LIKE
228735667216_1701316436551874,246994092468892,LIKE
228735667216_1701316436551874,318710291890342,LIKE
228735667216_1701316436551874,462393237454507,LOVE
228735667216_1701316436551874,288234281648666,LIKE
228735667216_1701316436551874,10155336900696718,ANGRY
228735667216_1701316436551874,239031236611366,LIKE
228735667216_1701316436551874,187435658457919,LIKE
228735667216_1701316436551874,244229459426798,LIKE
228735667216_1701316436551874,10203542128630920,LIKE
228735667216_1701316436551874,252706655215320,LIKE
228735667216_1701316436551874,210382666152439,LIKE
228735667216_1701316436551874,242556699582364,LIKE
228735667216_1701316436551874,459291441090355,LIKE
228735667216_1701316436551874,1736337946395604,LIKE
228735667216_1701316436551874,10213062187166946,LIKE
228735667216_1701316436551874,10156379356094867,LIKE
228735667216_1701316436551874,1074623112668733,LIKE
228735667216_1701316436551874,442279146158008,LIKE
228735667216_1701316436551874,1635140119861266,LIKE
228735667216_1701316436551874,10210186073984464,LIKE
228735667216_1701316436551874,1901146483483921,LIKE
228735667216_1701316436551874,10213823633931859,LIKE
228735667216_1701316436551874,207053936488658,LIKE
228735667216_1701316436551874,1618412574838163,LIKE
228735667216_1701316436551874,10212322759931543,LIKE
228735667216_1701316436551874,10155292162903819,ANGRY
228735667216_1701316436551874,680106975507658,LIKE
228735667216_1701316436551874,247582569068236,LIKE
228735667216_1701316436551874,1081533781983915,LIKE
228735667216_1701316436551874,1335763519873918,LIKE
228735667216_1701316436551874,281617705579696,LIKE
228735667216_1701316436551874,326100031154548,LIKE
228735667216_1701316436551874,245555169271446,LIKE
228735667216_1701316436551874,318173618606286,LIKE
228735667216_1701316436551874,447539355620796,LIKE
228735667216_1701316436551874,1526296320752002,LIKE
228735667216_1701316436551874,774655596029193,LIKE
228735667216_1701316436551874,315914642154194,LIKE
228735667216_1701316436551874,1251659271627173,LIKE
228735667216_1701316436551874,1947204962228615,LIKE
228735667216_1701316436551874,1395148733915065,LIKE
228735667216_1701316436551874,1388542564569444,ANGRY
228735667216_1701316436551874,1924262951180778,LIKE
228735667216_1701316436551874,450568535318471,LIKE
228735667216_1701316436551874,232260010620552,LIKE
228735667216_1701316436551874,10155193886551293,LIKE
228735667216_1701316436551874,10158938062870293,LIKE
228735667216_1701316436551874,10211427756064000,LIKE
228735667216_1701316436551874,430742150644292,LIKE
228735667216_1701316436551874,215619518960298,LIKE
228735667216_1701316436551874,1418870714860456,LIKE
228735667216_1701316436551874,10155406362316996,LIKE
228735667216_1701316436551874,411901559204292,ANGRY
228735667216_1701316436551874,10211793442565339,LIKE
228735667216_1701316436551874,1799059590406393,LIKE
228735667216_1701316436551874,281158715682314,LIKE
228735667216_1701316436551874,1556641951074169,LIKE
228735667216_1701316436551874,10212155308630884,LIKE
228735667216_1701316436551874,1483302645066549,LIKE
228735667216_1701316436551874,10213332401412913,LIKE
228735667216_1701316436551874,459165004443516,LIKE
228735667216_1701316436551874,898889686930597,LIKE
228735667216_1701316436551874,10211827734826870,ANGRY
228735667216_1701316436551874,1548559558527757,LIKE
228735667216_1701316436551874,1328307123954812,LIKE
228735667216_1701316436551874,10213057592061834,LIKE
228735667216_1701316436551874,295882590884530,LIKE
228735667216_1701316436551874,471889263160819,LIKE
228735667216_1701316436551874,10213599704810061,LIKE
228735667216_1701316436551874,1835316153463016,LIKE
228735667216_1701316436551874,286372655164374,LIKE
228735667216_1701316436551874,230774104109408,LIKE
228735667216_1701316436551874,699615990247033,LIKE
228735667216_1701316436551874,317117708737490,LIKE
228735667216_1701316436551874,10203327365581905,LIKE
228735667216_1701316436551874,809151469251953,ANGRY
228735667216_1701316436551874,1370775599637276,LIKE
228735667216_1701316436551874,869728923174373,LIKE
228735667216_1701316436551874,1810254962618386,LIKE
228735667216_1701316436551874,1471100966284505,LIKE
228735667216_1701316436551874,10213845175792634,LIKE
228735667216_1701316436551874,198015957395910,LIKE
228735667216_1701316436551874,1939173639699925,LIKE
228735667216_1701316436551874,1607789462589168,LIKE
228735667216_1701316436551874,333340447101272,LIKE
228735667216_1701316436551874,239618019886496,LIKE
228735667216_1701316436551874,311429665980106,LIKE
228735667216_1701316436551874,775303625975955,LIKE
228735667216_1701316436551874,1560426900696145,LIKE
228735667216_1701316436551874,449514148760785,LIKE
228735667216_1701316436551874,261895150961793,LIKE
228735667216_1701316436551874,1878428159072420,LIKE
228735667216_1701316436551874,236817373497358,LIKE
