parent_id,id,type
10513336322_10155160822721323,319567415155339,LIKE
10513336322_10155160822721323,246563345841501,LIKE
10513336322_10155160822721323,1950067421895409,ANGRY
10513336322_10155160822721323,191522898045546,LIKE
10513336322_10155160822721323,195443524319456,LIKE
10513336322_10155160822721323,245726835943066,LIKE
10513336322_10155160822721323,2173937682832680,LIKE
10513336322_10155160822721323,243110942847551,LIKE
10513336322_10155160822721323,330665684037699,LIKE
10513336322_10155160822721323,10155196753166140,ANGRY
10513336322_10155160822721323,251289382044001,LIKE
10513336322_10155160822721323,233441320498983,LIKE
10513336322_10155160822721323,249410028893498,LIKE
10513336322_10155160822721323,10209330350595771,LIKE
10513336322_10155160822721323,10211125466947152,ANGRY
10513336322_10155160822721323,184696598730899,LIKE
10513336322_10155160822721323,1922694297987552,LIKE
10513336322_10155160822721323,239454126570883,LIKE
10513336322_10155160822721323,10154831447353269,LIKE
10513336322_10155160822721323,197676790762826,LOVE
10513336322_10155160822721323,1845854275732761,ANGRY
10513336322_10155160822721323,202472913613815,LOVE
10513336322_10155160822721323,1848478128803329,LIKE
10513336322_10155160822721323,797198210447339,LIKE
10513336322_10155160822721323,251751532007488,LIKE
10513336322_10155160822721323,187952735071513,LIKE
10513336322_10155160822721323,193949154469011,LOVE
10513336322_10155160822721323,433183853730955,LIKE
10513336322_10155160822721323,10210715783464281,WOW
10513336322_10155160822721323,1620876351255775,LIKE
10513336322_10155160822721323,10211663580198014,LIKE
10513336322_10155160822721323,10203332009138260,LIKE
10513336322_10155160822721323,1981055065254123,LIKE
10513336322_10155160822721323,267127050432474,LIKE
10513336322_10155160822721323,1817364111926429,LIKE
10513336322_10155160822721323,1717645634917024,LIKE
10513336322_10155160822721323,493964214272766,LOVE
10513336322_10155160822721323,10155474952588537,HAHA
10513336322_10155160822721323,236079320240515,LIKE
10513336322_10155160822721323,10158926650180564,ANGRY
10513336322_10155160822721323,250622488773534,LIKE
10513336322_10155160822721323,10155588085227975,HAHA
10513336322_10155160822721323,10211451720722580,LIKE
10513336322_10155160822721323,1744326265592360,LIKE
10513336322_10155160822721323,1932763160312521,LIKE
10513336322_10155160822721323,1910399195914387,ANGRY
10513336322_10155160822721323,1583548165010025,LIKE
10513336322_10155160822721323,1928129237467009,LIKE
10513336322_10155160822721323,10208618499172259,WOW
10513336322_10155160822721323,10212703595012150,LOVE
10513336322_10155160822721323,1463638033713485,ANGRY
10513336322_10155160822721323,10203760207001758,LIKE
10513336322_10155160822721323,194578044407039,LIKE
10513336322_10155160822721323,10213685704476815,LIKE
10513336322_10155160822721323,1925317717757402,LIKE
10513336322_10155160822721323,1240491676060459,SAD
10513336322_10155160822721323,378915749177346,LIKE
10513336322_10155160822721323,325273341244937,WOW
10513336322_10155160822721323,1956672824616872,ANGRY
10513336322_10155160822721323,1359525574125492,LIKE
10513336322_10155160822721323,10155563447897049,LIKE
10513336322_10155160822721323,1415605765197545,LIKE
10513336322_10155160822721323,10213660095166890,LOVE
10513336322_10155160822721323,1948640435350227,LIKE
10513336322_10155160822721323,1980536202178455,LIKE
10513336322_10155160822721323,364995807251503,ANGRY
10513336322_10155160822721323,1376476405762338,LIKE
10513336322_10155160822721323,1884444178474443,LIKE
10513336322_10155160822721323,1822716258043215,LIKE
10513336322_10155160822721323,10154596121130808,ANGRY
10513336322_10155160822721323,10155537119046979,LIKE
10513336322_10155160822721323,10155480713763103,ANGRY
10513336322_10155160822721323,1084413481695106,WOW
10513336322_10155160822721323,1912415395713975,LIKE
10513336322_10155160822721323,10209006708437497,ANGRY
10513336322_10155160822721323,1427438217351673,ANGRY
10513336322_10155160822721323,1558341704207936,LIKE
10513336322_10155160822721323,10213698287957860,LIKE
10513336322_10155160822721323,745970882251935,LIKE
10513336322_10155160822721323,1801389739876304,LOVE
10513336322_10155160822721323,787224971456178,LIKE
10513336322_10155160822721323,1307381646027083,SAD
10513336322_10155160822721323,999302330209792,LIKE
10513336322_10155160822721323,1374691079314401,LIKE
10513336322_10155160822721323,1223116927814944,LIKE
10513336322_10155160822721323,10155622568561042,ANGRY
10513336322_10155160822721323,1942901552632179,LIKE
10513336322_10155160822721323,621946718014229,LIKE
10513336322_10155160822721323,316786628778674,LIKE
10513336322_10155160822721323,1723477287956060,LIKE
10513336322_10155160822721323,1891652991083274,LIKE
10513336322_10155160822721323,10155194661940266,HAHA
10513336322_10155160822721323,1646064502094448,ANGRY
10513336322_10155160822721323,10158923808870006,LIKE
10513336322_10155160822721323,1598659366825238,LIKE
10513336322_10155160822721323,10154958664044094,ANGRY
10513336322_10155160822721323,477697959239102,LIKE
10513336322_10155160822721323,1805139479501494,ANGRY
10513336322_10155160822721323,1769298446420420,WOW
10513336322_10155160822721323,762408170634577,LIKE
10513336322_10155160822721323,1908411649398516,LIKE
10513336322_10155160822721323,988163077986914,LIKE
10513336322_10155160822721323,10213475087577462,LIKE
10513336322_10155160822721323,1878429962477967,LIKE
10513336322_10155160822721323,790669074433545,LIKE
10513336322_10155160822721323,336455213452187,LIKE
10513336322_10155160822721323,1590748487610575,LIKE
10513336322_10155160822721323,1754470371249708,LIKE
10513336322_10155160822721323,286753151788241,LIKE
10513336322_10155160822721323,660325890830195,LIKE
10513336322_10155160822721323,1054733081294331,LIKE
10513336322_10155160822721323,1466214900109624,LIKE
10513336322_10155160822721323,10213411506873208,SAD
10513336322_10155160822721323,1823510607664332,LIKE
