parent_id,id,type
143666524748_10155391628549749,487365734929598,LIKE
143666524748_10155391628549749,834795863358133,LIKE
143666524748_10155391628549749,1922007328038231,LIKE
143666524748_10155391628549749,10209861989814169,LIKE
143666524748_10155391628549749,1920272211517720,LIKE
143666524748_10155391628549749,805920616242378,LIKE
143666524748_10155391628549749,10213614343211949,LIKE
143666524748_10155391628549749,1630263560348695,LIKE
143666524748_10155391628549749,315541058891137,LIKE
143666524748_10155391628549749,2348807895344544,LIKE
143666524748_10155391628549749,496896077320440,LIKE
143666524748_10155391628549749,1879152999017206,LIKE
143666524748_10155391628549749,1172032822901804,LIKE
143666524748_10155391628549749,318173618606286,LIKE
143666524748_10155391628549749,451516328553340,LIKE
143666524748_10155391628549749,1689508351077920,LIKE
143666524748_10155391628549749,10154856157350914,HAHA
143666524748_10155391628549749,787224971456178,LIKE
143666524748_10155391628549749,1248426215286167,LIKE
143666524748_10155391628549749,457855547923153,LIKE
143666524748_10155391628549749,833422083473864,LIKE
143666524748_10155391628549749,639308209607542,LIKE
143666524748_10155391628549749,1384146164983896,LIKE
143666524748_10155391628549749,2134678380152422,LIKE
143666524748_10155391628549749,1549582715114639,LIKE
143666524748_10155391628549749,10155051409779145,LIKE
143666524748_10155391628549749,1883249045229028,LIKE
143666524748_10155391628549749,256268821527538,LIKE
143666524748_10155391628549749,1199371710191012,LIKE
143666524748_10155391628549749,10210186073984464,LIKE
143666524748_10155391628549749,1046719818797304,LIKE
143666524748_10155391628549749,642497802611910,LIKE
143666524748_10155391628549749,243274036177548,LIKE
143666524748_10155391628549749,849540281877173,LIKE
143666524748_10155391628549749,1834738176853295,LIKE
143666524748_10155391628549749,246031352581844,LIKE
143666524748_10155391628549749,1841980282796044,LIKE
143666524748_10155391628549749,337818273336489,LIKE
143666524748_10155391628549749,827561450739551,LIKE
143666524748_10155391628549749,10213149203785987,LIKE
143666524748_10155391628549749,10155287677160479,LIKE
143666524748_10155391628549749,204347000092048,LIKE
143666524748_10155391628549749,1719427028354099,LIKE
143666524748_10155391628549749,1493998130664637,LIKE
143666524748_10155391628549749,1825418544439579,LIKE
143666524748_10155391628549749,1732504736779066,LIKE
143666524748_10155391628549749,238200323354003,LIKE
143666524748_10155391628549749,1619451048127456,LIKE
143666524748_10155391628549749,1457855594276438,LIKE
143666524748_10155391628549749,1335698019876631,LIKE
143666524748_10155391628549749,10155634622793900,LIKE
143666524748_10155391628549749,1478976758791757,LIKE
143666524748_10155391628549749,1097458023722020,LIKE
143666524748_10155391628549749,1343420092393434,LIKE
143666524748_10155391628549749,10155391664390688,LIKE
143666524748_10155391628549749,1915281612021959,LIKE
143666524748_10155391628549749,1863905400598612,LIKE
143666524748_10155391628549749,1941279449477064,LIKE
143666524748_10155391628549749,10209446375011437,LIKE
143666524748_10155391628549749,10203282947751333,LIKE
143666524748_10155391628549749,658212784369873,LIKE
143666524748_10155391628549749,242770486218842,LIKE
143666524748_10155391628549749,1887186668209836,LIKE
143666524748_10155391628549749,1924287447813051,LOVE
143666524748_10155391628549749,10213668605415983,LIKE
143666524748_10155391628549749,1871294153136580,LIKE
143666524748_10155391628549749,1292298064220694,LIKE
143666524748_10155391628549749,10207775547906815,LIKE
143666524748_10155391628549749,1382587378444171,LIKE
143666524748_10155391628549749,10211466139662262,LIKE
143666524748_10155391628549749,1339265672853805,LIKE
143666524748_10155391628549749,229975397510146,LIKE
143666524748_10155391628549749,1698360176870957,LIKE
143666524748_10155391628549749,1415175905198397,LIKE
143666524748_10155391628549749,721150441409831,LIKE
143666524748_10155391628549749,829963500487243,LIKE
143666524748_10155391628549749,917244875081233,LIKE
143666524748_10155391628549749,1577117402319122,LIKE
143666524748_10155391628549749,1352613328120223,LIKE
143666524748_10155391628549749,359271524488472,LIKE
143666524748_10155391628549749,1725296180833455,LIKE
