parent_id,id,type
228735667216_10154776414897217,311478422639755,LIKE
228735667216_10154776414897217,303369116787443,LIKE
228735667216_10154776414897217,1859743767634545,LIKE
228735667216_10154776414897217,115800552362309,LIKE
228735667216_10154776414897217,428857170824678,LIKE
228735667216_10154776414897217,109852869591371,LIKE
228735667216_10154776414897217,174485856422410,LIKE
228735667216_10154776414897217,238044943356129,LIKE
228735667216_10154776414897217,349874255356114,LIKE
228735667216_10154776414897217,169046756966633,LIKE
228735667216_10154776414897217,222635831579191,LIKE
228735667216_10154776414897217,108777816401787,LIKE
228735667216_10154776414897217,167661127083761,LIKE
228735667216_10154776414897217,114040655848782,LIKE
228735667216_10154776414897217,119894625267017,LIKE
228735667216_10154776414897217,236908006824225,SAD
228735667216_10154776414897217,134716816893669,LIKE
228735667216_10154776414897217,109999222947982,LIKE
228735667216_10154776414897217,111290239483892,LIKE
228735667216_10154776414897217,110559929556350,LIKE
228735667216_10154776414897217,120586848536506,LIKE
228735667216_10154776414897217,151367845314485,LIKE
228735667216_10154776414897217,147936949015646,LIKE
228735667216_10154776414897217,101328100410159,LIKE
228735667216_10154776414897217,142018336351019,LIKE
228735667216_10154776414897217,137886460100528,LIKE
228735667216_10154776414897217,159117677934392,LIKE
228735667216_10154776414897217,779079025473432,SAD
228735667216_10154776414897217,187650165083242,LIKE
228735667216_10154776414897217,716146028471834,LIKE
228735667216_10154776414897217,105267473418499,LIKE
228735667216_10154776414897217,717705989630,SAD
228735667216_10154776414897217,1771363339819438,LIKE
228735667216_10154776414897217,862683053794022,SAD
228735667216_10154776414897217,215351762293066,LIKE
228735667216_10154776414897217,1423727747924030,LIKE
228735667216_10154776414897217,10152340820955598,LIKE
228735667216_10154776414897217,132652323938993,ANGRY
228735667216_10154776414897217,192891814515391,LIKE
228735667216_10154776414897217,887068091316541,LIKE
228735667216_10154776414897217,109126652959993,LIKE
228735667216_10154776414897217,124865451406567,SAD
228735667216_10154776414897217,310412902750784,LIKE
228735667216_10154776414897217,111499129462519,LIKE
228735667216_10154776414897217,109430399670929,LIKE
228735667216_10154776414897217,116390325629103,LIKE
228735667216_10154776414897217,810156045030,SAD
228735667216_10154776414897217,157686181430478,LIKE
228735667216_10154776414897217,217070308782846,LIKE
228735667216_10154776414897217,103654016903135,LIKE
228735667216_10154776414897217,798317486864284,LIKE
228735667216_10154776414897217,596740370427955,LIKE
228735667216_10154776414897217,10201692237786825,LIKE
228735667216_10154776414897217,735204789843797,SAD
228735667216_10154776414897217,127189057860059,LIKE
228735667216_10154776414897217,118298045436301,LIKE
228735667216_10154776414897217,107905349824088,LIKE
228735667216_10154776414897217,117938558776919,LIKE
228735667216_10154776414897217,307312133055704,LIKE
228735667216_10154776414897217,247187722307947,LIKE
228735667216_10154776414897217,562292487492169,LIKE
228735667216_10154776414897217,1500217793533340,SAD
228735667216_10154776414897217,121625941762154,LIKE
228735667216_10154776414897217,215086002346655,LIKE
228735667216_10154776414897217,142076852979458,LIKE
228735667216_10154776414897217,162987907528655,LIKE
228735667216_10154776414897217,110744366198463,LIKE
228735667216_10154776414897217,1505695866382223,SAD
228735667216_10154776414897217,622607867926610,LIKE
228735667216_10154776414897217,102740510311818,LIKE
228735667216_10154776414897217,100773173862314,LIKE
228735667216_10154776414897217,396454430685614,LOVE
228735667216_10154776414897217,230763934049439,LIKE
228735667216_10154776414897217,132958777119505,LIKE
228735667216_10154776414897217,122902048308677,LIKE
228735667216_10154776414897217,1659844447612907,LIKE
228735667216_10154776414897217,358486094538975,LIKE
228735667216_10154776414897217,302033043590285,SAD
228735667216_10154776414897217,115072479105964,LIKE
228735667216_10154776414897217,1966940713535244,LIKE
228735667216_10154776414897217,959179714114138,LIKE
228735667216_10154776414897217,733854270122190,LIKE
228735667216_10154776414897217,110468449554667,LIKE
228735667216_10154776414897217,828382113978836,LIKE
228735667216_10154776414897217,115464382397481,LIKE
228735667216_10154776414897217,899691063384060,LIKE
228735667216_10154776414897217,1556959164545326,LIKE
228735667216_10154776414897217,240468076375366,LIKE
228735667216_10154776414897217,109091003038617,LIKE
228735667216_10154776414897217,10152841475796812,SAD
228735667216_10154776414897217,111562729446283,LIKE
228735667216_10154776414897217,1448063588800423,SAD
228735667216_10154776414897217,745707658809828,SAD
228735667216_10154776414897217,1018519751541604,LIKE
228735667216_10154776414897217,375213689539944,LIKE
228735667216_10154776414897217,1486899551628331,LIKE
228735667216_10154776414897217,1422550981392022,SAD
228735667216_10154776414897217,136213963620964,LIKE
228735667216_10154776414897217,1637516133194437,LIKE
228735667216_10154776414897217,118215625325898,LIKE
228735667216_10154776414897217,846403838760559,SAD
228735667216_10154776414897217,114974852414629,LIKE
228735667216_10154776414897217,821110984643851,LIKE
228735667216_10154776414897217,110744562861950,LIKE
228735667216_10154776414897217,10205867982203080,SAD
228735667216_10154776414897217,109468876332369,LIKE
228735667216_10154776414897217,150225938783828,SAD
228735667216_10154776414897217,110124326236564,LIKE
228735667216_10154776414897217,10203162916185938,LIKE
228735667216_10154776414897217,125593171268623,LIKE
228735667216_10154776414897217,420765054743648,LIKE
228735667216_10154776414897217,757555507738205,LIKE
228735667216_10154776414897217,143508576213747,LIKE
228735667216_10154776414897217,1013047605377988,LIKE
228735667216_10154776414897217,1725151137746409,LIKE
228735667216_10154776414897217,186311618428743,SAD
228735667216_10154776414897217,376574369189900,LIKE
228735667216_10154776414897217,235668806866849,WOW
228735667216_10154776414897217,141037839747589,LIKE
228735667216_10154776414897217,121638154856288,ANGRY
228735667216_10154776414897217,157677344741417,SAD
228735667216_10154776414897217,1740284142959486,LIKE
228735667216_10154776414897217,770493526392051,SAD
228735667216_10154776414897217,108811086118346,LIKE
228735667216_10154776414897217,993912167301949,SAD
228735667216_10154776414897217,112719466003120,LIKE
228735667216_10154776414897217,1043456589040470,LIKE
228735667216_10154776414897217,1560300607548869,LIKE
228735667216_10154776414897217,375180792690222,LIKE
228735667216_10154776414897217,140666393162859,LIKE
228735667216_10154776414897217,1810955089219528,LIKE
228735667216_10154776414897217,10152345350267882,SAD
228735667216_10154776414897217,674310962694522,SAD
228735667216_10154776414897217,148289645587487,LIKE
228735667216_10154776414897217,414503315382657,LIKE
228735667216_10154776414897217,102275677058514,LIKE
228735667216_10154776414897217,192700227763687,LIKE
228735667216_10154776414897217,1928512354061466,LIKE
228735667216_10154776414897217,109500059658269,LIKE
228735667216_10154776414897217,723626371060397,SAD
228735667216_10154776414897217,104494446828883,SAD
228735667216_10154776414897217,117746558790770,LIKE
228735667216_10154776414897217,172097476660117,LIKE
228735667216_10154776414897217,101161940216381,SAD
228735667216_10154776414897217,783699158390787,SAD
228735667216_10154776414897217,149513592183720,LIKE
228735667216_10154776414897217,110438632831703,LIKE
228735667216_10154776414897217,10201018135573385,LIKE
228735667216_10154776414897217,115309065731635,LIKE
228735667216_10154776414897217,110249176242030,LIKE
228735667216_10154776414897217,703929053070682,LIKE
228735667216_10154776414897217,1758552441036837,LIKE
228735667216_10154776414897217,118254815415054,LIKE
228735667216_10154776414897217,105013316762445,LIKE
228735667216_10154776414897217,312005862576204,LIKE
228735667216_10154776414897217,366478686848344,SAD
228735667216_10154776414897217,108277363045926,LIKE
228735667216_10154776414897217,10202572756018602,LIKE
228735667216_10154776414897217,102546227030956,LIKE
228735667216_10154776414897217,10153050827359221,SAD
228735667216_10154776414897217,10102335742585684,LIKE
228735667216_10154776414897217,188545294810579,SAD
228735667216_10154776414897217,105679050012366,LIKE
228735667216_10154776414897217,144711529313688,LIKE
228735667216_10154776414897217,105341286749724,LIKE
228735667216_10154776414897217,109930282859798,LIKE
228735667216_10154776414897217,102959853518105,LIKE
228735667216_10154776414897217,764585880287228,LIKE
228735667216_10154776414897217,10152778387703399,LIKE
228735667216_10154776414897217,117291815468148,LIKE
228735667216_10154776414897217,412619789127782,LIKE
228735667216_10154776414897217,118853358703854,LIKE
228735667216_10154776414897217,137247846848550,LIKE
228735667216_10154776414897217,334888660050849,SAD
228735667216_10154776414897217,146535572544082,LIKE
228735667216_10154776414897217,313645009081447,LIKE
228735667216_10154776414897217,170204793457140,LIKE
228735667216_10154776414897217,1512514765725318,LIKE
228735667216_10154776414897217,10204278662265224,SAD
228735667216_10154776414897217,100721307215718,LIKE
228735667216_10154776414897217,4398315532331,LIKE
228735667216_10154776414897217,1405363229775893,LIKE
228735667216_10154776414897217,524672717710961,LIKE
228735667216_10154776414897217,109341382991241,LIKE
228735667216_10154776414897217,373977689473933,SAD
228735667216_10154776414897217,110519572889152,LIKE
228735667216_10154776414897217,235116256939669,LIKE
228735667216_10154776414897217,106481129918332,LIKE
228735667216_10154776414897217,10208165948282958,SAD
228735667216_10154776414897217,136611056869302,LIKE
228735667216_10154776414897217,104500776818201,LIKE
228735667216_10154776414897217,931392256874003,LIKE
228735667216_10154776414897217,188178544902873,LIKE
228735667216_10154776414897217,129184517564974,LIKE
228735667216_10154776414897217,104735896664926,LIKE
228735667216_10154776414897217,667508959993421,SAD
228735667216_10154776414897217,10152321369853058,SAD
228735667216_10154776414897217,1797082107239482,LIKE
228735667216_10154776414897217,695452217175704,SAD
228735667216_10154776414897217,759276577556189,LIKE
228735667216_10154776414897217,147814945664542,LIKE
228735667216_10154776414897217,1602525313360865,LIKE
