parent_id,id,type
164305410295882_2419740744752326,117631608846042,LIKE
164305410295882_2419740744752326,284768705231824,LIKE
164305410295882_2419740744752326,111820639437828,LIKE
164305410295882_2419740744752326,114729172475755,LIKE
164305410295882_2419740744752326,114253652523140,LIKE
164305410295882_2419740744752326,130394417541231,WOW
164305410295882_2419740744752326,113950415888545,LIKE
164305410295882_2419740744752326,113120252640686,SAD
164305410295882_2419740744752326,111378722817228,LIKE
164305410295882_2419740744752326,115650109046576,WOW
164305410295882_2419740744752326,113680425916904,LIKE
164305410295882_2419740744752326,451326921896498,LIKE
164305410295882_2419740744752326,110910526193649,LIKE
164305410295882_2419740744752326,145717402669106,LIKE
164305410295882_2419740744752326,1608642392754245,LIKE
164305410295882_2419740744752326,111996906080991,SAD
164305410295882_2419740744752326,464663970330746,SAD
164305410295882_2419740744752326,111910472763599,LIKE
164305410295882_2419740744752326,122985854956739,LIKE
164305410295882_2419740744752326,115751049037915,SAD
164305410295882_2419740744752326,323071278127310,LIKE
164305410295882_2419740744752326,771984582866913,LIKE
164305410295882_2419740744752326,109569332989724,LIKE
164305410295882_2419740744752326,115249165752493,SAD
164305410295882_2419740744752326,119635745307242,LIKE
164305410295882_2419740744752326,10200096832299841,ANGRY
164305410295882_2419740744752326,112541436032337,SAD
164305410295882_2419740744752326,115236469091331,LIKE
164305410295882_2419740744752326,109138883037622,LIKE
164305410295882_2419740744752326,114575552492054,SAD
164305410295882_2419740744752326,114234132528026,LIKE
164305410295882_2419740744752326,132950477288807,WOW
164305410295882_2419740744752326,115649399049214,LIKE
164305410295882_2419740744752326,116177262328359,SAD
164305410295882_2419740744752326,142016552849898,LIKE
164305410295882_2419740744752326,127578857797849,SAD
164305410295882_2419740744752326,10154425274625301,LIKE
164305410295882_2419740744752326,109310263013157,LIKE
164305410295882_2419740744752326,114487475834194,LIKE
164305410295882_2419740744752326,10203842563938834,SAD
164305410295882_2419740744752326,10205610841259175,SAD
164305410295882_2419740744752326,622332887872169,LIKE
164305410295882_2419740744752326,629903260422646,SAD
164305410295882_2419740744752326,884023398315121,LIKE
164305410295882_2419740744752326,763362400389415,WOW
164305410295882_2419740744752326,1385555595085429,SAD
164305410295882_2419740744752326,233316607186373,LIKE
164305410295882_2419740744752326,10153316882685021,SAD
164305410295882_2419740744752326,10200424088240151,SAD
164305410295882_2419740744752326,698263523642362,SAD
164305410295882_2419740744752326,120981721664119,SAD
164305410295882_2419740744752326,603879616396553,LIKE
164305410295882_2419740744752326,146313915936148,WOW
164305410295882_2419740744752326,334309236940866,LIKE
164305410295882_2419740744752326,10205144045707264,SAD
164305410295882_2419740744752326,225182577945062,LIKE
164305410295882_2419740744752326,697027323793497,LIKE
164305410295882_2419740744752326,1129019823793806,SAD
164305410295882_2419740744752326,661756000526895,LIKE
164305410295882_2419740744752326,848979131884574,SAD
164305410295882_2419740744752326,379305169076992,LIKE
164305410295882_2419740744752326,768281289873963,LIKE
164305410295882_2419740744752326,10152757543347044,LIKE
164305410295882_2419740744752326,1619863638234199,LIKE
164305410295882_2419740744752326,541656189299018,LIKE
164305410295882_2419740744752326,1404392706518072,SAD
164305410295882_2419740744752326,1337280229673729,LIKE
164305410295882_2419740744752326,1427722924222106,SAD
164305410295882_2419740744752326,10204317783205345,SAD
164305410295882_2419740744752326,10207217838230124,LIKE
164305410295882_2419740744752326,10207436245202222,SAD
164305410295882_2419740744752326,10205885920365619,LIKE
164305410295882_2419740744752326,10205613150588471,WOW
164305410295882_2419740744752326,10205651209338378,SAD
164305410295882_2419740744752326,577571852349710,SAD
164305410295882_2419740744752326,829916837032622,WOW
164305410295882_2419740744752326,730502190365323,SAD
164305410295882_2419740744752326,10206353689152677,LIKE
164305410295882_2419740744752326,152361091918165,LIKE
164305410295882_2419740744752326,10153401084866531,LIKE
164305410295882_2419740744752326,987511821294811,SAD
164305410295882_2419740744752326,546649778770099,SAD
164305410295882_2419740744752326,124973274708763,LIKE
164305410295882_2419740744752326,172460016476362,LIKE
164305410295882_2419740744752326,242243759602988,SAD
164305410295882_2419740744752326,283463141832062,LIKE
164305410295882_2419740744752326,126967107655033,SAD
164305410295882_2419740744752326,323210951212469,LIKE
164305410295882_2419740744752326,194201630956019,WOW
164305410295882_2419740744752326,188061701728730,SAD
164305410295882_2419740744752326,1385959805054487,SAD
164305410295882_2419740744752326,10152064228743457,SAD
164305410295882_2419740744752326,283517975170492,SAD
164305410295882_2419740744752326,10151968971241426,WOW
164305410295882_2419740744752326,10203030081569800,SAD
164305410295882_2419740744752326,1611221562473667,LIKE
164305410295882_2419740744752326,773603376026557,SAD
164305410295882_2419740744752326,1581298388754142,LIKE
164305410295882_2419740744752326,396181687204236,SAD
164305410295882_2419740744752326,10155588563835122,SAD
164305410295882_2419740744752326,534667453354243,LIKE
164305410295882_2419740744752326,10202916235178542,SAD
164305410295882_2419740744752326,634457976663393,SAD
164305410295882_2419740744752326,10204436865434725,SAD
164305410295882_2419740744752326,10202701960127785,LIKE
164305410295882_2419740744752326,825682874193664,LIKE
164305410295882_2419740744752326,142142056129157,LIKE
164305410295882_2419740744752326,137783703265000,SAD
164305410295882_2419740744752326,143331319488284,SAD
164305410295882_2419740744752326,10152403365577305,SAD
164305410295882_2419740744752326,10101648430199539,SAD
164305410295882_2419740744752326,818258721537229,LIKE
164305410295882_2419740744752326,10154182975640581,SAD
164305410295882_2419740744752326,167550670347976,LIKE
164305410295882_2419740744752326,10203701941973322,SAD
164305410295882_2419740744752326,873306146020229,LIKE
164305410295882_2419740744752326,733925846701791,LIKE
164305410295882_2419740744752326,856851457719015,LIKE
164305410295882_2419740744752326,139540616496738,LIKE
164305410295882_2419740744752326,900030686685233,SAD
164305410295882_2419740744752326,893382680790763,SAD
164305410295882_2419740744752326,754364134612713,LIKE
164305410295882_2419740744752326,767839729918432,LIKE
164305410295882_2419740744752326,1863835880505829,SAD
164305410295882_2419740744752326,359546727715452,SAD
164305410295882_2419740744752326,618791064953291,SAD
164305410295882_2419740744752326,923083461043699,SAD
164305410295882_2419740744752326,758138127556654,SAD
164305410295882_2419740744752326,10202150688905089,SAD
164305410295882_2419740744752326,4201663736460,SAD
164305410295882_2419740744752326,4118304572174,SAD
164305410295882_2419740744752326,10204665677951888,LIKE
164305410295882_2419740744752326,587032021392260,LIKE
164305410295882_2419740744752326,1428229220810761,LIKE
164305410295882_2419740744752326,1239142339435816,LIKE
164305410295882_2419740744752326,144904619193905,LIKE
164305410295882_2419740744752326,1557142881187325,SAD
164305410295882_2419740744752326,10205433565383609,SAD
164305410295882_2419740744752326,105071363369607,LIKE
164305410295882_2419740744752326,213259319141043,SAD
164305410295882_2419740744752326,1468523883189240,LIKE
164305410295882_2419740744752326,666593440099499,LIKE
164305410295882_2419740744752326,123537464840779,LIKE
164305410295882_2419740744752326,108112519625163,SAD
164305410295882_2419740744752326,10152364998071697,LIKE
164305410295882_2419740744752326,148322102307570,LIKE
164305410295882_2419740744752326,10205308832911695,SAD
164305410295882_2419740744752326,524970177604315,SAD
164305410295882_2419740744752326,10201519648583531,SAD
164305410295882_2419740744752326,10152258548341906,SAD
164305410295882_2419740744752326,479869488808352,SAD
164305410295882_2419740744752326,113204599192200,LIKE
164305410295882_2419740744752326,516232921815560,SAD
164305410295882_2419740744752326,1504026616547609,LIKE
164305410295882_2419740744752326,156616164742656,LIKE
164305410295882_2419740744752326,736366573091821,SAD
164305410295882_2419740744752326,797459413599505,SAD
164305410295882_2419740744752326,790335991023361,SAD
