parent_id,id,type
10513336322_10155569042641323,1437304259908457,LIKE
10513336322_10155569042641323,10153126106722013,LIKE
10513336322_10155569042641323,960155950676677,ANGRY
10513336322_10155569042641323,1753941271499654,LIKE
10513336322_10155569042641323,1523312291303284,LIKE
10513336322_10155569042641323,631138480340124,SAD
10513336322_10155569042641323,10152141535941541,ANGRY
10513336322_10155569042641323,10203198699762670,LIKE
10513336322_10155569042641323,969783689703302,LIKE
10513336322_10155569042641323,691427927617288,ANGRY
10513336322_10155569042641323,10202920625841739,SAD
10513336322_10155569042641323,728836955468,LIKE
10513336322_10155569042641323,1434425143521142,LIKE
10513336322_10155569042641323,10152760536987833,LIKE
10513336322_10155569042641323,10152357997744413,LIKE
10513336322_10155569042641323,299509613757055,LIKE
10513336322_10155569042641323,10152581931457856,ANGRY
10513336322_10155569042641323,10204920770650206,SAD
10513336322_10155569042641323,299602670432676,LIKE
10513336322_10155569042641323,462240567283985,LIKE
10513336322_10155569042641323,478947175582772,LIKE
10513336322_10155569042641323,10154553012986803,LIKE
10513336322_10155569042641323,10153164765058042,LIKE
10513336322_10155569042641323,830512696970274,LIKE
10513336322_10155569042641323,877574905586854,LIKE
10513336322_10155569042641323,1423906451262597,LIKE
10513336322_10155569042641323,10204017998043844,LIKE
10513336322_10155569042641323,10152283390793461,LIKE
10513336322_10155569042641323,10152599882654494,LIKE
10513336322_10155569042641323,10152748218087772,LIKE
10513336322_10155569042641323,1553360104880347,LIKE
10513336322_10155569042641323,10153715338860979,LIKE
10513336322_10155569042641323,916679271780480,LIKE
10513336322_10155569042641323,10152928123152094,LIKE
10513336322_10155569042641323,10100523704302042,LIKE
10513336322_10155569042641323,10205196494251695,ANGRY
10513336322_10155569042641323,10202105738284620,SAD
10513336322_10155569042641323,1135666106525006,LIKE
10513336322_10155569042641323,1608357069413317,LIKE
10513336322_10155569042641323,10155614103640608,LIKE
10513336322_10155569042641323,10202416517227522,LIKE
10513336322_10155569042641323,10152161207261582,LIKE
10513336322_10155569042641323,10152602417213008,LIKE
10513336322_10155569042641323,341051216078942,LIKE
10513336322_10155569042641323,10204891289739557,LIKE
10513336322_10155569042641323,10152826033432289,LIKE
10513336322_10155569042641323,10206083601596391,ANGRY
10513336322_10155569042641323,10152423864366947,SAD
10513336322_10155569042641323,10152167766979093,SAD
10513336322_10155569042641323,10154873717680416,LIKE
10513336322_10155569042641323,117462772033996,LIKE
10513336322_10155569042641323,10204841367147515,LIKE
10513336322_10155569042641323,10154698259165034,LIKE
10513336322_10155569042641323,890533337631129,WOW
10513336322_10155569042641323,10204013927048865,SAD
10513336322_10155569042641323,10205376016140852,LIKE
10513336322_10155569042641323,10152636475305011,LIKE
10513336322_10155569042641323,813885475300357,LIKE
10513336322_10155569042641323,10153927183552306,LIKE
10513336322_10155569042641323,622801281136657,LIKE
10513336322_10155569042641323,10152982751364446,LIKE
10513336322_10155569042641323,10153089051788106,SAD
10513336322_10155569042641323,879873628696784,LIKE
10513336322_10155569042641323,1107383375956262,LIKE
10513336322_10155569042641323,10204301733041568,SAD
10513336322_10155569042641323,1069683523060459,LIKE
10513336322_10155569042641323,10202601560550407,SAD
10513336322_10155569042641323,10152623367676232,LIKE
10513336322_10155569042641323,935517899837886,LIKE
10513336322_10155569042641323,627561650695011,WOW
10513336322_10155569042641323,10152438510082001,LIKE
10513336322_10155569042641323,547171212069260,LIKE
10513336322_10155569042641323,10202010569645360,LIKE
10513336322_10155569042641323,10204342016363635,SAD
10513336322_10155569042641323,10202899032310950,LIKE
10513336322_10155569042641323,714413255303414,LIKE
10513336322_10155569042641323,10210310373301476,SAD
10513336322_10155569042641323,128222810943464,LIKE
10513336322_10155569042641323,10152356273031438,LIKE
10513336322_10155569042641323,10154089732129813,ANGRY
10513336322_10155569042641323,538469746279111,LIKE
10513336322_10155569042641323,938621316167718,SAD
10513336322_10155569042641323,10100488201513255,SAD
10513336322_10155569042641323,10152671032306266,ANGRY
10513336322_10155569042641323,10152386398137817,LIKE
10513336322_10155569042641323,887063671319452,LIKE
10513336322_10155569042641323,697984380338291,LIKE
10513336322_10155569042641323,10155203005580492,LIKE
10513336322_10155569042641323,10152522770778159,LIKE
10513336322_10155569042641323,852157684863699,SAD
10513336322_10155569042641323,10152508775245741,LIKE
10513336322_10155569042641323,10202724039082936,LIKE
10513336322_10155569042641323,1393925360913939,LIKE
10513336322_10155569042641323,10154840773820454,ANGRY
10513336322_10155569042641323,10202701432198676,ANGRY
10513336322_10155569042641323,10205042650206806,SAD
10513336322_10155569042641323,921554781204698,LIKE
10513336322_10155569042641323,10206313842740718,LIKE
10513336322_10155569042641323,864470516977726,ANGRY
10513336322_10155569042641323,10154093582980593,SAD
10513336322_10155569042641323,930184413668632,LIKE
10513336322_10155569042641323,1703302049699823,SAD
10513336322_10155569042641323,10154102588180113,SAD
10513336322_10155569042641323,10152658675583338,LIKE
10513336322_10155569042641323,1073741942643588,SAD
10513336322_10155569042641323,848763535141259,LIKE
10513336322_10155569042641323,1430038763983774,SAD
10513336322_10155569042641323,503607099770608,SAD
10513336322_10155569042641323,1024116934349700,LIKE
10513336322_10155569042641323,10152545538093927,LIKE
10513336322_10155569042641323,10152506945390841,LIKE
10513336322_10155569042641323,10152567573574334,LIKE
10513336322_10155569042641323,224912544623990,LIKE
10513336322_10155569042641323,10208410449716302,LIKE
10513336322_10155569042641323,10200818380541779,LIKE
10513336322_10155569042641323,10153925986219447,ANGRY
10513336322_10155569042641323,10152313756843818,ANGRY
10513336322_10155569042641323,10204434845011862,SAD
10513336322_10155569042641323,677469785647436,SAD
10513336322_10155569042641323,862628987097581,LIKE
10513336322_10155569042641323,10152833462704031,LIKE
10513336322_10155569042641323,10204713947682524,LIKE
10513336322_10155569042641323,10153016194130701,LIKE
10513336322_10155569042641323,10204822652744752,LIKE
10513336322_10155569042641323,10152343301086007,SAD
10513336322_10155569042641323,703313683043839,LIKE
10513336322_10155569042641323,652195811575987,LIKE
10513336322_10155569042641323,10202799137914346,WOW
10513336322_10155569042641323,674285639303941,SAD
10513336322_10155569042641323,944985888860834,WOW
10513336322_10155569042641323,160596514324642,LIKE
10513336322_10155569042641323,514704405340624,LIKE
10513336322_10155569042641323,10152390308276337,SAD
10513336322_10155569042641323,881845491900057,LIKE
10513336322_10155569042641323,10153193348218190,SAD
10513336322_10155569042641323,10153987917742564,LIKE
10513336322_10155569042641323,10154825794510171,ANGRY
10513336322_10155569042641323,10102541846486157,SAD
10513336322_10155569042641323,10152498705629221,SAD
10513336322_10155569042641323,1427855094021251,WOW
10513336322_10155569042641323,10204747692952710,LIKE
10513336322_10155569042641323,10206764632171059,LIKE
10513336322_10155569042641323,10202969886087640,LIKE
10513336322_10155569042641323,4091628505250,SAD
10513336322_10155569042641323,10152752654261912,ANGRY
10513336322_10155569042641323,10152465099080866,LIKE
10513336322_10155569042641323,10153058465910752,LIKE
10513336322_10155569042641323,10156120213470165,LIKE
10513336322_10155569042641323,10152092807095878,LIKE
10513336322_10155569042641323,10203629040715394,LIKE
10513336322_10155569042641323,10202653265993183,LIKE
10513336322_10155569042641323,1490670521251448,SAD
10513336322_10155569042641323,829918837038695,ANGRY
10513336322_10155569042641323,10153425846473714,LIKE
10513336322_10155569042641323,10155670861750697,LIKE
10513336322_10155569042641323,819896821354783,LIKE
10513336322_10155569042641323,10152855177298618,LIKE
10513336322_10155569042641323,959154750802149,LIKE
10513336322_10155569042641323,10154719806645161,ANGRY
10513336322_10155569042641323,10205482521003011,LIKE
10513336322_10155569042641323,10203433237051697,LIKE
10513336322_10155569042641323,10154678397070175,LIKE
10513336322_10155569042641323,1899009620347358,LIKE
10513336322_10155569042641323,10100130634265209,ANGRY
10513336322_10155569042641323,10204998450026933,LIKE
10513336322_10155569042641323,10204760541346386,LIKE
10513336322_10155569042641323,10205904546385670,ANGRY
10513336322_10155569042641323,573712032730901,LIKE
10513336322_10155569042641323,914562951925008,LIKE
10513336322_10155569042641323,986402014711169,LIKE
10513336322_10155569042641323,544914428986763,ANGRY
