parent_id,id,type
143753582359049_1525660187501708,281363812335102,LIKE
143753582359049_1525660187501708,284715431731424,LIKE
143753582359049_1525660187501708,574908082641611,LIKE
143753582359049_1525660187501708,10153502246559126,LIKE
143753582359049_1525660187501708,510366315813411,LIKE
143753582359049_1525660187501708,10203512947089055,LIKE
143753582359049_1525660187501708,1783702145218528,LIKE
143753582359049_1525660187501708,10205746822736857,LIKE
143753582359049_1525660187501708,10152718746381968,LIKE
143753582359049_1525660187501708,377870005721365,LIKE
143753582359049_1525660187501708,10152341391425901,LIKE
143753582359049_1525660187501708,365443067141299,LIKE
143753582359049_1525660187501708,440292822777645,LIKE
143753582359049_1525660187501708,939243506088625,LIKE
143753582359049_1525660187501708,10153340666889004,LIKE
143753582359049_1525660187501708,200734427031082,LIKE
143753582359049_1525660187501708,919999698023657,LIKE
143753582359049_1525660187501708,10206511417289128,LIKE
143753582359049_1525660187501708,625290987580636,LIKE
143753582359049_1525660187501708,789266444457393,LIKE
143753582359049_1525660187501708,10211849171450501,LIKE
143753582359049_1525660187501708,10202558630820756,LIKE
143753582359049_1525660187501708,10152452809190614,LIKE
143753582359049_1525660187501708,1008497999171860,LIKE
143753582359049_1525660187501708,10206375569050128,LIKE
143753582359049_1525660187501708,10153631621424941,LIKE
143753582359049_1525660187501708,368636263333523,LIKE
143753582359049_1525660187501708,651498248250903,LIKE
143753582359049_1525660187501708,849970792454,LIKE
143753582359049_1525660187501708,10152501681478606,LOVE
143753582359049_1525660187501708,10153840796949927,WOW
143753582359049_1525660187501708,10205621045558358,LIKE
143753582359049_1525660187501708,210505709398017,LIKE
143753582359049_1525660187501708,10152969021336963,LIKE
143753582359049_1525660187501708,10153890664158975,LIKE
143753582359049_1525660187501708,10204151848659182,LIKE
143753582359049_1525660187501708,1742335742759891,LIKE
143753582359049_1525660187501708,879868162035072,LIKE
143753582359049_1525660187501708,879447192077762,LIKE
143753582359049_1525660187501708,1407303106242743,LIKE
143753582359049_1525660187501708,758997360830871,LIKE
143753582359049_1525660187501708,1417516928473266,LOVE
143753582359049_1525660187501708,10202861670409583,LIKE
143753582359049_1525660187501708,10153537914048825,LIKE
143753582359049_1525660187501708,301997456918116,LIKE
143753582359049_1525660187501708,637722416302140,LIKE
143753582359049_1525660187501708,219434345167462,LIKE
143753582359049_1525660187501708,10153268244968163,LIKE
143753582359049_1525660187501708,10205259353236912,LIKE
143753582359049_1525660187501708,616468988475326,LIKE
143753582359049_1525660187501708,1217842584926907,LIKE
143753582359049_1525660187501708,10152625615597054,LIKE
143753582359049_1525660187501708,438010076583491,LIKE
143753582359049_1525660187501708,10154492742440437,LIKE
143753582359049_1525660187501708,634443493313664,LIKE
143753582359049_1525660187501708,10153849405522571,LIKE
143753582359049_1525660187501708,10152181767633509,LIKE
143753582359049_1525660187501708,10205234530725496,LIKE
143753582359049_1525660187501708,10154381345810532,LIKE
143753582359049_1525660187501708,221191415068916,LIKE
143753582359049_1525660187501708,935450066490521,LOVE
143753582359049_1525660187501708,10152026538852201,LOVE
