parent_id,id,type
13312631635_10154905025281636,167536560330803,LIKE
13312631635_10154905025281636,10152351130676683,LIKE
13312631635_10154905025281636,1514992142065435,LIKE
13312631635_10154905025281636,10205117030835566,LIKE
13312631635_10154905025281636,694454127340810,LIKE
13312631635_10154905025281636,10154892102120092,LIKE
13312631635_10154905025281636,10203966499556467,LIKE
13312631635_10154905025281636,10152770880528834,LIKE
13312631635_10154905025281636,10152982762516593,LIKE
13312631635_10154905025281636,906449409367065,LIKE
13312631635_10154905025281636,121855521747366,LIKE
13312631635_10154905025281636,739718722750055,LIKE
13312631635_10154905025281636,10152354858286011,LOVE
13312631635_10154905025281636,10152413949455086,LIKE
13312631635_10154905025281636,10206502448428129,LIKE
13312631635_10154905025281636,10152360037496041,LIKE
13312631635_10154905025281636,803810523066834,LIKE
13312631635_10154905025281636,1412332618851720,LIKE
13312631635_10154905025281636,693239294086713,LIKE
13312631635_10154905025281636,10204648511882517,LIKE
13312631635_10154905025281636,10207109555563843,LIKE
13312631635_10154905025281636,10153322151388902,LIKE
13312631635_10154905025281636,889867744359913,LIKE
13312631635_10154905025281636,10205319034399687,LIKE
13312631635_10154905025281636,143162979545305,LIKE
13312631635_10154905025281636,856505781029268,LIKE
13312631635_10154905025281636,230861633775918,LIKE
13312631635_10154905025281636,10203676366657891,LIKE
13312631635_10154905025281636,1505553013064823,LIKE
13312631635_10154905025281636,821827917881269,LIKE
13312631635_10154905025281636,1067170479983104,LIKE
13312631635_10154905025281636,10156221878919045,LIKE
13312631635_10154905025281636,10202238347518836,LIKE
13312631635_10154905025281636,10204784129793230,LIKE
13312631635_10154905025281636,10202555427227933,HAHA
13312631635_10154905025281636,154191211752159,LIKE
13312631635_10154905025281636,635905796508186,LIKE
13312631635_10154905025281636,10153420654979106,LIKE
13312631635_10154905025281636,10204576592445388,LIKE
13312631635_10154905025281636,10205182508269003,LIKE
13312631635_10154905025281636,1086178084771852,LOVE
13312631635_10154905025281636,540988056022700,LIKE
13312631635_10154905025281636,1505328929689374,LIKE
13312631635_10154905025281636,804976302948633,LOVE
13312631635_10154905025281636,10154593137600545,LIKE
13312631635_10154905025281636,762994117066302,LIKE
13312631635_10154905025281636,10153331416987661,LIKE
13312631635_10154905025281636,239287279902087,LIKE
13312631635_10154905025281636,10201891900978851,LIKE
13312631635_10154905025281636,1016251375056577,LIKE
13312631635_10154905025281636,150334028832407,LOVE
13312631635_10154905025281636,1620982038144358,LIKE
13312631635_10154905025281636,10152425551143793,LIKE
13312631635_10154905025281636,488004611330156,LOVE
13312631635_10154905025281636,10207389896965419,LIKE
13312631635_10154905025281636,851303471562208,LIKE
13312631635_10154905025281636,10153033340440476,LOVE
13312631635_10154905025281636,910007232349112,LIKE
13312631635_10154905025281636,10154093233236002,LIKE
13312631635_10154905025281636,10152814485853483,LIKE
13312631635_10154905025281636,10202388334605893,LIKE
13312631635_10154905025281636,10152210790393107,HAHA
13312631635_10154905025281636,10155053030810246,LIKE
13312631635_10154905025281636,157882781296150,LOVE
13312631635_10154905025281636,640313956114564,LIKE
13312631635_10154905025281636,603164063142543,LIKE
13312631635_10154905025281636,10153617551566311,LIKE
13312631635_10154905025281636,140259796319586,LIKE
13312631635_10154905025281636,10152320213218726,HAHA
13312631635_10154905025281636,10152763516789598,LIKE
13312631635_10154905025281636,10210383458279665,ANGRY
13312631635_10154905025281636,10203719352529316,LIKE
13312631635_10154905025281636,10152517719723857,LIKE
13312631635_10154905025281636,10153265351261462,LIKE
13312631635_10154905025281636,133037300535702,LIKE
13312631635_10154905025281636,10203976822954658,LIKE
13312631635_10154905025281636,10151983935547000,LIKE
13312631635_10154905025281636,4222135047071,LOVE
13312631635_10154905025281636,10100561559581980,LIKE
13312631635_10154905025281636,787035464686613,LIKE
13312631635_10154905025281636,10152828468541123,LIKE
13312631635_10154905025281636,10152945051788491,LIKE
13312631635_10154905025281636,798148120251184,LIKE
13312631635_10154905025281636,10152138488297462,LIKE
13312631635_10154905025281636,1531976707030993,LIKE
13312631635_10154905025281636,913412092002408,LIKE
13312631635_10154905025281636,745227812227684,LIKE
13312631635_10154905025281636,10202793490891380,LIKE
13312631635_10154905025281636,10200896448053225,LIKE
13312631635_10154905025281636,10153365848071895,LIKE
13312631635_10154905025281636,10154081420680092,LIKE
13312631635_10154905025281636,10205141591083640,LIKE
13312631635_10154905025281636,10153035338061742,LIKE
13312631635_10154905025281636,813080468730454,LIKE
13312631635_10154905025281636,10204722293204119,LIKE
13312631635_10154905025281636,10204955070503947,LIKE
13312631635_10154905025281636,10201514425900965,LIKE
13312631635_10154905025281636,10203199836253648,LIKE
13312631635_10154905025281636,10203799132286236,LIKE
13312631635_10154905025281636,888747937862168,LOVE
13312631635_10154905025281636,1579364372275832,LIKE
13312631635_10154905025281636,10205299058185812,LIKE
13312631635_10154905025281636,951991211518991,LIKE
13312631635_10154905025281636,10154803164095495,LOVE
13312631635_10154905025281636,10153041303568215,LIKE
13312631635_10154905025281636,1899573880314154,LIKE
13312631635_10154905025281636,10203091495541852,LIKE
13312631635_10154905025281636,968910816475931,LIKE
13312631635_10154905025281636,1476892209236228,LIKE
13312631635_10154905025281636,211972705834739,LIKE
13312631635_10154905025281636,180944642354586,LIKE
13312631635_10154905025281636,1055014264513339,LIKE
13312631635_10154905025281636,1811376172422019,LIKE
13312631635_10154905025281636,748544441843113,LIKE
13312631635_10154905025281636,10155027004455128,LIKE
13312631635_10154905025281636,626488287446166,LIKE
13312631635_10154905025281636,10204166129219038,LIKE
13312631635_10154905025281636,749114061844605,LIKE
13312631635_10154905025281636,10152642745925169,LIKE
13312631635_10154905025281636,10206796765978504,LIKE
13312631635_10154905025281636,10154249561659852,LIKE
13312631635_10154905025281636,10152752340999829,LIKE
13312631635_10154905025281636,10152739193988593,LIKE
13312631635_10154905025281636,686947528090026,LIKE
13312631635_10154905025281636,142529959638750,LIKE
13312631635_10154905025281636,1296179570477109,LIKE
13312631635_10154905025281636,10205667545707141,LIKE
13312631635_10154905025281636,982861761733266,LIKE
13312631635_10154905025281636,1574306006146367,LIKE
13312631635_10154905025281636,288666324898635,LIKE
13312631635_10154905025281636,10204843692071209,LIKE
13312631635_10154905025281636,1136614763045438,LIKE
13312631635_10154905025281636,10152841775064434,LIKE
13312631635_10154905025281636,10153492508590774,LIKE
13312631635_10154905025281636,601444276644761,LIKE
13312631635_10154905025281636,418337684969419,LIKE
13312631635_10154905025281636,471524419650141,LOVE
13312631635_10154905025281636,10152318203220700,LIKE
13312631635_10154905025281636,1325346977483489,HAHA
13312631635_10154905025281636,10204894583545547,LIKE
13312631635_10154905025281636,10202782266950181,LIKE
13312631635_10154905025281636,418916258266075,LIKE
13312631635_10154905025281636,836611699722331,LIKE
13312631635_10154905025281636,1581512045458206,LIKE
13312631635_10154905025281636,682094035207356,LIKE
13312631635_10154905025281636,846951172022411,LIKE
13312631635_10154905025281636,757473380942360,LIKE
13312631635_10154905025281636,4938359232863,LIKE
13312631635_10154905025281636,10153096107701915,LIKE
13312631635_10154905025281636,861039283921544,LIKE
13312631635_10154905025281636,765872866843505,LIKE
13312631635_10154905025281636,10202483163732635,LIKE
13312631635_10154905025281636,10152575681821066,LOVE
13312631635_10154905025281636,10154145474813538,LIKE
13312631635_10154905025281636,10203893355562176,LIKE
13312631635_10154905025281636,1506766126273186,LIKE
13312631635_10154905025281636,135740396986042,LIKE
13312631635_10154905025281636,939722559374539,LIKE
13312631635_10154905025281636,862414060450749,LIKE
13312631635_10154905025281636,365830043609604,LIKE
13312631635_10154905025281636,401926213321491,LIKE
13312631635_10154905025281636,1649725128577004,LIKE
13312631635_10154905025281636,1052545328093632,LIKE
13312631635_10154905025281636,1038579959547756,LIKE
13312631635_10154905025281636,165432640656735,LIKE
13312631635_10154905025281636,1387950154597338,LIKE
13312631635_10154905025281636,609314222471689,LOVE
13312631635_10154905025281636,292781111143507,LIKE
13312631635_10154905025281636,580921212066540,LIKE
13312631635_10154905025281636,10153269877203973,LIKE
13312631635_10154905025281636,10152375347653035,LIKE
13312631635_10154905025281636,760619410685297,LIKE
13312631635_10154905025281636,10205412671104139,LIKE
13312631635_10154905025281636,905495429479595,LIKE
13312631635_10154905025281636,10153845539867194,LIKE
13312631635_10154905025281636,10152965031356095,LIKE
13312631635_10154905025281636,10203508291244115,LIKE
13312631635_10154905025281636,343191745865173,LIKE
13312631635_10154905025281636,10200865538240845,LIKE
13312631635_10154905025281636,10206429921540630,LIKE
13312631635_10154905025281636,10152439987185047,LIKE
13312631635_10154905025281636,845326535488448,LIKE
13312631635_10154905025281636,10152296080820448,LIKE
13312631635_10154905025281636,113328545676444,LIKE
13312631635_10154905025281636,1022481367789325,LIKE
13312631635_10154905025281636,932384593478738,LIKE
13312631635_10154905025281636,752242524805978,LIKE
13312631635_10154905025281636,286368828240377,LIKE
13312631635_10154905025281636,10203488921015468,LIKE
13312631635_10154905025281636,10211075718626103,LIKE
13312631635_10154905025281636,855651814450372,LIKE
13312631635_10154905025281636,626247320854319,LIKE
13312631635_10154905025281636,679965575436134,LIKE
13312631635_10154905025281636,10205632838481961,LIKE
13312631635_10154905025281636,869116853121937,LIKE
13312631635_10154905025281636,1053389614713188,HAHA
13312631635_10154905025281636,1510113495920123,LIKE
13312631635_10154905025281636,10202259335437440,LIKE
13312631635_10154905025281636,588507164680660,HAHA
13312631635_10154905025281636,10200452602913952,LIKE
13312631635_10154905025281636,292398447599660,LIKE
13312631635_10154905025281636,10200913648359279,LIKE
13312631635_10154905025281636,10205208523635543,LIKE
13312631635_10154905025281636,10203356305161009,LIKE
13312631635_10154905025281636,10152680188552089,LIKE
13312631635_10154905025281636,887765081234739,LIKE
13312631635_10154905025281636,821762364563949,LOVE
13312631635_10154905025281636,706455726058564,LIKE
13312631635_10154905025281636,229651717542190,LIKE
13312631635_10154905025281636,974338539258895,LIKE
13312631635_10154905025281636,10153056151742973,LIKE
13312631635_10154905025281636,10153569519344284,LIKE
13312631635_10154905025281636,10152149173453318,LIKE
13312631635_10154905025281636,10152356665676035,LIKE
13312631635_10154905025281636,10203176867877019,LOVE
13312631635_10154905025281636,10154411198820075,LIKE
13312631635_10154905025281636,181758815688165,LIKE
13312631635_10154905025281636,621342217957995,LIKE
13312631635_10154905025281636,10152192996195974,LIKE
13312631635_10154905025281636,10153879292561165,LIKE
13312631635_10154905025281636,10153176759004343,LIKE
13312631635_10154905025281636,10207888439161659,LIKE
13312631635_10154905025281636,10206455175206245,LIKE
13312631635_10154905025281636,1588607364714560,LIKE
13312631635_10154905025281636,2101338050090625,LIKE
13312631635_10154905025281636,10204352704324334,LIKE
13312631635_10154905025281636,10152826025654747,LIKE
13312631635_10154905025281636,10204190932201394,LIKE
13312631635_10154905025281636,10202014418241324,LIKE
13312631635_10154905025281636,10204213396831802,LIKE
13312631635_10154905025281636,10153636080987447,LIKE
13312631635_10154905025281636,482355322100080,LIKE
13312631635_10154905025281636,10152619278619765,LIKE
13312631635_10154905025281636,113923819049254,LIKE
13312631635_10154905025281636,10206482409954787,LIKE
13312631635_10154905025281636,1081748448521864,LIKE
13312631635_10154905025281636,783911828324731,LIKE
13312631635_10154905025281636,1039768332703697,LIKE
13312631635_10154905025281636,485705778235895,LIKE
13312631635_10154905025281636,1831024630477966,LIKE
13312631635_10154905025281636,10155266864805707,LIKE
13312631635_10154905025281636,847041771974456,LOVE
13312631635_10154905025281636,797330253638034,LIKE
13312631635_10154905025281636,426920967461000,LIKE
13312631635_10154905025281636,10203572295005036,LIKE
13312631635_10154905025281636,987319624623455,WOW
13312631635_10154905025281636,154260595014978,LOVE
13312631635_10154905025281636,871441689576026,LIKE
13312631635_10154905025281636,584492478373182,LIKE
13312631635_10154905025281636,10205437786775023,LOVE
13312631635_10154905025281636,908665892496975,LIKE
13312631635_10154905025281636,130604773941305,LIKE
13312631635_10154905025281636,10155103702300227,LIKE
13312631635_10154905025281636,1066372126712062,LIKE
13312631635_10154905025281636,1620464128264408,LIKE
13312631635_10154905025281636,10206052528061117,LIKE
13312631635_10154905025281636,1516741815258545,LIKE
13312631635_10154905025281636,673766529383441,LIKE
13312631635_10154905025281636,10204128431834284,LIKE
13312631635_10154905025281636,10201729729473594,LIKE
13312631635_10154905025281636,10155271903425207,LIKE
13312631635_10154905025281636,10204495178487989,LIKE
13312631635_10154905025281636,827899570590865,LIKE
13312631635_10154905025281636,10152333823067881,LIKE
13312631635_10154905025281636,10202896882449670,LIKE
13312631635_10154905025281636,10206466341276518,LIKE
13312631635_10154905025281636,155654781605079,LIKE
13312631635_10154905025281636,1401356320154777,LOVE
13312631635_10154905025281636,142594889422719,LIKE
13312631635_10154905025281636,10153691464978407,LIKE
13312631635_10154905025281636,10155511366205434,LIKE
13312631635_10154905025281636,903988319674259,LIKE
13312631635_10154905025281636,10154371075195567,LIKE
13312631635_10154905025281636,515325061958996,LIKE
13312631635_10154905025281636,10203369875516683,LIKE
13312631635_10154905025281636,953469841353621,LIKE
13312631635_10154905025281636,10205398193336600,LIKE
13312631635_10154905025281636,268868276823272,LIKE
13312631635_10154905025281636,10206666417837090,LIKE
13312631635_10154905025281636,908843585837527,LIKE
13312631635_10154905025281636,10203622131064017,LIKE
13312631635_10154905025281636,10204235953806291,LOVE
13312631635_10154905025281636,1728022164091469,LIKE
13312631635_10154905025281636,787898557961718,LIKE
13312631635_10154905025281636,10154907726669392,LIKE
13312631635_10154905025281636,1488183241459684,LIKE
13312631635_10154905025281636,10154388847990553,LIKE
13312631635_10154905025281636,10202694507875532,LIKE
13312631635_10154905025281636,10202902603078277,LIKE
13312631635_10154905025281636,10203509730610448,LIKE
13312631635_10154905025281636,785831181473348,LIKE
13312631635_10154905025281636,1822841257952940,LIKE
13312631635_10154905025281636,10152997088208461,LIKE
13312631635_10154905025281636,851150258243101,LIKE
13312631635_10154905025281636,1462563657377036,LIKE
13312631635_10154905025281636,696334940408484,LIKE
13312631635_10154905025281636,10152366266418371,LIKE
13312631635_10154905025281636,945981958780123,LIKE
13312631635_10154905025281636,1121946841155811,LIKE
13312631635_10154905025281636,940658949298692,LIKE
13312631635_10154905025281636,1451449455172240,LIKE
13312631635_10154905025281636,475352835953679,LIKE
13312631635_10154905025281636,10206413983009684,LIKE
13312631635_10154905025281636,143806592790534,LIKE
13312631635_10154905025281636,1506272042997440,LIKE
13312631635_10154905025281636,10151992459446179,LIKE
13312631635_10154905025281636,884210588339906,LIKE
13312631635_10154905025281636,10153177139545765,LIKE
13312631635_10154905025281636,10154529893545651,LIKE
13312631635_10154905025281636,10151743137329567,LOVE
13312631635_10154905025281636,10154025050336068,LOVE
13312631635_10154905025281636,730843467033532,LIKE
13312631635_10154905025281636,10152957730216742,LIKE
13312631635_10154905025281636,640795566034887,LIKE
13312631635_10154905025281636,10152968173401216,LIKE
13312631635_10154905025281636,1594049017526228,LIKE
13312631635_10154905025281636,10152339450313397,LIKE
13312631635_10154905025281636,10153484842572414,LIKE
13312631635_10154905025281636,10204758166367482,LIKE
13312631635_10154905025281636,10154568748345403,LIKE
13312631635_10154905025281636,10154724342000553,LIKE
13312631635_10154905025281636,709803239082240,LIKE
13312631635_10154905025281636,657462277642754,LIKE
13312631635_10154905025281636,10203693619794413,LIKE
13312631635_10154905025281636,494393000717210,LIKE
13312631635_10154905025281636,816769175047618,LIKE
13312631635_10154905025281636,10203812454138241,LOVE
13312631635_10154905025281636,829234970450125,LIKE
13312631635_10154905025281636,1479030732337213,LIKE
13312631635_10154905025281636,550770748395600,LIKE
13312631635_10154905025281636,1680825282172578,LIKE
13312631635_10154905025281636,10152801704264446,LIKE
13312631635_10154905025281636,148976935495790,LIKE
13312631635_10154905025281636,10152930988657428,LIKE
