parent_id,id,type
165348596842143_1596246593752329,388137561361815,SAD
165348596842143_1596246593752329,10205163387105393,LIKE
165348596842143_1596246593752329,135787990232616,LIKE
165348596842143_1596246593752329,177184566131008,LOVE
165348596842143_1596246593752329,473487079651068,LIKE
165348596842143_1596246593752329,10202560069137137,LIKE
165348596842143_1596246593752329,10202200138708140,LIKE
165348596842143_1596246593752329,122335138336601,LIKE
165348596842143_1596246593752329,406784809477514,LIKE
165348596842143_1596246593752329,848303505250763,LIKE
165348596842143_1596246593752329,1735606343393171,LIKE
165348596842143_1596246593752329,794385083940403,WOW
165348596842143_1596246593752329,1887386298163204,LIKE
165348596842143_1596246593752329,10152934664392834,LIKE
165348596842143_1596246593752329,1881345822151999,LIKE
165348596842143_1596246593752329,834761803239881,LIKE
165348596842143_1596246593752329,638270189643078,LIKE
165348596842143_1596246593752329,360850744095648,LOVE
165348596842143_1596246593752329,967707746615468,LIKE
165348596842143_1596246593752329,718638698188471,LIKE
165348596842143_1596246593752329,10153806119132079,LIKE
165348596842143_1596246593752329,533217983500611,LIKE
165348596842143_1596246593752329,10152802829796395,LIKE
165348596842143_1596246593752329,10207840527121384,LIKE
165348596842143_1596246593752329,10203887626010554,LIKE
165348596842143_1596246593752329,372011029661052,LIKE
165348596842143_1596246593752329,555497104598965,LIKE
165348596842143_1596246593752329,1579026642351620,LIKE
165348596842143_1596246593752329,10200262365078108,LIKE
165348596842143_1596246593752329,1601106296785986,LIKE
165348596842143_1596246593752329,483428838480439,LIKE
165348596842143_1596246593752329,1522931947781605,LIKE
165348596842143_1596246593752329,10207428380960791,LIKE
165348596842143_1596246593752329,1504986926423655,LIKE
165348596842143_1596246593752329,802466139830690,LIKE
165348596842143_1596246593752329,1460549687601992,LOVE
165348596842143_1596246593752329,471595169844716,LIKE
165348596842143_1596246593752329,10154318825412909,LIKE
165348596842143_1596246593752329,10153247263171281,LIKE
165348596842143_1596246593752329,10154618982477332,LIKE
165348596842143_1596246593752329,10153473785318708,LIKE
165348596842143_1596246593752329,1808479889397721,LOVE
165348596842143_1596246593752329,802965193087279,LIKE
165348596842143_1596246593752329,10153079216232772,LIKE
165348596842143_1596246593752329,284163271992476,LIKE
165348596842143_1596246593752329,10208406523265600,LIKE
165348596842143_1596246593752329,10152968676544534,LIKE
165348596842143_1596246593752329,607556162724472,LIKE
165348596842143_1596246593752329,629994500445826,LIKE
165348596842143_1596246593752329,10207879172566141,LOVE
165348596842143_1596246593752329,1388142361515082,LIKE
165348596842143_1596246593752329,138951386475764,LIKE
165348596842143_1596246593752329,10203458972212835,LIKE
165348596842143_1596246593752329,1151131601640495,LOVE
165348596842143_1596246593752329,1452776801665075,SAD
165348596842143_1596246593752329,491771024310157,LIKE
165348596842143_1596246593752329,10154149471484762,LIKE
165348596842143_1596246593752329,996674383682977,LIKE
165348596842143_1596246593752329,145025119339253,LIKE
165348596842143_1596246593752329,10152514176737160,LIKE
165348596842143_1596246593752329,10204045153195586,LIKE
165348596842143_1596246593752329,232988637212691,LIKE
165348596842143_1596246593752329,1063464087117955,LIKE
165348596842143_1596246593752329,10203613110027037,LIKE
165348596842143_1596246593752329,1482797852048365,LIKE
165348596842143_1596246593752329,10204713199812268,LIKE
165348596842143_1596246593752329,228241784362157,LIKE
165348596842143_1596246593752329,779410465479940,LIKE
165348596842143_1596246593752329,669210299925581,LIKE
165348596842143_1596246593752329,10206400266022245,LIKE
165348596842143_1596246593752329,585229091573564,LIKE
165348596842143_1596246593752329,10206180356488659,LIKE
165348596842143_1596246593752329,10203830406748819,LIKE
165348596842143_1596246593752329,10152209292196689,LIKE
165348596842143_1596246593752329,243030612745921,LIKE
165348596842143_1596246593752329,10210163739558847,LIKE
165348596842143_1596246593752329,1522892858026422,LIKE
165348596842143_1596246593752329,1051086354920143,LIKE
165348596842143_1596246593752329,1086445444702716,LIKE
165348596842143_1596246593752329,10154048036810582,LIKE
165348596842143_1596246593752329,10207308615691633,LIKE
165348596842143_1596246593752329,813824205366286,LIKE
165348596842143_1596246593752329,645344168910366,SAD
165348596842143_1596246593752329,10152876462621753,LIKE
165348596842143_1596246593752329,10206660085081962,LIKE
165348596842143_1596246593752329,767174823364349,LIKE
165348596842143_1596246593752329,1348367315199427,LIKE
165348596842143_1596246593752329,642937749139427,LIKE
165348596842143_1596246593752329,980066195348711,LOVE
165348596842143_1596246593752329,827035337361803,LIKE
165348596842143_1596246593752329,355271058180674,LIKE
165348596842143_1596246593752329,658372427591616,LIKE
165348596842143_1596246593752329,297991843939846,SAD
165348596842143_1596246593752329,995982507082371,LIKE
165348596842143_1596246593752329,1645943092301895,LIKE
165348596842143_1596246593752329,10204036153200530,LIKE
165348596842143_1596246593752329,171707376666537,LIKE
165348596842143_1596246593752329,211510699256046,LIKE
165348596842143_1596246593752329,919624111414374,LIKE
165348596842143_1596246593752329,753615738049411,LIKE
165348596842143_1596246593752329,10153502457395616,LOVE
165348596842143_1596246593752329,10153115781273319,LIKE
165348596842143_1596246593752329,10152247365705918,LIKE
165348596842143_1596246593752329,10207328371946241,LIKE
165348596842143_1596246593752329,145897345811319,LIKE
165348596842143_1596246593752329,1043902512402566,SAD
165348596842143_1596246593752329,1779257378975667,LIKE
165348596842143_1596246593752329,1019091798125523,LIKE
165348596842143_1596246593752329,10204686915085352,LIKE
165348596842143_1596246593752329,269357263541991,LIKE
165348596842143_1596246593752329,148904058999753,LIKE
165348596842143_1596246593752329,585970844840821,LIKE
165348596842143_1596246593752329,10213273923025277,LIKE
165348596842143_1596246593752329,1635064896750009,LIKE
165348596842143_1596246593752329,10154967234255624,LOVE
