parent_id,id,type
143666524748_10155841449899749,143235156251531,LIKE
143666524748_10155841449899749,1831343673860442,LIKE
143666524748_10155841449899749,10103019571740854,LIKE
143666524748_10155841449899749,10152351564678541,SAD
143666524748_10155841449899749,807633105947399,WOW
143666524748_10155841449899749,10152246569211985,SAD
143666524748_10155841449899749,223808744758383,LIKE
143666524748_10155841449899749,10207630139255573,ANGRY
143666524748_10155841449899749,10206517156240558,LIKE
143666524748_10155841449899749,428461227544037,LOVE
143666524748_10155841449899749,10152978015947423,WOW
143666524748_10155841449899749,636522193136708,LIKE
143666524748_10155841449899749,121695498231301,LIKE
143666524748_10155841449899749,113004809318057,LIKE
143666524748_10155841449899749,657022121090079,LIKE
143666524748_10155841449899749,10206083753124996,LIKE
143666524748_10155841449899749,115560605722520,LIKE
143666524748_10155841449899749,156440071531822,LIKE
143666524748_10155841449899749,117353298874272,LIKE
143666524748_10155841449899749,766257430083066,WOW
143666524748_10155841449899749,220887065098552,SAD
143666524748_10155841449899749,800910316642226,SAD
143666524748_10155841449899749,198976110611571,SAD
143666524748_10155841449899749,10152877774328985,LIKE
143666524748_10155841449899749,856091957802590,WOW
143666524748_10155841449899749,308302359533790,LIKE
143666524748_10155841449899749,181992595533685,LOVE
143666524748_10155841449899749,10205763596358382,WOW
143666524748_10155841449899749,10203983150637050,SAD
143666524748_10155841449899749,10203469200984891,SAD
143666524748_10155841449899749,279733665571315,SAD
143666524748_10155841449899749,1131999003482302,LIKE
143666524748_10155841449899749,10155913715625724,LIKE
143666524748_10155841449899749,10206068104728002,LIKE
143666524748_10155841449899749,744546485578313,LIKE
143666524748_10155841449899749,1049812378382265,LIKE
143666524748_10155841449899749,293401304155968,WOW
143666524748_10155841449899749,10153030329274391,SAD
143666524748_10155841449899749,1452776801665075,SAD
143666524748_10155841449899749,10204546563694505,LIKE
143666524748_10155841449899749,1696196194025223,WOW
143666524748_10155841449899749,281707732295101,LIKE
143666524748_10155841449899749,1173592769329922,SAD
143666524748_10155841449899749,660583407392749,LIKE
143666524748_10155841449899749,697914743618798,SAD
143666524748_10155841449899749,796271953743878,SAD
143666524748_10155841449899749,1654990998162401,LIKE
143666524748_10155841449899749,10204180821313876,SAD
143666524748_10155841449899749,837634289628274,SAD
143666524748_10155841449899749,1071954362855995,ANGRY
143666524748_10155841449899749,144617909424745,WOW
143666524748_10155841449899749,959136327435852,WOW
143666524748_10155841449899749,10152677117063414,LIKE
143666524748_10155841449899749,121718191764233,LIKE
143666524748_10155841449899749,939411806073605,LIKE
143666524748_10155841449899749,708437179197596,LIKE
143666524748_10155841449899749,598404107214308,LIKE
143666524748_10155841449899749,10204934795072503,LIKE
143666524748_10155841449899749,10153101128667203,SAD
143666524748_10155841449899749,10206599218650499,LIKE
143666524748_10155841449899749,902895529745137,LIKE
143666524748_10155841449899749,10155122737945123,SAD
143666524748_10155841449899749,917072435049241,WOW
143666524748_10155841449899749,644289475761346,LIKE
143666524748_10155841449899749,553499801452017,LIKE
143666524748_10155841449899749,1340077499339451,SAD
143666524748_10155841449899749,235486466640141,SAD
143666524748_10155841449899749,686947528090026,LIKE
143666524748_10155841449899749,1153977688041555,SAD
143666524748_10155841449899749,1516890648587856,SAD
143666524748_10155841449899749,10154083265994925,LIKE
143666524748_10155841449899749,121463495121460,LIKE
143666524748_10155841449899749,558162480972104,LIKE
143666524748_10155841449899749,1567173696871238,LIKE
143666524748_10155841449899749,10153302827484804,LIKE
143666524748_10155841449899749,10154013433589129,LIKE
143666524748_10155841449899749,10153358438159092,LIKE
143666524748_10155841449899749,10206002944726708,SAD
143666524748_10155841449899749,115616115719651,SAD
143666524748_10155841449899749,978674185479655,LIKE
143666524748_10155841449899749,10153094653875799,SAD
143666524748_10155841449899749,146528672582664,LIKE
143666524748_10155841449899749,10152433305192686,SAD
143666524748_10155841449899749,10203296701804975,SAD
143666524748_10155841449899749,678484892242690,LIKE
143666524748_10155841449899749,10155059118985430,SAD
143666524748_10155841449899749,992887484111708,SAD
143666524748_10155841449899749,10200658950552628,LIKE
143666524748_10155841449899749,10203372701512774,LIKE
143666524748_10155841449899749,1505731499706307,SAD
143666524748_10155841449899749,1454648854814932,SAD
143666524748_10155841449899749,861079140577220,WOW
143666524748_10155841449899749,10152884819673582,SAD
143666524748_10155841449899749,116004029011459,SAD
143666524748_10155841449899749,471424546324976,WOW
143666524748_10155841449899749,10154068594146673,SAD
143666524748_10155841449899749,10152823299489808,SAD
143666524748_10155841449899749,224095901368890,SAD
143666524748_10155841449899749,10153161205902218,SAD
143666524748_10155841449899749,720999624637765,LIKE
143666524748_10155841449899749,115788205701824,LIKE
143666524748_10155841449899749,167814827031229,LIKE
143666524748_10155841449899749,10152478517488804,LIKE
143666524748_10155841449899749,138123106739990,LIKE
143666524748_10155841449899749,727444810667593,SAD
143666524748_10155841449899749,10205276870942610,SAD
143666524748_10155841449899749,765223390321787,WOW
143666524748_10155841449899749,186265751906288,LIKE
143666524748_10155841449899749,919433948101622,LIKE
143666524748_10155841449899749,10205079749906733,WOW
143666524748_10155841449899749,10154425560850627,LOVE
143666524748_10155841449899749,159024137831939,LIKE
143666524748_10155841449899749,147101685730218,LIKE
143666524748_10155841449899749,167115436975498,LIKE
143666524748_10155841449899749,1422227054750602,SAD
143666524748_10155841449899749,10203234126308697,LIKE
143666524748_10155841449899749,10152957510081146,LIKE
143666524748_10155841449899749,231813187019130,SAD
143666524748_10155841449899749,1285994174744273,LIKE
143666524748_10155841449899749,968841169833752,SAD
143666524748_10155841449899749,10153293906095130,WOW
143666524748_10155841449899749,10155540583795237,WOW
143666524748_10155841449899749,10152513578115803,SAD
