parent_id,id,type
161385360554578_2011029558923473,10152463064867176,LIKE
161385360554578_2011029558923473,781616968559086,SAD
161385360554578_2011029558923473,168196500380469,LIKE
161385360554578_2011029558923473,776163112422588,LIKE
161385360554578_2011029558923473,10154068352600836,SAD
161385360554578_2011029558923473,659388357504913,SAD
161385360554578_2011029558923473,590577971050216,LIKE
161385360554578_2011029558923473,294209590790138,LIKE
161385360554578_2011029558923473,10152717573998637,SAD
161385360554578_2011029558923473,10154168954351551,LIKE
161385360554578_2011029558923473,128000731120000,LIKE
161385360554578_2011029558923473,811253848940010,LIKE
161385360554578_2011029558923473,509878342555238,SAD
161385360554578_2011029558923473,205582439809241,SAD
161385360554578_2011029558923473,734960323260122,LIKE
161385360554578_2011029558923473,10205596895190206,LIKE
161385360554578_2011029558923473,557513824391869,SAD
161385360554578_2011029558923473,735334619820860,SAD
161385360554578_2011029558923473,153362491708628,LIKE
161385360554578_2011029558923473,10153867744616303,LIKE
161385360554578_2011029558923473,241547486305106,SAD
161385360554578_2011029558923473,129556970710059,LIKE
161385360554578_2011029558923473,10202513517573424,LIKE
161385360554578_2011029558923473,204684766676279,LIKE
161385360554578_2011029558923473,10152720998876597,LIKE
161385360554578_2011029558923473,156477771522908,LIKE
161385360554578_2011029558923473,937111072997250,LIKE
161385360554578_2011029558923473,253694858330165,LIKE
161385360554578_2011029558923473,182704135470506,SAD
161385360554578_2011029558923473,514593805339872,SAD
161385360554578_2011029558923473,10152765796566892,LIKE
161385360554578_2011029558923473,4003767150742,SAD
161385360554578_2011029558923473,10152349672166918,SAD
161385360554578_2011029558923473,176400592826924,SAD
161385360554578_2011029558923473,194072440975079,LIKE
161385360554578_2011029558923473,778865058826847,LIKE
161385360554578_2011029558923473,282477338852989,LIKE
161385360554578_2011029558923473,10152501036571186,SAD
161385360554578_2011029558923473,627112357381495,SAD
161385360554578_2011029558923473,10204771460625932,SAD
161385360554578_2011029558923473,655150887937105,LIKE
161385360554578_2011029558923473,241547772887202,LIKE
161385360554578_2011029558923473,1480984818819638,LIKE
161385360554578_2011029558923473,882412968441871,SAD
161385360554578_2011029558923473,560179694096306,LIKE
161385360554578_2011029558923473,10203437185327397,LIKE
161385360554578_2011029558923473,949587318387965,SAD
161385360554578_2011029558923473,885015431531740,SAD
161385360554578_2011029558923473,1392961377694794,LIKE
161385360554578_2011029558923473,1721962508022779,LIKE
161385360554578_2011029558923473,148608518937583,LIKE
161385360554578_2011029558923473,1499296947049974,LIKE
161385360554578_2011029558923473,1472601666393468,SAD
161385360554578_2011029558923473,10152328480481413,WOW
161385360554578_2011029558923473,10202169601105397,LIKE
161385360554578_2011029558923473,797916616967818,LIKE
161385360554578_2011029558923473,646330598768386,LIKE
161385360554578_2011029558923473,768653659897327,LIKE
161385360554578_2011029558923473,877474398937217,SAD
161385360554578_2011029558923473,924524814231574,SAD
161385360554578_2011029558923473,315576828891218,LIKE
161385360554578_2011029558923473,353707001476638,LIKE
161385360554578_2011029558923473,388240511341887,LIKE
161385360554578_2011029558923473,681060355262988,SAD
161385360554578_2011029558923473,887852291275167,LIKE
161385360554578_2011029558923473,10152418422353013,SAD
161385360554578_2011029558923473,10152654821587318,SAD
161385360554578_2011029558923473,295656977261250,SAD
161385360554578_2011029558923473,10203831859900106,SAD
161385360554578_2011029558923473,126495117695821,LIKE
161385360554578_2011029558923473,840658299300500,SAD
161385360554578_2011029558923473,755485701177860,LIKE
161385360554578_2011029558923473,725416934200020,SAD
161385360554578_2011029558923473,790018711069204,LIKE
161385360554578_2011029558923473,400886046783470,LIKE
161385360554578_2011029558923473,540188492760585,SAD
161385360554578_2011029558923473,1398501167143144,LIKE
161385360554578_2011029558923473,10155170848260541,LIKE
161385360554578_2011029558923473,752617318162615,SAD
161385360554578_2011029558923473,950777198314447,LIKE
161385360554578_2011029558923473,142537669571128,LIKE
161385360554578_2011029558923473,715695475178897,LIKE
161385360554578_2011029558923473,10203720019295481,SAD
161385360554578_2011029558923473,613420678793791,SAD
161385360554578_2011029558923473,1488814848003870,LIKE
161385360554578_2011029558923473,1530425123882166,SAD
161385360554578_2011029558923473,10155723099565346,SAD
161385360554578_2011029558923473,501117896691159,SAD
161385360554578_2011029558923473,704188539712714,WOW
161385360554578_2011029558923473,229091654135214,SAD
161385360554578_2011029558923473,198251550520151,LIKE
161385360554578_2011029558923473,10201491633762385,SAD
161385360554578_2011029558923473,876988188989714,LIKE
161385360554578_2011029558923473,446896595495683,SAD
161385360554578_2011029558923473,674885332601173,LIKE
161385360554578_2011029558923473,10152270921400666,SAD
161385360554578_2011029558923473,861785330513252,LIKE
161385360554578_2011029558923473,1531718837095636,SAD
161385360554578_2011029558923473,545495332228849,LIKE
161385360554578_2011029558923473,10151976052001073,WOW
161385360554578_2011029558923473,10202326227619010,LIKE
161385360554578_2011029558923473,134721973772858,SAD
161385360554578_2011029558923473,10204405164867449,LIKE
161385360554578_2011029558923473,769360166430913,LIKE
161385360554578_2011029558923473,1525640424364496,LIKE
161385360554578_2011029558923473,128824314168728,WOW
161385360554578_2011029558923473,10153661549791959,SAD
161385360554578_2011029558923473,829735957051426,LIKE
161385360554578_2011029558923473,1509877882617269,LIKE
161385360554578_2011029558923473,740405316012396,SAD
161385360554578_2011029558923473,10204794496214183,SAD
161385360554578_2011029558923473,221315521636282,SAD
161385360554578_2011029558923473,128821004362519,LIKE
161385360554578_2011029558923473,181054565623375,LIKE
161385360554578_2011029558923473,10209238905442928,SAD
161385360554578_2011029558923473,874840799198834,SAD
161385360554578_2011029558923473,210836569358191,LIKE
161385360554578_2011029558923473,10204213627394815,SAD
161385360554578_2011029558923473,116659102266659,WOW
161385360554578_2011029558923473,793801780638722,LIKE
161385360554578_2011029558923473,330697240456027,SAD
161385360554578_2011029558923473,851287281553758,LIKE
161385360554578_2011029558923473,690406320998566,SAD
161385360554578_2011029558923473,315604865283405,SAD
161385360554578_2011029558923473,1750358941955425,SAD
161385360554578_2011029558923473,10202506160647276,LIKE
161385360554578_2011029558923473,734073169975282,LIKE
161385360554578_2011029558923473,712214398842292,LIKE
161385360554578_2011029558923473,1462893350702491,SAD
161385360554578_2011029558923473,103647350132448,LIKE
161385360554578_2011029558923473,674150909359775,WOW
161385360554578_2011029558923473,904235673010581,SAD
161385360554578_2011029558923473,10153814552234097,SAD
161385360554578_2011029558923473,10152177489200064,SAD
161385360554578_2011029558923473,4750739781743,SAD
161385360554578_2011029558923473,983962798284739,SAD
161385360554578_2011029558923473,4219831031704,LIKE
161385360554578_2011029558923473,913615351988728,LIKE
161385360554578_2011029558923473,122774688322628,SAD
161385360554578_2011029558923473,1503076496639837,SAD
161385360554578_2011029558923473,395875110553836,SAD
161385360554578_2011029558923473,674645339297085,LIKE
161385360554578_2011029558923473,1611091792468976,LIKE
161385360554578_2011029558923473,775994169086920,SAD
161385360554578_2011029558923473,722389274499283,LIKE
161385360554578_2011029558923473,1440991782813488,LIKE
161385360554578_2011029558923473,769394569765177,SAD
161385360554578_2011029558923473,442685339199477,SAD
161385360554578_2011029558923473,887010577998161,SAD
161385360554578_2011029558923473,10154055349685008,SAD
161385360554578_2011029558923473,939806139370101,SAD
161385360554578_2011029558923473,222776838092569,LIKE
161385360554578_2011029558923473,1495940493963136,LIKE
161385360554578_2011029558923473,211801015999907,WOW
161385360554578_2011029558923473,1767415843484618,LIKE
161385360554578_2011029558923473,1680214325538051,LIKE
161385360554578_2011029558923473,354977438015918,LIKE
161385360554578_2011029558923473,10204118753151745,LIKE
161385360554578_2011029558923473,963038513724239,LIKE
161385360554578_2011029558923473,10201636488433416,LIKE
161385360554578_2011029558923473,10204736544682707,SAD
161385360554578_2011029558923473,138495833155222,LIKE
161385360554578_2011029558923473,10152339959263754,SAD
161385360554578_2011029558923473,1531960417016415,LIKE
161385360554578_2011029558923473,815897655119245,SAD
161385360554578_2011029558923473,750632861648229,SAD
161385360554578_2011029558923473,135795003666530,WOW
161385360554578_2011029558923473,10204127732965893,SAD
161385360554578_2011029558923473,794016203988624,SAD
161385360554578_2011029558923473,10152572316133940,SAD
161385360554578_2011029558923473,10152966506389880,SAD
161385360554578_2011029558923473,1409109932693299,LIKE
161385360554578_2011029558923473,628878647168121,SAD
161385360554578_2011029558923473,1038611932823933,LIKE
161385360554578_2011029558923473,122680938325121,SAD
161385360554578_2011029558923473,908961399118578,LIKE
161385360554578_2011029558923473,646739028754905,SAD
161385360554578_2011029558923473,623624424462684,LIKE
161385360554578_2011029558923473,486794498141784,SAD
161385360554578_2011029558923473,258002334403292,WOW
161385360554578_2011029558923473,10207256149214623,LIKE
161385360554578_2011029558923473,10205189958361280,LIKE
161385360554578_2011029558923473,480583018745361,SAD
161385360554578_2011029558923473,1358934164138693,LIKE
161385360554578_2011029558923473,841297066005446,SAD
161385360554578_2011029558923473,400045256803149,LIKE
161385360554578_2011029558923473,656909277709396,SAD
161385360554578_2011029558923473,10151968488567693,SAD
161385360554578_2011029558923473,140941279598388,LIKE
161385360554578_2011029558923473,902888649721398,WOW
161385360554578_2011029558923473,139569336529123,LIKE
161385360554578_2011029558923473,597476047015675,ANGRY
161385360554578_2011029558923473,776735409055172,LIKE
161385360554578_2011029558923473,959319717426427,LIKE
161385360554578_2011029558923473,10207830865595945,LIKE
161385360554578_2011029558923473,10153943657839502,WOW
161385360554578_2011029558923473,382876055208231,LIKE
161385360554578_2011029558923473,10152086308036966,LIKE
161385360554578_2011029558923473,361591167333446,LIKE
161385360554578_2011029558923473,127007721126871,LIKE
161385360554578_2011029558923473,224946784528470,SAD
161385360554578_2011029558923473,10205583091683007,SAD
161385360554578_2011029558923473,10209774683867387,SAD
161385360554578_2011029558923473,332026540291607,LIKE
161385360554578_2011029558923473,265867063592288,LIKE
161385360554578_2011029558923473,10205366800227271,LIKE
161385360554578_2011029558923473,119596275277585,LIKE
161385360554578_2011029558923473,170832763392599,SAD
161385360554578_2011029558923473,781756358553635,SAD
161385360554578_2011029558923473,116709758672787,SAD
161385360554578_2011029558923473,689972814382123,LIKE
161385360554578_2011029558923473,1652296348340730,LIKE
161385360554578_2011029558923473,457150337757126,LIKE
161385360554578_2011029558923473,245529242323930,LIKE
161385360554578_2011029558923473,1109844749148190,WOW
161385360554578_2011029558923473,10152617330402596,LIKE
161385360554578_2011029558923473,1445046195814190,LIKE
161385360554578_2011029558923473,1596417463972367,LIKE
161385360554578_2011029558923473,142690792830317,WOW
161385360554578_2011029558923473,10201878232609702,LOVE
161385360554578_2011029558923473,1588840918020708,SAD
161385360554578_2011029558923473,1806045576286655,LIKE
161385360554578_2011029558923473,1424291214478980,SAD
161385360554578_2011029558923473,633384183431673,SAD
161385360554578_2011029558923473,125012124600363,LIKE
161385360554578_2011029558923473,337648806437451,SAD
161385360554578_2011029558923473,4718295330954,SAD
161385360554578_2011029558923473,1483474571929846,SAD
161385360554578_2011029558923473,10204066123192124,SAD
161385360554578_2011029558923473,680371318758992,SAD
161385360554578_2011029558923473,1504185483159100,SAD
161385360554578_2011029558923473,764755216950472,LIKE
161385360554578_2011029558923473,1480219015573630,SAD
161385360554578_2011029558923473,10153026648724273,WOW
161385360554578_2011029558923473,155634388231624,SAD
161385360554578_2011029558923473,10152529880705922,SAD
161385360554578_2011029558923473,993844313982503,LIKE
161385360554578_2011029558923473,907858395915649,SAD
161385360554578_2011029558923473,10202982572105773,SAD
161385360554578_2011029558923473,10201915387422360,SAD
161385360554578_2011029558923473,10152456833911837,SAD
161385360554578_2011029558923473,119508218615773,LIKE
161385360554578_2011029558923473,10152375042286882,SAD
161385360554578_2011029558923473,532994996826217,LIKE
161385360554578_2011029558923473,558716250931182,WOW
161385360554578_2011029558923473,10204884521217624,SAD
161385360554578_2011029558923473,10152408378996625,WOW
161385360554578_2011029558923473,10211596100405526,LIKE
161385360554578_2011029558923473,322032047985690,LIKE
161385360554578_2011029558923473,155621291570448,LIKE
161385360554578_2011029558923473,10152156956643198,SAD
161385360554578_2011029558923473,443053319204673,LIKE
161385360554578_2011029558923473,10152754700261897,WOW
161385360554578_2011029558923473,121584478384729,LIKE
161385360554578_2011029558923473,10203531765272496,SAD
161385360554578_2011029558923473,373785729457685,LIKE
161385360554578_2011029558923473,1464848980437203,SAD
161385360554578_2011029558923473,842064899154671,SAD
161385360554578_2011029558923473,918501224831471,SAD
161385360554578_2011029558923473,667451239996453,LIKE
161385360554578_2011029558923473,10155540880493896,LIKE
161385360554578_2011029558923473,117568601930175,SAD
161385360554578_2011029558923473,577956098984646,LIKE
161385360554578_2011029558923473,136647160035364,LIKE
161385360554578_2011029558923473,264822577226145,LIKE
161385360554578_2011029558923473,10203695051357027,LIKE
161385360554578_2011029558923473,10206899188992012,SAD
161385360554578_2011029558923473,196428380814299,SAD
161385360554578_2011029558923473,10154925440295319,WOW
161385360554578_2011029558923473,273064393166390,LIKE
161385360554578_2011029558923473,10203068150697229,PRIDE
161385360554578_2011029558923473,10152793807334231,SAD
161385360554578_2011029558923473,128893704313969,SAD
161385360554578_2011029558923473,716073641805662,SAD
161385360554578_2011029558923473,903637099664295,SAD
161385360554578_2011029558923473,148362868860121,LIKE
161385360554578_2011029558923473,844495885645949,SAD
161385360554578_2011029558923473,456253701182178,SAD
161385360554578_2011029558923473,10202758657183760,SAD
161385360554578_2011029558923473,10153066458013109,SAD
161385360554578_2011029558923473,2061657019721,LIKE
161385360554578_2011029558923473,120947861620019,WOW
161385360554578_2011029558923473,10154461105560500,LIKE
161385360554578_2011029558923473,10154539432015184,SAD
161385360554578_2011029558923473,727328243971585,LIKE
161385360554578_2011029558923473,420841121417390,LIKE
161385360554578_2011029558923473,123253864922809,LIKE
161385360554578_2011029558923473,10153022728983700,LIKE
161385360554578_2011029558923473,195933794167382,LIKE
161385360554578_2011029558923473,10152951760518373,LIKE
161385360554578_2011029558923473,882756118424834,LIKE
161385360554578_2011029558923473,805511766136905,SAD
161385360554578_2011029558923473,10204667763315045,SAD
161385360554578_2011029558923473,753829688066011,LIKE
161385360554578_2011029558923473,548567778614952,LIKE
161385360554578_2011029558923473,1538341646410357,LIKE
161385360554578_2011029558923473,10205340503021769,SAD
161385360554578_2011029558923473,382643601893462,LIKE
161385360554578_2011029558923473,10202034483531442,LIKE
161385360554578_2011029558923473,156371868058809,LIKE
161385360554578_2011029558923473,133674190424311,LIKE
161385360554578_2011029558923473,762747073785140,LIKE
161385360554578_2011029558923473,113466009154803,LIKE
161385360554578_2011029558923473,590630944416554,LIKE
161385360554578_2011029558923473,874154459324513,LIKE
161385360554578_2011029558923473,10202090402541798,SAD
161385360554578_2011029558923473,415793955229625,LIKE
161385360554578_2011029558923473,10203789624370826,SAD
161385360554578_2011029558923473,305666919623885,WOW
161385360554578_2011029558923473,141455459634808,LIKE
161385360554578_2011029558923473,708759455904665,SAD
161385360554578_2011029558923473,139756789724100,LIKE
161385360554578_2011029558923473,10206616161068140,LIKE
161385360554578_2011029558923473,893933197285968,SAD
161385360554578_2011029558923473,1507228582914427,SAD
161385360554578_2011029558923473,10152830745542429,SAD
161385360554578_2011029558923473,10207572954951351,SAD
161385360554578_2011029558923473,862943003719702,LIKE
161385360554578_2011029558923473,10205074692965369,SAD
161385360554578_2011029558923473,1653720608174941,LIKE
161385360554578_2011029558923473,10206642326847982,SAD
161385360554578_2011029558923473,326744860843423,SAD
161385360554578_2011029558923473,391767284313119,SAD
161385360554578_2011029558923473,1536459943299445,SAD
161385360554578_2011029558923473,1696052670610048,SAD
161385360554578_2011029558923473,10152433002791383,SAD
161385360554578_2011029558923473,10152395657937825,SAD
161385360554578_2011029558923473,240406609704121,LIKE
161385360554578_2011029558923473,10203318949992656,SAD
