parent_id,id,type
228735667216_1686701368013381,321387568321052,LIKE
228735667216_1686701368013381,322708061510116,LIKE
228735667216_1686701368013381,1906178376302520,LIKE
228735667216_1686701368013381,322770634831061,LIKE
228735667216_1686701368013381,681524588714119,LIKE
228735667216_1686701368013381,864719793692892,LIKE
228735667216_1686701368013381,241000746391765,LIKE
228735667216_1686701368013381,202760730252094,LIKE
228735667216_1686701368013381,322055954884028,LIKE
228735667216_1686701368013381,1565659246779499,LIKE
228735667216_1686701368013381,207632036428558,LIKE
228735667216_1686701368013381,453738234994349,LIKE
228735667216_1686701368013381,1940145585999367,LIKE
228735667216_1686701368013381,239992769848332,LIKE
228735667216_1686701368013381,279654549170664,LIKE
228735667216_1686701368013381,836098866556155,LIKE
228735667216_1686701368013381,239915726524675,LIKE
228735667216_1686701368013381,1902730516669427,LIKE
228735667216_1686701368013381,812563358902194,LIKE
228735667216_1686701368013381,10159265550275393,WOW
228735667216_1686701368013381,10203542128630920,LIKE
228735667216_1686701368013381,10155719546490982,LIKE
228735667216_1686701368013381,731715703668269,LIKE
228735667216_1686701368013381,238845879963528,LIKE
228735667216_1686701368013381,318419418608801,LIKE
228735667216_1686701368013381,241686866335535,LIKE
228735667216_1686701368013381,232942293891932,LIKE
228735667216_1686701368013381,1768776733151027,LIKE
228735667216_1686701368013381,10209991886289344,LIKE
228735667216_1686701368013381,1954384894845478,LIKE
228735667216_1686701368013381,206567893200427,LIKE
228735667216_1686701368013381,265851533821478,LIKE
228735667216_1686701368013381,10155429068014754,LIKE
228735667216_1686701368013381,239031236611366,LIKE
228735667216_1686701368013381,814697672029407,LIKE
228735667216_1686701368013381,10155702899689683,HAHA
228735667216_1686701368013381,1571757096175911,LIKE
228735667216_1686701368013381,1937429893212921,HAHA
228735667216_1686701368013381,312277055883473,LIKE
228735667216_1686701368013381,1564414650296806,LIKE
228735667216_1686701368013381,194489857746738,LIKE
228735667216_1686701368013381,1955170918099888,LIKE
228735667216_1686701368013381,235526940292801,LIKE
228735667216_1686701368013381,10212831828532700,LIKE
228735667216_1686701368013381,274786022925242,LIKE
228735667216_1686701368013381,1236140876515531,LIKE
