parent_id,id,type
10513336322_10155112740951323,272645979878325,LIKE
10513336322_10155112740951323,1796607160353584,SAD
10513336322_10155112740951323,1697955226900316,LIKE
10513336322_10155112740951323,10155470580599183,LIKE
10513336322_10155112740951323,815781981923097,LIKE
10513336322_10155112740951323,1642755625791061,SAD
10513336322_10155112740951323,1710490962590195,SAD
10513336322_10155112740951323,1794013447292109,LIKE
10513336322_10155112740951323,333196593780171,LIKE
10513336322_10155112740951323,10154574770817093,LIKE
10513336322_10155112740951323,10154097780924364,LIKE
10513336322_10155112740951323,10158865871585527,SAD
10513336322_10155112740951323,10213573033867040,LIKE
10513336322_10155112740951323,10211889033015623,SAD
10513336322_10155112740951323,1006624189440386,LIKE
10513336322_10155112740951323,10154981545892261,LIKE
10513336322_10155112740951323,1437355736329631,LIKE
10513336322_10155112740951323,10154864950958995,LIKE
10513336322_10155112740951323,1311244915641101,LIKE
10513336322_10155112740951323,1691428547829327,WOW
10513336322_10155112740951323,10213729326016282,LIKE
10513336322_10155112740951323,10158825776315461,LIKE
10513336322_10155112740951323,10210885346543640,LIKE
10513336322_10155112740951323,10211793442565339,LIKE
10513336322_10155112740951323,10155459057318664,LIKE
10513336322_10155112740951323,10214119363079152,LIKE
10513336322_10155112740951323,2302048350019301,LIKE
10513336322_10155112740951323,1362224980493664,SAD
10513336322_10155112740951323,1731304950217594,LIKE
10513336322_10155112740951323,10100617939657780,LIKE
10513336322_10155112740951323,1182758131830298,SAD
10513336322_10155112740951323,1491058547604261,LIKE
10513336322_10155112740951323,10154740425418059,HAHA
10513336322_10155112740951323,1807295325952953,LIKE
10513336322_10155112740951323,1849426215073711,LIKE
10513336322_10155112740951323,10212239133547261,LIKE
10513336322_10155112740951323,1584576804895149,LIKE
10513336322_10155112740951323,10155496085289224,LIKE
10513336322_10155112740951323,237330953440463,LIKE
10513336322_10155112740951323,10154859216183107,LIKE
10513336322_10155112740951323,1997793467106927,LIKE
10513336322_10155112740951323,10154551557011976,SAD
10513336322_10155112740951323,10154588505645671,LIKE
10513336322_10155112740951323,10155459378342498,LIKE
10513336322_10155112740951323,10158859747995277,LIKE
10513336322_10155112740951323,10209359987543347,LIKE
10513336322_10155112740951323,1396899210393506,HAHA
10513336322_10155112740951323,1015521175249344,LIKE
10513336322_10155112740951323,1388542564569444,SAD
10513336322_10155112740951323,1387139754686256,LIKE
10513336322_10155112740951323,10155643258867189,SAD
10513336322_10155112740951323,848541791962200,WOW
10513336322_10155112740951323,10155402649522629,SAD
10513336322_10155112740951323,10209677261434373,LIKE
10513336322_10155112740951323,10155210070242247,HAHA
10513336322_10155112740951323,10154431467037024,SAD
10513336322_10155112740951323,10211816326976787,LIKE
10513336322_10155112740951323,832049790293818,LIKE
10513336322_10155112740951323,10213013608876652,WOW
10513336322_10155112740951323,660575137469408,HAHA
10513336322_10155112740951323,925418500929955,LIKE
10513336322_10155112740951323,10211317140056625,WOW
10513336322_10155112740951323,10155449831504431,LIKE
10513336322_10155112740951323,1061715000627798,LIKE
10513336322_10155112740951323,10154927749870674,SAD
10513336322_10155112740951323,10154474528766431,SAD
10513336322_10155112740951323,10213278202530831,LIKE
10513336322_10155112740951323,1489326507824530,LIKE
10513336322_10155112740951323,10213413473753658,WOW
10513336322_10155112740951323,1735873333104600,LIKE
10513336322_10155112740951323,1612472358771189,LIKE
10513336322_10155112740951323,10155540141909630,SAD
10513336322_10155112740951323,1677315375642101,LIKE
10513336322_10155112740951323,10159011215210078,ANGRY
10513336322_10155112740951323,1576208265731447,LIKE
10513336322_10155112740951323,10154432364780044,WOW
10513336322_10155112740951323,1407717072645607,SAD
10513336322_10155112740951323,865056543649747,LIKE
10513336322_10155112740951323,10155405668840279,SAD
10513336322_10155112740951323,1530880460306836,LIKE
10513336322_10155112740951323,10155482940114740,LIKE
10513336322_10155112740951323,1728580480503392,SAD
10513336322_10155112740951323,10154661938117765,SAD
10513336322_10155112740951323,10210838319726828,SAD
10513336322_10155112740951323,10155470159069481,LIKE
10513336322_10155112740951323,10212868095879196,ANGRY
10513336322_10155112740951323,416104035449682,WOW
10513336322_10155112740951323,10155614844444258,LIKE
10513336322_10155112740951323,10209096732324897,SAD
10513336322_10155112740951323,10158791786435062,SAD
10513336322_10155112740951323,10155392691028361,SAD
10513336322_10155112740951323,1154746997963929,LIKE
10513336322_10155112740951323,10155480819626672,LIKE
10513336322_10155112740951323,10213166425292876,SAD
10513336322_10155112740951323,10159072038920145,LIKE
10513336322_10155112740951323,1785377574812265,LIKE
10513336322_10155112740951323,783086341872347,SAD
10513336322_10155112740951323,10156380678389972,ANGRY
10513336322_10155112740951323,10210192466311232,SAD
10513336322_10155112740951323,1702884946407262,LIKE
10513336322_10155112740951323,10159107076685438,SAD
10513336322_10155112740951323,1530645523623937,LIKE
10513336322_10155112740951323,10154570071467073,LIKE
10513336322_10155112740951323,438633849843528,LIKE
10513336322_10155112740951323,1478984852163332,LIKE
10513336322_10155112740951323,1614328738598161,SAD
10513336322_10155112740951323,746567838850262,LIKE
10513336322_10155112740951323,1862139667446189,LIKE
10513336322_10155112740951323,1015900161911429,LIKE
10513336322_10155112740951323,10155348159295900,SAD
10513336322_10155112740951323,10155703735422150,SAD
10513336322_10155112740951323,10213066881163927,SAD
10513336322_10155112740951323,1429085303793157,LIKE
10513336322_10155112740951323,10155259692168598,LIKE
10513336322_10155112740951323,785826811588412,LIKE
10513336322_10155112740951323,1525484614178565,LIKE
10513336322_10155112740951323,10155299336857184,SAD
10513336322_10155112740951323,10154770094422897,LIKE
10513336322_10155112740951323,831456933690277,LIKE
10513336322_10155112740951323,475629376111122,LIKE
10513336322_10155112740951323,10209302545549423,LIKE
10513336322_10155112740951323,814788905346691,LIKE
10513336322_10155112740951323,442874632766619,LIKE
10513336322_10155112740951323,10211254545972592,WOW
10513336322_10155112740951323,1404134436336249,LIKE
10513336322_10155112740951323,1680117405630759,LIKE
10513336322_10155112740951323,10102212891829557,SAD
10513336322_10155112740951323,10154571482982623,ANGRY
10513336322_10155112740951323,10214003454187354,WOW
10513336322_10155112740951323,942069579266613,LIKE
10513336322_10155112740951323,2335634509994961,LIKE
10513336322_10155112740951323,355694211516918,HAHA
10513336322_10155112740951323,10212387971521755,ANGRY
10513336322_10155112740951323,10155768602955579,LIKE
10513336322_10155112740951323,10155665654665466,HAHA
10513336322_10155112740951323,1744463868912140,LIKE
10513336322_10155112740951323,1380727858631441,LIKE
10513336322_10155112740951323,10158891295795065,SAD
10513336322_10155112740951323,10155528011758708,SAD
10513336322_10155112740951323,10155326133762203,SAD
10513336322_10155112740951323,525633827768254,LIKE
10513336322_10155112740951323,10155453247779715,LIKE
10513336322_10155112740951323,1830766760585170,WOW
10513336322_10155112740951323,848516288644965,WOW
10513336322_10155112740951323,1757757937586967,LIKE
10513336322_10155112740951323,1403184593105298,HAHA
10513336322_10155112740951323,1366722216781307,LIKE
10513336322_10155112740951323,1764577983570622,LIKE
10513336322_10155112740951323,10154747087156463,LIKE
10513336322_10155112740951323,2058134891080847,LIKE
10513336322_10155112740951323,10155425982141241,LIKE
10513336322_10155112740951323,10213394440519766,SAD
10513336322_10155112740951323,1842378359122559,ANGRY
10513336322_10155112740951323,10155513900169268,LIKE
10513336322_10155112740951323,334013513686467,LIKE
10513336322_10155112740951323,10212909502909564,WOW
10513336322_10155112740951323,10154543583657477,LIKE
10513336322_10155112740951323,10155468139349004,LIKE
10513336322_10155112740951323,786696898161284,LIKE
10513336322_10155112740951323,10154663653071517,LIKE
10513336322_10155112740951323,1751591841537444,LIKE
10513336322_10155112740951323,10158888468920366,LIKE
10513336322_10155112740951323,844748622341403,LIKE
10513336322_10155112740951323,1354368191344012,SAD
10513336322_10155112740951323,10154751633902205,LIKE
10513336322_10155112740951323,10154592243406232,SAD
10513336322_10155112740951323,10155825769831686,SAD
10513336322_10155112740951323,10154742239222671,HAHA
10513336322_10155112740951323,1517308528291211,SAD
10513336322_10155112740951323,10155282482096224,LIKE
10513336322_10155112740951323,10154633201828639,LIKE
10513336322_10155112740951323,10211407598363612,LIKE
10513336322_10155112740951323,10154678752991765,LIKE
10513336322_10155112740951323,10213236521538303,LIKE
10513336322_10155112740951323,1932215480350739,HAHA
10513336322_10155112740951323,1624249310927259,LIKE
10513336322_10155112740951323,846627685514152,LIKE
10513336322_10155112740951323,1884412658549684,LIKE
10513336322_10155112740951323,10158841404480304,SAD
10513336322_10155112740951323,10211826645375222,LIKE
10513336322_10155112740951323,10211968626803760,LIKE
10513336322_10155112740951323,1390634891022993,LIKE
10513336322_10155112740951323,10213862191491453,LIKE
10513336322_10155112740951323,313630175762202,LIKE
10513336322_10155112740951323,1059922677471237,LIKE
10513336322_10155112740951323,670361406073,LIKE
10513336322_10155112740951323,10159121125460372,SAD
10513336322_10155112740951323,1232531696856524,LIKE
10513336322_10155112740951323,10158922011915627,SAD
10513336322_10155112740951323,10155584008957755,HAHA
10513336322_10155112740951323,10211428854374441,LIKE
10513336322_10155112740951323,1417920541580146,LIKE
10513336322_10155112740951323,1679479718752586,LIKE
10513336322_10155112740951323,10155503155115746,SAD
10513336322_10155112740951323,1547738218590840,SAD
10513336322_10155112740951323,10155243992335325,LIKE
10513336322_10155112740951323,10155514659121913,LIKE
10513336322_10155112740951323,10155443656139687,SAD
10513336322_10155112740951323,10155005987146725,LIKE
10513336322_10155112740951323,10156260066229018,SAD
10513336322_10155112740951323,10213839304401961,LIKE
10513336322_10155112740951323,10203447189178622,SAD
10513336322_10155112740951323,10208001008096478,LIKE
10513336322_10155112740951323,10212558179407860,SAD
10513336322_10155112740951323,10207169874523502,LIKE
