parent_id,id,type
228735667216_1708377965845721,486646328338765,LIKE
228735667216_1708377965845721,196794030851489,LIKE
228735667216_1708377965845721,1967496733496081,LIKE
228735667216_1708377965845721,434450880269678,LIKE
228735667216_1708377965845721,180323295838678,LIKE
228735667216_1708377965845721,10101280463285140,LIKE
228735667216_1708377965845721,818980828250570,LIKE
228735667216_1708377965845721,838081093026758,LIKE
228735667216_1708377965845721,1895058920763872,LIKE
228735667216_1708377965845721,10155602037703969,LIKE
228735667216_1708377965845721,1371849979596066,LIKE
228735667216_1708377965845721,284943525307127,LIKE
228735667216_1708377965845721,10203542634322950,LIKE
228735667216_1708377965845721,1903319206659426,LIKE
228735667216_1708377965845721,246287562535836,LIKE
228735667216_1708377965845721,231497664027730,LIKE
228735667216_1708377965845721,10214138369312108,HAHA
228735667216_1708377965845721,1751753028172846,LIKE
228735667216_1708377965845721,1556641951074169,LIKE
228735667216_1708377965845721,249366832218372,LIKE
228735667216_1708377965845721,10154988043557955,LIKE
228735667216_1708377965845721,1608793972466066,LIKE
228735667216_1708377965845721,512109112467763,LIKE
228735667216_1708377965845721,1820703417947106,LIKE
228735667216_1708377965845721,230637064112190,LIKE
228735667216_1708377965845721,1811588589154393,LIKE
228735667216_1708377965845721,465028780527350,LIKE
228735667216_1708377965845721,266926220454840,LIKE
228735667216_1708377965845721,509613652703136,HAHA
228735667216_1708377965845721,10209531286822362,ANGRY
228735667216_1708377965845721,1886144745043223,LOVE
228735667216_1708377965845721,1397484826955261,ANGRY
228735667216_1708377965845721,1806237666358360,LIKE
228735667216_1708377965845721,1951081881836279,LIKE
228735667216_1708377965845721,1575435365813691,LIKE
228735667216_1708377965845721,1395333097170017,LIKE
228735667216_1708377965845721,201523250376877,LIKE
228735667216_1708377965845721,1214795108627144,LIKE
228735667216_1708377965845721,1478802905498672,HAHA
228735667216_1708377965845721,267761273702423,LIKE
228735667216_1708377965845721,10159008499265565,HAHA
228735667216_1708377965845721,1737755529855167,LIKE
228735667216_1708377965845721,1799059590406393,HAHA
228735667216_1708377965845721,10155036319006865,LIKE
228735667216_1708377965845721,10155447368950522,LIKE
228735667216_1708377965845721,10211953997677290,LIKE
228735667216_1708377965845721,10155187838880067,ANGRY
228735667216_1708377965845721,1525229090872745,LIKE
228735667216_1708377965845721,1755946051087598,ANGRY
228735667216_1708377965845721,332064573889008,LIKE
228735667216_1708377965845721,249205162248135,LIKE
228735667216_1708377965845721,10212937376045812,LIKE
228735667216_1708377965845721,10211993784712576,LIKE
228735667216_1708377965845721,1262442363882226,ANGRY
228735667216_1708377965845721,1911523269071701,LIKE
228735667216_1708377965845721,1392885004162283,LIKE
228735667216_1708377965845721,10155219730767631,HAHA
228735667216_1708377965845721,10211774316125645,LIKE
228735667216_1708377965845721,659244814246208,HAHA
228735667216_1708377965845721,659328710941081,LIKE
