parent_id,id,type
129617873765147_1544541742272746,323110261449262,LIKE
129617873765147_1544541742272746,771604063019776,LIKE
129617873765147_1544541742272746,1909437655990088,LIKE
129617873765147_1544541742272746,471386479875127,WOW
129617873765147_1544541742272746,820268701463532,HAHA
129617873765147_1544541742272746,422243384827919,HAHA
129617873765147_1544541742272746,10155090538749093,ANGRY
129617873765147_1544541742272746,10155476644493057,LIKE
129617873765147_1544541742272746,10154810783983652,LIKE
129617873765147_1544541742272746,1456273497801493,LIKE
129617873765147_1544541742272746,1455679301158307,HAHA
129617873765147_1544541742272746,10154740470207066,ANGRY
129617873765147_1544541742272746,10207559993636945,LIKE
129617873765147_1544541742272746,1878628215795682,ANGRY
129617873765147_1544541742272746,10213895409443317,HAHA
129617873765147_1544541742272746,485700951768123,HAHA
129617873765147_1544541742272746,10213612718858360,HAHA
129617873765147_1544541742272746,10158953824030720,HAHA
129617873765147_1544541742272746,10203286062589419,HAHA
129617873765147_1544541742272746,1549073851822699,HAHA
129617873765147_1544541742272746,10213171109496565,LIKE
129617873765147_1544541742272746,1576302152400429,HAHA
129617873765147_1544541742272746,1553440184687029,LOVE
129617873765147_1544541742272746,1704771106495178,ANGRY
129617873765147_1544541742272746,10159018395560397,HAHA
129617873765147_1544541742272746,276508392827295,LIKE
129617873765147_1544541742272746,10212035114886164,ANGRY
129617873765147_1544541742272746,10155548437312244,ANGRY
129617873765147_1544541742272746,10211074270990442,HAHA
129617873765147_1544541742272746,10212695729483669,LIKE
129617873765147_1544541742272746,10211296688527231,HAHA
129617873765147_1544541742272746,1489787257726123,HAHA
129617873765147_1544541742272746,1521345321251327,HAHA
129617873765147_1544541742272746,931119310360233,LIKE
129617873765147_1544541742272746,10155519093574507,ANGRY
129617873765147_1544541742272746,1366609736708253,LIKE
129617873765147_1544541742272746,10213593387053577,ANGRY
129617873765147_1544541742272746,10213524475974969,ANGRY
129617873765147_1544541742272746,2004026546491983,ANGRY
129617873765147_1544541742272746,10213607451243492,ANGRY
129617873765147_1544541742272746,10209571076613898,HAHA
129617873765147_1544541742272746,10155440479016197,ANGRY
129617873765147_1544541742272746,10207469644937957,ANGRY
129617873765147_1544541742272746,1591323147547134,ANGRY
129617873765147_1544541742272746,1268358693287321,LIKE
129617873765147_1544541742272746,1583266181685095,LIKE
129617873765147_1544541742272746,456764244702843,HAHA
129617873765147_1544541742272746,10212065208640040,HAHA
129617873765147_1544541742272746,10155172590518880,LIKE
129617873765147_1544541742272746,700237023506202,HAHA
129617873765147_1544541742272746,1453244101432652,ANGRY
129617873765147_1544541742272746,1903687999955896,HAHA
129617873765147_1544541742272746,1394290020665739,ANGRY
129617873765147_1544541742272746,10211718824038826,ANGRY
129617873765147_1544541742272746,1508032149271104,HAHA
129617873765147_1544541742272746,1955643144670906,HAHA
129617873765147_1544541742272746,1389016464522266,HAHA
129617873765147_1544541742272746,799836733521609,LIKE
129617873765147_1544541742272746,393016881095157,LIKE
129617873765147_1544541742272746,10155619840103447,LIKE
129617873765147_1544541742272746,1806849769626832,LIKE
129617873765147_1544541742272746,539311292906195,LIKE
129617873765147_1544541742272746,10213786181996818,ANGRY
129617873765147_1544541742272746,1587631981256240,LIKE
129617873765147_1544541742272746,1335670786549177,LOVE
129617873765147_1544541742272746,10209790197806806,LIKE
129617873765147_1544541742272746,1472315002790906,ANGRY
129617873765147_1544541742272746,1494278387295759,HAHA
129617873765147_1544541742272746,10212405235538794,LIKE
129617873765147_1544541742272746,10213486618430547,LIKE
129617873765147_1544541742272746,1866000993719382,LIKE
129617873765147_1544541742272746,1475870585791814,HAHA
129617873765147_1544541742272746,477550669247741,LIKE
129617873765147_1544541742272746,857177701099346,HAHA
129617873765147_1544541742272746,1655377381140274,LIKE
129617873765147_1544541742272746,1740533586239957,ANGRY
129617873765147_1544541742272746,719606878212089,HAHA
129617873765147_1544541742272746,1600825463292348,ANGRY
129617873765147_1544541742272746,10211942701635143,ANGRY
129617873765147_1544541742272746,10209509858685104,LIKE
129617873765147_1544541742272746,10155466961859805,ANGRY
129617873765147_1544541742272746,1952559891689195,LIKE
129617873765147_1544541742272746,10154511846882680,HAHA
129617873765147_1544541742272746,958602340947075,LIKE
129617873765147_1544541742272746,10208951613339140,HAHA
129617873765147_1544541742272746,10155426691973334,LIKE
