parent_id,id,type
164305410295882_2127760440617026,10207508124416212,LIKE
164305410295882_2127760440617026,1898272653770801,LIKE
164305410295882_2127760440617026,1919656638281307,LIKE
164305410295882_2127760440617026,473438306376463,LIKE
164305410295882_2127760440617026,10213315602428009,LIKE
164305410295882_2127760440617026,10156165959269918,LIKE
164305410295882_2127760440617026,10155564572584225,LIKE
164305410295882_2127760440617026,10154726314957361,HAHA
164305410295882_2127760440617026,1249837041810401,LIKE
164305410295882_2127760440617026,1892970011028563,LIKE
164305410295882_2127760440617026,10209571152295790,LOVE
164305410295882_2127760440617026,10155373682869870,LIKE
164305410295882_2127760440617026,1407441879339070,LIKE
164305410295882_2127760440617026,1718855894796020,LIKE
164305410295882_2127760440617026,10212252153915636,LIKE
164305410295882_2127760440617026,10155436583404603,ANGRY
164305410295882_2127760440617026,442769399443667,LIKE
164305410295882_2127760440617026,1420418128049224,HAHA
164305410295882_2127760440617026,824929301004269,LIKE
164305410295882_2127760440617026,467217163627277,ANGRY
164305410295882_2127760440617026,10209703213112213,HAHA
164305410295882_2127760440617026,1416363678444914,ANGRY
164305410295882_2127760440617026,1540302766022569,LIKE
164305410295882_2127760440617026,10154692235123365,WOW
164305410295882_2127760440617026,230530230793415,LIKE
164305410295882_2127760440617026,1886149558320041,LIKE
164305410295882_2127760440617026,1510777742314849,HAHA
164305410295882_2127760440617026,1794084097284858,LIKE
164305410295882_2127760440617026,1413198728776488,LIKE
164305410295882_2127760440617026,723510764503963,LIKE
164305410295882_2127760440617026,1480543668673980,HAHA
164305410295882_2127760440617026,1221176918009588,HAHA
164305410295882_2127760440617026,10209911241037851,ANGRY
164305410295882_2127760440617026,1253005921488234,LIKE
164305410295882_2127760440617026,10211256943874100,LIKE
164305410295882_2127760440617026,1894878680525931,ANGRY
164305410295882_2127760440617026,10154823506700292,LOVE
164305410295882_2127760440617026,1895885534005773,LIKE
164305410295882_2127760440617026,10213630223699921,ANGRY
164305410295882_2127760440617026,10213708284080293,ANGRY
164305410295882_2127760440617026,10213769197644578,LIKE
164305410295882_2127760440617026,10154611881690373,LIKE
164305410295882_2127760440617026,1866352690058081,LIKE
164305410295882_2127760440617026,10211918707996334,LIKE
164305410295882_2127760440617026,1383748848328650,LIKE
164305410295882_2127760440617026,10213455534572600,HAHA
164305410295882_2127760440617026,1914714168811352,LOVE
164305410295882_2127760440617026,10156030087176754,HAHA
164305410295882_2127760440617026,801717783321667,LIKE
164305410295882_2127760440617026,1369271396442958,ANGRY
164305410295882_2127760440617026,10207915098190112,ANGRY
164305410295882_2127760440617026,10213301634037561,LIKE
164305410295882_2127760440617026,1405992662779820,ANGRY
164305410295882_2127760440617026,1446623692098457,LIKE
164305410295882_2127760440617026,1943249725700993,LIKE
164305410295882_2127760440617026,1705259616154333,HAHA
164305410295882_2127760440617026,315633822219622,LOVE
164305410295882_2127760440617026,243065959532397,LIKE
164305410295882_2127760440617026,10155991425208812,LOVE
164305410295882_2127760440617026,10214124103602279,LIKE
164305410295882_2127760440617026,10155588162627975,HAHA
164305410295882_2127760440617026,1364141127002407,ANGRY
164305410295882_2127760440617026,10209899857918230,LIKE
164305410295882_2127760440617026,10154480642826104,ANGRY
164305410295882_2127760440617026,358646724555838,LIKE
164305410295882_2127760440617026,1424120950968800,LIKE
164305410295882_2127760440617026,10209420881103691,LIKE
164305410295882_2127760440617026,10155005973757087,LIKE
164305410295882_2127760440617026,10213597988612387,HAHA
164305410295882_2127760440617026,10155511294047140,LOVE
164305410295882_2127760440617026,10158906856090537,LIKE
164305410295882_2127760440617026,1826012704376840,LIKE
164305410295882_2127760440617026,10203135693349586,LIKE
164305410295882_2127760440617026,1447590028620338,LIKE
164305410295882_2127760440617026,2333960593496225,LIKE
164305410295882_2127760440617026,1233116020151055,LIKE
164305410295882_2127760440617026,10213969850062342,LIKE
164305410295882_2127760440617026,312220939221768,LIKE
164305410295882_2127760440617026,1747139021963731,LIKE
164305410295882_2127760440617026,10154985088494032,LOVE
164305410295882_2127760440617026,269440143538930,LIKE
164305410295882_2127760440617026,10155227027763964,ANGRY
164305410295882_2127760440617026,2071444176416204,LIKE
164305410295882_2127760440617026,1354084458042757,HAHA
164305410295882_2127760440617026,1556647021041603,ANGRY
164305410295882_2127760440617026,1919343221654462,ANGRY
164305410295882_2127760440617026,1731849036829333,ANGRY
164305410295882_2127760440617026,1411367902284691,LIKE
164305410295882_2127760440617026,10154480148076784,LIKE
164305410295882_2127760440617026,10159132716595637,ANGRY
164305410295882_2127760440617026,10154402624327574,HAHA
164305410295882_2127760440617026,10154654785408199,LIKE
164305410295882_2127760440617026,10155398954214326,HAHA
164305410295882_2127760440617026,10212235054905582,LIKE
164305410295882_2127760440617026,10155453751597365,LIKE
164305410295882_2127760440617026,1821832061177145,ANGRY
164305410295882_2127760440617026,10154507332472260,LIKE
164305410295882_2127760440617026,10154914519441523,ANGRY
164305410295882_2127760440617026,798127407016825,LOVE
164305410295882_2127760440617026,328283820942614,ANGRY
