parent_id,id,type
164665060214766_1665103080173215,1396396713743045,HAHA
164665060214766_1665103080173215,1440160419363875,LIKE
164665060214766_1665103080173215,233233650519964,LIKE
164665060214766_1665103080173215,1923950717843779,ANGRY
164665060214766_1665103080173215,10203345791042819,HAHA
164665060214766_1665103080173215,1471315859595234,LIKE
164665060214766_1665103080173215,1915623712043482,LIKE
164665060214766_1665103080173215,1712300329064500,LIKE
164665060214766_1665103080173215,1745011609131985,LIKE
164665060214766_1665103080173215,1643099575701493,LIKE
164665060214766_1665103080173215,702431626601828,LIKE
164665060214766_1665103080173215,10203286062589419,HAHA
164665060214766_1665103080173215,1768899039792480,ANGRY
164665060214766_1665103080173215,10155512639514686,ANGRY
164665060214766_1665103080173215,1594025427282614,HAHA
164665060214766_1665103080173215,459025264455803,LIKE
164665060214766_1665103080173215,968895626582945,ANGRY
164665060214766_1665103080173215,1408948412485811,ANGRY
164665060214766_1665103080173215,10156496033778975,LIKE
164665060214766_1665103080173215,1880590045523995,LIKE
164665060214766_1665103080173215,531956937135471,HAHA
164665060214766_1665103080173215,1979086459029708,HAHA
164665060214766_1665103080173215,698776676997520,LIKE
164665060214766_1665103080173215,1345172745579720,LIKE
164665060214766_1665103080173215,10155866596696111,LIKE
164665060214766_1665103080173215,202998636893164,LIKE
164665060214766_1665103080173215,241483796366147,LIKE
164665060214766_1665103080173215,10213217279004454,WOW
164665060214766_1665103080173215,682748511925086,LIKE
164665060214766_1665103080173215,10154957034032739,ANGRY
164665060214766_1665103080173215,10159082975985096,LIKE
164665060214766_1665103080173215,326280221141160,LIKE
164665060214766_1665103080173215,1929179667144659,LIKE
164665060214766_1665103080173215,361954614220243,LIKE
164665060214766_1665103080173215,1032797520190085,ANGRY
164665060214766_1665103080173215,1479067368817690,LIKE
164665060214766_1665103080173215,10211369268481625,HAHA
164665060214766_1665103080173215,10214148522575374,HAHA
164665060214766_1665103080173215,309781272782714,LIKE
164665060214766_1665103080173215,2026536860907386,ANGRY
164665060214766_1665103080173215,1582735968412005,LIKE
164665060214766_1665103080173215,10213043173731769,ANGRY
164665060214766_1665103080173215,1713265908974685,LIKE
164665060214766_1665103080173215,233740913805646,LIKE
164665060214766_1665103080173215,314329548993553,LIKE
164665060214766_1665103080173215,197142960816477,LIKE
164665060214766_1665103080173215,1577996525578304,LIKE
164665060214766_1665103080173215,296488547490444,LIKE
164665060214766_1665103080173215,468234046861110,LIKE
164665060214766_1665103080173215,1536328626419924,LIKE
164665060214766_1665103080173215,10154708088377283,HAHA
164665060214766_1665103080173215,1930444757233023,ANGRY
164665060214766_1665103080173215,1588553907883231,LIKE
164665060214766_1665103080173215,1477727012287665,LIKE
164665060214766_1665103080173215,353995355017394,LIKE
164665060214766_1665103080173215,325517954561767,LIKE
164665060214766_1665103080173215,676950432503760,LOVE
164665060214766_1665103080173215,1785385241774489,LIKE
164665060214766_1665103080173215,238915766620901,LIKE
164665060214766_1665103080173215,1196662407112460,LIKE
164665060214766_1665103080173215,10156981720661509,LIKE
164665060214766_1665103080173215,1697229500584898,LIKE
