parent_id,id,type
10513336322_10155182318621323,241266443035200,LIKE
10513336322_10155182318621323,10155595743727160,LIKE
10513336322_10155182318621323,10213487306477617,LIKE
10513336322_10155182318621323,10213339686788408,LIKE
10513336322_10155182318621323,10155538284667372,LOVE
10513336322_10155182318621323,938813576260854,LIKE
10513336322_10155182318621323,10211716593222927,WOW
10513336322_10155182318621323,1533465770046657,LIKE
10513336322_10155182318621323,2001036143509240,LIKE
10513336322_10155182318621323,1901228533469123,LIKE
10513336322_10155182318621323,10103247925702757,LIKE
10513336322_10155182318621323,1516156878434358,LIKE
10513336322_10155182318621323,1784433441868856,LIKE
10513336322_10155182318621323,10154439033296076,LIKE
10513336322_10155182318621323,784302271729954,LIKE
10513336322_10155182318621323,1960817337480473,LIKE
10513336322_10155182318621323,1441504315935116,LIKE
10513336322_10155182318621323,10155554490423331,LIKE
10513336322_10155182318621323,1630666500290289,LIKE
10513336322_10155182318621323,1600204376658369,LIKE
10513336322_10155182318621323,385245978543939,LIKE
10513336322_10155182318621323,10154680723995095,LIKE
10513336322_10155182318621323,10155541267768970,LIKE
10513336322_10155182318621323,477392565931674,LIKE
10513336322_10155182318621323,10155487697257052,LIKE
10513336322_10155182318621323,10154635797686269,LIKE
10513336322_10155182318621323,10155542798943308,LIKE
10513336322_10155182318621323,10212244548662072,LIKE
10513336322_10155182318621323,10212923653713666,LIKE
10513336322_10155182318621323,10155170661271226,LIKE
10513336322_10155182318621323,10158971339755430,LIKE
10513336322_10155182318621323,1513609432018408,LIKE
10513336322_10155182318621323,1419010378182722,LIKE
10513336322_10155182318621323,10154770449068575,LIKE
10513336322_10155182318621323,1040772189391786,LOVE
10513336322_10155182318621323,671818809675065,LIKE
10513336322_10155182318621323,10211442542152550,LOVE
10513336322_10155182318621323,1922970997918286,LIKE
10513336322_10155182318621323,10213274532728250,LIKE
10513336322_10155182318621323,1494776143878251,LOVE
10513336322_10155182318621323,920310945074,LIKE
10513336322_10155182318621323,10209229765088724,LIKE
10513336322_10155182318621323,1511892892206548,LIKE
10513336322_10155182318621323,10213126851022119,LIKE
10513336322_10155182318621323,10156398481458306,LOVE
10513336322_10155182318621323,1786834348008316,LIKE
10513336322_10155182318621323,10209493456915285,LIKE
10513336322_10155182318621323,10213597924012436,LIKE
10513336322_10155182318621323,780414215458345,LIKE
10513336322_10155182318621323,1960165977551669,LIKE
10513336322_10155182318621323,10155460306907118,HAHA
10513336322_10155182318621323,10103641976052609,WOW
10513336322_10155182318621323,1501246419897874,LIKE
10513336322_10155182318621323,1341923122590888,LIKE
10513336322_10155182318621323,10155547850150719,LOVE
10513336322_10155182318621323,10155487369425762,LIKE
10513336322_10155182318621323,10154728604422135,LIKE
10513336322_10155182318621323,10155581079889060,LIKE
10513336322_10155182318621323,10155151162226141,LIKE
10513336322_10155182318621323,10154524841896956,LIKE
10513336322_10155182318621323,1049392861827797,LIKE
10513336322_10155182318621323,1624431024242640,LIKE
10513336322_10155182318621323,10212438243778490,LIKE
10513336322_10155182318621323,830417717114435,LIKE
10513336322_10155182318621323,10154594852555846,LIKE
10513336322_10155182318621323,1752635991419390,LIKE
10513336322_10155182318621323,10207191335781009,LIKE
10513336322_10155182318621323,1395388567215487,LIKE
10513336322_10155182318621323,1580036202021089,LIKE
10513336322_10155182318621323,10105722414083137,LIKE
10513336322_10155182318621323,1541095869266854,LIKE
10513336322_10155182318621323,10155514958649083,LIKE
10513336322_10155182318621323,10154716549150754,LIKE
10513336322_10155182318621323,10158957753325346,LIKE
10513336322_10155182318621323,1363158953762017,LIKE
10513336322_10155182318621323,10159055208700094,LIKE
10513336322_10155182318621323,10155587239674180,LIKE
10513336322_10155182318621323,10213398061530023,LOVE
10513336322_10155182318621323,1359915547449242,LIKE
10513336322_10155182318621323,1859177857665892,LOVE
10513336322_10155182318621323,10154491538056751,LIKE
10513336322_10155182318621323,1916030311985577,LIKE
10513336322_10155182318621323,10154987399628736,LIKE
10513336322_10155182318621323,10158971594065181,LIKE
10513336322_10155182318621323,10159083051620096,LIKE
10513336322_10155182318621323,10154762503326824,LIKE
10513336322_10155182318621323,1453156944727841,LIKE
10513336322_10155182318621323,10156415965217846,LIKE
10513336322_10155182318621323,10209405562083521,LIKE
10513336322_10155182318621323,10156459938333986,LIKE
10513336322_10155182318621323,10155489848129910,LIKE
10513336322_10155182318621323,1548479741865321,LIKE
10513336322_10155182318621323,1448391835239531,LIKE
10513336322_10155182318621323,1599175443460604,LIKE
10513336322_10155182318621323,1550358655009317,LIKE
10513336322_10155182318621323,10209827769632154,LIKE
10513336322_10155182318621323,10154477266811695,LIKE
10513336322_10155182318621323,1959031824341382,WOW
10513336322_10155182318621323,10111352458873231,LIKE
10513336322_10155182318621323,10155190632439733,LIKE
10513336322_10155182318621323,1686311211396663,LIKE
10513336322_10155182318621323,10213940440251877,LIKE
10513336322_10155182318621323,10154841843828775,LIKE
10513336322_10155182318621323,10159032561595523,LIKE
10513336322_10155182318621323,1524073174318585,LIKE
10513336322_10155182318621323,10155694255164095,LIKE
10513336322_10155182318621323,1825418544439579,LIKE
10513336322_10155182318621323,779213123526,LIKE
10513336322_10155182318621323,10155534460954861,LIKE
10513336322_10155182318621323,1613639445321308,LIKE
10513336322_10155182318621323,10211217155719195,LIKE
10513336322_10155182318621323,10154943502649472,WOW
10513336322_10155182318621323,10155310617571166,LIKE
10513336322_10155182318621323,675597955962615,LIKE
10513336322_10155182318621323,10213746431473624,LIKE
10513336322_10155182318621323,1999550770070820,LIKE
10513336322_10155182318621323,447241295631834,LIKE
10513336322_10155182318621323,998239383651776,LOVE
10513336322_10155182318621323,10101272884835773,LIKE
10513336322_10155182318621323,10158884358210099,LIKE
10513336322_10155182318621323,1441033372601063,LIKE
10513336322_10155182318621323,10158907003095142,LIKE
10513336322_10155182318621323,10213636169207877,LIKE
10513336322_10155182318621323,10213605553312171,LIKE
10513336322_10155182318621323,10155691714841159,LIKE
10513336322_10155182318621323,750101385162042,LIKE
10513336322_10155182318621323,1532336973455173,LIKE
10513336322_10155182318621323,10159182900905556,LIKE
10513336322_10155182318621323,1532254810147377,WOW
10513336322_10155182318621323,791755311006006,LIKE
10513336322_10155182318621323,1711796308849923,LIKE
10513336322_10155182318621323,10211077346584221,LIKE
10513336322_10155182318621323,625580390978358,LIKE
10513336322_10155182318621323,10154774243749677,LIKE
10513336322_10155182318621323,473542046323798,LIKE
10513336322_10155182318621323,10212251925986795,LIKE
10513336322_10155182318621323,10154632479711156,WOW
10513336322_10155182318621323,10154728672997135,LIKE
10513336322_10155182318621323,807796729395122,LIKE
10513336322_10155182318621323,10155301678924003,LIKE
10513336322_10155182318621323,10207492314824361,LIKE
10513336322_10155182318621323,465026880525636,LIKE
10513336322_10155182318621323,1952733854752290,LIKE
10513336322_10155182318621323,738230109696203,LIKE
10513336322_10155182318621323,10213286735433712,LIKE
10513336322_10155182318621323,10155274947730605,LIKE
10513336322_10155182318621323,10155619331039551,LIKE
10513336322_10155182318621323,1476015245797418,LIKE
10513336322_10155182318621323,1508301992524567,LIKE
10513336322_10155182318621323,1553994707965584,LIKE
10513336322_10155182318621323,10155516821278824,LIKE
10513336322_10155182318621323,10208746540891928,LIKE
10513336322_10155182318621323,1995238874039218,LIKE
10513336322_10155182318621323,679173658954643,LIKE
10513336322_10155182318621323,10155207592177559,LIKE
10513336322_10155182318621323,10209601521979715,LIKE
10513336322_10155182318621323,10213180824376454,LIKE
10513336322_10155182318621323,1326818164092341,LIKE
10513336322_10155182318621323,1540866082636250,LIKE
10513336322_10155182318621323,10155563790951869,LIKE
10513336322_10155182318621323,1929280030689917,LIKE
10513336322_10155182318621323,10212290570646734,LIKE
10513336322_10155182318621323,10154879159503121,LIKE
10513336322_10155182318621323,10158987772330080,SAD
10513336322_10155182318621323,10155527401128980,LIKE
10513336322_10155182318621323,1355201767908753,LIKE
10513336322_10155182318621323,1247427502034735,LIKE
10513336322_10155182318621323,1488113647876673,WOW
10513336322_10155182318621323,10209402390803379,LIKE
10513336322_10155182318621323,10103256599844873,LIKE
10513336322_10155182318621323,10213555088373246,LIKE
10513336322_10155182318621323,10213384234547097,LIKE
10513336322_10155182318621323,10212627123768264,LIKE
10513336322_10155182318621323,10155672393948814,LIKE
10513336322_10155182318621323,10155458298624557,LOVE
10513336322_10155182318621323,1257229644406444,LIKE
10513336322_10155182318621323,10155578343907147,LIKE
10513336322_10155182318621323,1521469924540016,LIKE
10513336322_10155182318621323,468375140173191,LIKE
10513336322_10155182318621323,10209743041994055,LIKE
10513336322_10155182318621323,10158921904910627,HAHA
10513336322_10155182318621323,1398248173587691,LIKE
10513336322_10155182318621323,10155539199173060,LIKE
10513336322_10155182318621323,1802589380051398,LIKE
10513336322_10155182318621323,10154962012052762,LIKE
10513336322_10155182318621323,10155431530297359,LIKE
10513336322_10155182318621323,1388688824513375,LIKE
10513336322_10155182318621323,10155577853275921,LOVE
10513336322_10155182318621323,10209877751005916,LOVE
10513336322_10155182318621323,10155638509013258,WOW
10513336322_10155182318621323,10154880172703510,LIKE
10513336322_10155182318621323,1392923210776163,LIKE
10513336322_10155182318621323,1687848604576395,LIKE
10513336322_10155182318621323,246433245851104,LIKE
10513336322_10155182318621323,1082825175195820,LIKE
10513336322_10155182318621323,1323021777817598,LIKE
10513336322_10155182318621323,1555644301147514,LIKE
10513336322_10155182318621323,10214034485356431,LIKE
10513336322_10155182318621323,1577788945586858,LIKE
10513336322_10155182318621323,10154522721600974,LIKE
10513336322_10155182318621323,10155490866228620,LIKE
10513336322_10155182318621323,10154708755813015,LIKE
10513336322_10155182318621323,1583116065046676,LIKE
10513336322_10155182318621323,1632472800130328,LIKE
10513336322_10155182318621323,1503875999675811,LIKE
10513336322_10155182318621323,10213970767608750,LOVE
10513336322_10155182318621323,10209963468222563,LIKE
10513336322_10155182318621323,1720594664622004,LIKE
10513336322_10155182318621323,10211422607099322,LIKE
10513336322_10155182318621323,10155059133811144,LOVE
10513336322_10155182318621323,1471108869621100,LIKE
10513336322_10155182318621323,10155436772499603,LIKE
10513336322_10155182318621323,10208957611369356,LIKE
10513336322_10155182318621323,10209482697284017,LIKE
10513336322_10155182318621323,1368403553213334,LIKE
10513336322_10155182318621323,10212017169518768,LIKE
10513336322_10155182318621323,1363795883733560,LIKE
10513336322_10155182318621323,1969581753067999,LIKE
10513336322_10155182318621323,10210023395403182,LIKE
10513336322_10155182318621323,10212296295698710,LIKE
10513336322_10155182318621323,10155393551324871,LIKE
10513336322_10155182318621323,909970989155482,LIKE
10513336322_10155182318621323,1567060243328705,LIKE
10513336322_10155182318621323,1714022695278712,LIKE
10513336322_10155182318621323,10154478416526400,LIKE
10513336322_10155182318621323,10155503176849605,LIKE
10513336322_10155182318621323,10154803727941173,LIKE
10513336322_10155182318621323,10209702003610214,LIKE
10513336322_10155182318621323,1748062488544849,LIKE
10513336322_10155182318621323,1744463868912140,LIKE
10513336322_10155182318621323,10213811530388189,LIKE
10513336322_10155182318621323,1292573110872074,LIKE
10513336322_10155182318621323,10211966046174119,LIKE
10513336322_10155182318621323,10213614818152641,LIKE
10513336322_10155182318621323,10156279723634692,LIKE
10513336322_10155182318621323,10155600043532376,LIKE
10513336322_10155182318621323,1470521476369470,LIKE
10513336322_10155182318621323,725233150995297,LIKE
10513336322_10155182318621323,1292140234238467,LIKE
10513336322_10155182318621323,10158857794150507,LIKE
10513336322_10155182318621323,355694211516918,HAHA
10513336322_10155182318621323,1795157287167968,LIKE
10513336322_10155182318621323,1605948529416221,LIKE
10513336322_10155182318621323,10207237227729103,LIKE
10513336322_10155182318621323,1473483099357852,LIKE
10513336322_10155182318621323,1720247368003126,LIKE
10513336322_10155182318621323,10213452377044898,LIKE
10513336322_10155182318621323,10207530640663507,LIKE
10513336322_10155182318621323,1608897545818649,LIKE
10513336322_10155182318621323,10159017962900512,LIKE
10513336322_10155182318621323,10155538778042146,LIKE
10513336322_10155182318621323,1580257495341205,LIKE
10513336322_10155182318621323,1465101370240077,LIKE
10513336322_10155182318621323,784439985059067,LIKE
10513336322_10155182318621323,10212851012568636,LIKE
10513336322_10155182318621323,799873093523712,WOW
10513336322_10155182318621323,1710871319217604,LOVE
10513336322_10155182318621323,1712185178810691,LIKE
10513336322_10155182318621323,1677197915643356,LIKE
10513336322_10155182318621323,10207872345641612,LIKE
10513336322_10155182318621323,10203485405571916,LIKE
10513336322_10155182318621323,10154429067101582,LIKE
10513336322_10155182318621323,1917977031792672,LIKE
10513336322_10155182318621323,10155341966731083,LIKE
10513336322_10155182318621323,1604712689540966,LIKE
10513336322_10155182318621323,10154834612227169,LIKE
10513336322_10155182318621323,10207171604607359,LIKE
10513336322_10155182318621323,10154679036603344,LOVE
10513336322_10155182318621323,1807295325952953,LIKE
10513336322_10155182318621323,10154488104305940,LIKE
10513336322_10155182318621323,10155513787219283,LIKE
10513336322_10155182318621323,1725086780840364,LIKE
10513336322_10155182318621323,10210067180256839,LIKE
10513336322_10155182318621323,10155495995159224,LIKE
10513336322_10155182318621323,10154797409457794,LIKE
10513336322_10155182318621323,10154949947624480,HAHA
10513336322_10155182318621323,10209517731248682,LOVE
10513336322_10155182318621323,1726075704358030,LIKE
10513336322_10155182318621323,1597701543597347,LIKE
10513336322_10155182318621323,10203090265215346,LIKE
10513336322_10155182318621323,1495067523921488,LIKE
10513336322_10155182318621323,10209616385866280,LOVE
10513336322_10155182318621323,1800207239994685,LIKE
10513336322_10155182318621323,1999776343584048,LIKE
10513336322_10155182318621323,1518147188206834,LIKE
10513336322_10155182318621323,10102347146476898,LIKE
10513336322_10155182318621323,1387220374665580,LOVE
10513336322_10155182318621323,10155377629280561,LIKE
10513336322_10155182318621323,1372885406080300,LIKE
10513336322_10155182318621323,10155652006796019,LOVE
10513336322_10155182318621323,10155281625685516,LIKE
10513336322_10155182318621323,1416193318457265,LIKE
10513336322_10155182318621323,10155394393671092,LIKE
10513336322_10155182318621323,10209984990640787,LIKE
10513336322_10155182318621323,10159083051625096,LIKE
10513336322_10155182318621323,1749336335084409,LIKE
10513336322_10155182318621323,10213514605644856,LIKE
10513336322_10155182318621323,1676612519033907,LIKE
10513336322_10155182318621323,10156622652814896,LIKE
10513336322_10155182318621323,1884398745133437,LIKE
10513336322_10155182318621323,10213225460208115,LIKE
10513336322_10155182318621323,1762997510407802,LIKE
10513336322_10155182318621323,1962213914024818,LIKE
10513336322_10155182318621323,10155308953441745,LIKE
10513336322_10155182318621323,1370321623036607,LIKE
10513336322_10155182318621323,10158955535985026,LIKE
10513336322_10155182318621323,1456809817711607,LIKE
10513336322_10155182318621323,10212943260080736,LIKE
10513336322_10155182318621323,10155382934082456,LIKE
10513336322_10155182318621323,10212279384835674,LIKE
10513336322_10155182318621323,10158967588570301,LIKE
10513336322_10155182318621323,1713162795379728,LIKE
10513336322_10155182318621323,10154805055762883,SAD
10513336322_10155182318621323,10154568905935933,LIKE
10513336322_10155182318621323,1084857401648666,LIKE
10513336322_10155182318621323,10155377671611411,LIKE
10513336322_10155182318621323,10155786016790288,LIKE
10513336322_10155182318621323,10154803727946173,LIKE
10513336322_10155182318621323,849828918499134,LOVE
10513336322_10155182318621323,10154739626952503,LIKE
10513336322_10155182318621323,10155512293739111,LIKE
10513336322_10155182318621323,10213245160233913,LIKE
10513336322_10155182318621323,10159180269865268,LIKE
10513336322_10155182318621323,10156347703854377,LOVE
10513336322_10155182318621323,1907098726230530,LIKE
10513336322_10155182318621323,10155429538774919,LIKE
10513336322_10155182318621323,1565718463500648,LIKE
10513336322_10155182318621323,10156297976345744,LIKE
10513336322_10155182318621323,1511259378895085,LIKE
10513336322_10155182318621323,10213381865281130,LIKE
10513336322_10155182318621323,1618739684827440,LIKE
