parent_id,id,type
13312631635_10154583853771636,10155183258091928,LIKE
13312631635_10154583853771636,478526119161497,LIKE
13312631635_10154583853771636,10209550320936782,LIKE
13312631635_10154583853771636,243509166152661,LIKE
13312631635_10154583853771636,692579384266932,LIKE
13312631635_10154583853771636,10213359012835827,WOW
13312631635_10154583853771636,1590955934261882,LIKE
13312631635_10154583853771636,10159024803155615,LIKE
13312631635_10154583853771636,10210291771353549,LIKE
13312631635_10154583853771636,1408382732589628,LIKE
13312631635_10154583853771636,1899939056912576,LOVE
13312631635_10154583853771636,1946532985618868,LIKE
13312631635_10154583853771636,10155144963831971,LIKE
13312631635_10154583853771636,10155546050069443,LIKE
13312631635_10154583853771636,708897472643800,LIKE
13312631635_10154583853771636,10212114741520329,LIKE
13312631635_10154583853771636,10100600163217741,LIKE
13312631635_10154583853771636,1703739499928372,LIKE
13312631635_10154583853771636,327714067666003,LIKE
13312631635_10154583853771636,1848950998756168,LIKE
13312631635_10154583853771636,10211784344701626,WOW
13312631635_10154583853771636,10213590864070346,LIKE
13312631635_10154583853771636,10212815542374047,LIKE
13312631635_10154583853771636,308941842866502,WOW
13312631635_10154583853771636,10155422634049847,LIKE
13312631635_10154583853771636,10155134761893801,LIKE
13312631635_10154583853771636,1418657424895294,LIKE
13312631635_10154583853771636,246952565814008,LIKE
13312631635_10154583853771636,10155234454212254,LIKE
13312631635_10154583853771636,1551625318191255,LIKE
13312631635_10154583853771636,1713864171975155,LIKE
13312631635_10154583853771636,10213339686788408,LIKE
13312631635_10154583853771636,1782851041731705,LIKE
13312631635_10154583853771636,1730418937251350,LIKE
13312631635_10154583853771636,10156165527705190,LIKE
13312631635_10154583853771636,1651609151530656,LIKE
13312631635_10154583853771636,1870774566505567,LOVE
13312631635_10154583853771636,1571683816206950,LIKE
13312631635_10154583853771636,10209872416709119,LIKE
13312631635_10154583853771636,10155405434524876,LIKE
13312631635_10154583853771636,10212605658750183,LIKE
13312631635_10154583853771636,1089890274489231,LIKE
13312631635_10154583853771636,1724858130875111,LIKE
13312631635_10154583853771636,10155394290191788,LIKE
13312631635_10154583853771636,10158926953470564,LIKE
13312631635_10154583853771636,10154608407081835,LIKE
13312631635_10154583853771636,1375717622483634,WOW
13312631635_10154583853771636,10213041226126061,LIKE
13312631635_10154583853771636,822758111239138,LIKE
13312631635_10154583853771636,10159080082860604,SAD
13312631635_10154583853771636,10158887524660433,LIKE
13312631635_10154583853771636,851984668286556,LIKE
13312631635_10154583853771636,1946049872341072,LIKE
13312631635_10154583853771636,1958993921001118,LIKE
13312631635_10154583853771636,1886733361541446,LIKE
13312631635_10154583853771636,10156311036283154,LIKE
13312631635_10154583853771636,1597596823585328,LIKE
13312631635_10154583853771636,10159180341555268,LIKE
13312631635_10154583853771636,1509047552486281,LIKE
13312631635_10154583853771636,10155535203401992,LIKE
13312631635_10154583853771636,698026243723773,LIKE
13312631635_10154583853771636,10213081874031731,LIKE
13312631635_10154583853771636,1559460520773425,LIKE
13312631635_10154583853771636,10157527227074619,WOW
13312631635_10154583853771636,10159189772125647,LIKE
13312631635_10154583853771636,10155521534902560,WOW
13312631635_10154583853771636,10213781251469797,LIKE
13312631635_10154583853771636,10209031016443323,LOVE
13312631635_10154583853771636,858804614283700,LIKE
13312631635_10154583853771636,10203419331320587,LIKE
13312631635_10154583853771636,10212213486704665,LIKE
13312631635_10154583853771636,10212830601983343,LIKE
13312631635_10154583853771636,10214034574401310,LIKE
13312631635_10154583853771636,1402993879768938,LIKE
13312631635_10154583853771636,1922283434727136,LIKE
13312631635_10154583853771636,1386739238112268,LIKE
13312631635_10154583853771636,1591427850889038,LIKE
13312631635_10154583853771636,10154568952540933,LIKE
13312631635_10154583853771636,2334266346799350,LIKE
13312631635_10154583853771636,10155511228219036,LIKE
13312631635_10154583853771636,10155446473028917,LIKE
13312631635_10154583853771636,1694569727516384,LIKE
13312631635_10154583853771636,1582132525144200,LIKE
13312631635_10154583853771636,10211294877061527,LIKE
13312631635_10154583853771636,10158960561375494,LIKE
13312631635_10154583853771636,10209489283172578,LIKE
13312631635_10154583853771636,10155099364929475,WOW
13312631635_10154583853771636,10155315475930610,LIKE
13312631635_10154583853771636,10212491178586970,LIKE
13312631635_10154583853771636,10155439768970996,LIKE
13312631635_10154583853771636,10159016818410338,LIKE
13312631635_10154583853771636,10154539262471583,WOW
13312631635_10154583853771636,547631675627537,LIKE
13312631635_10154583853771636,1714190355549390,LIKE
13312631635_10154583853771636,10109462733802469,LIKE
13312631635_10154583853771636,10212107081805073,LIKE
13312631635_10154583853771636,2005770929436841,LIKE
13312631635_10154583853771636,10156338069362316,LIKE
13312631635_10154583853771636,1638612086150526,LIKE
13312631635_10154583853771636,398299367238027,LIKE
13312631635_10154583853771636,10156425513747501,LIKE
13312631635_10154583853771636,1755331637829045,LIKE
13312631635_10154583853771636,1414519868624125,LIKE
13312631635_10154583853771636,10155028471919220,LIKE
13312631635_10154583853771636,10154494551312015,LIKE
13312631635_10154583853771636,1848271142158208,HAHA
13312631635_10154583853771636,10155304124981427,LIKE
13312631635_10154583853771636,475380646154876,HAHA
13312631635_10154583853771636,1312773938831221,LIKE
13312631635_10154583853771636,1559796584071055,LIKE
13312631635_10154583853771636,1724842040877420,LIKE
13312631635_10154583853771636,1938007709774803,LIKE
13312631635_10154583853771636,1399063756844763,WOW
13312631635_10154583853771636,720331984838147,LIKE
13312631635_10154583853771636,1599339706765465,LIKE
13312631635_10154583853771636,1878642339128344,LIKE
13312631635_10154583853771636,10154478455111400,LIKE
13312631635_10154583853771636,1396331430403138,LIKE
13312631635_10154583853771636,10211942901680144,LIKE
13312631635_10154583853771636,1337985542989175,LIKE
13312631635_10154583853771636,692248737626367,LIKE
13312631635_10154583853771636,10213963671516361,LIKE
13312631635_10154583853771636,10212745906499449,LIKE
13312631635_10154583853771636,10155654753212125,LIKE
13312631635_10154583853771636,10209043257671022,LIKE
13312631635_10154583853771636,347538408998405,LIKE
13312631635_10154583853771636,10159289076885001,LIKE
13312631635_10154583853771636,1336019829768836,LIKE
13312631635_10154583853771636,10213725039940627,LIKE
13312631635_10154583853771636,1596974803678151,LIKE
13312631635_10154583853771636,10209379430067765,LIKE
13312631635_10154583853771636,1464362196983351,LIKE
13312631635_10154583853771636,1728411377182988,WOW
13312631635_10154583853771636,797608577078999,LIKE
13312631635_10154583853771636,928627747280225,LIKE
13312631635_10154583853771636,1564514196913493,LIKE
13312631635_10154583853771636,977977822345009,LIKE
13312631635_10154583853771636,10213174425173188,LIKE
13312631635_10154583853771636,875762739268073,LIKE
13312631635_10154583853771636,10214305626502824,LIKE
13312631635_10154583853771636,10213692684731610,LIKE
13312631635_10154583853771636,10211623820418305,LIKE
13312631635_10154583853771636,10209793419535784,LIKE
13312631635_10154583853771636,10158956033980273,LIKE
13312631635_10154583853771636,1799439366749619,LIKE
13312631635_10154583853771636,10155560245953054,LOVE
13312631635_10154583853771636,10155012065024690,LIKE
13312631635_10154583853771636,1934457173234825,LIKE
13312631635_10154583853771636,10158940070735472,LIKE
13312631635_10154583853771636,1588037784574241,WOW
13312631635_10154583853771636,1880787072137985,LIKE
13312631635_10154583853771636,1388033867940416,LIKE
13312631635_10154583853771636,10154767099131915,LIKE
13312631635_10154583853771636,465859417101971,LIKE
13312631635_10154583853771636,1382437545185776,LIKE
13312631635_10154583853771636,10155033325488778,LIKE
13312631635_10154583853771636,10213708760902651,LIKE
13312631635_10154583853771636,10212383881245837,LIKE
13312631635_10154583853771636,10209469673119288,LIKE
13312631635_10154583853771636,1491048920938039,LIKE
13312631635_10154583853771636,1310629989056865,LIKE
13312631635_10154583853771636,1582527718438331,LIKE
13312631635_10154583853771636,10156398274953146,LIKE
13312631635_10154583853771636,10154615326811606,LOVE
13312631635_10154583853771636,1415159901899073,LIKE
