parent_id,id,type
164665060214766_1678746845473239,1823417614340336,LIKE
164665060214766_1678746845473239,310708716067123,LIKE
164665060214766_1678746845473239,1996626230570115,SAD
164665060214766_1678746845473239,297093440753408,LIKE
164665060214766_1678746845473239,10155031904774006,WOW
164665060214766_1678746845473239,281341962332278,HAHA
164665060214766_1678746845473239,1382124195199964,LIKE
164665060214766_1678746845473239,10154792915920829,LIKE
164665060214766_1678746845473239,779847645518597,LIKE
164665060214766_1678746845473239,10209186960010831,ANGRY
164665060214766_1678746845473239,1930128590566124,WOW
164665060214766_1678746845473239,447947252232224,HAHA
164665060214766_1678746845473239,10213309607924986,ANGRY
164665060214766_1678746845473239,770257046489024,LIKE
164665060214766_1678746845473239,1867526256842201,LIKE
164665060214766_1678746845473239,10209486079649571,HAHA
164665060214766_1678746845473239,1459829967393754,LIKE
164665060214766_1678746845473239,447020235680787,LIKE
164665060214766_1678746845473239,10213760434192234,HAHA
164665060214766_1678746845473239,1359044887549630,LIKE
164665060214766_1678746845473239,10211241264002040,HAHA
164665060214766_1678746845473239,706950522839583,LIKE
164665060214766_1678746845473239,1405838842833769,LOVE
164665060214766_1678746845473239,10213886451340227,ANGRY
164665060214766_1678746845473239,1361852837237915,LIKE
164665060214766_1678746845473239,10154997792044565,LIKE
164665060214766_1678746845473239,10154419448326017,WOW
164665060214766_1678746845473239,1895153854029987,LIKE
164665060214766_1678746845473239,10210904766788823,LIKE
164665060214766_1678746845473239,1382206068515163,HAHA
164665060214766_1678746845473239,1421075331336933,LIKE
164665060214766_1678746845473239,1506022576087777,LIKE
164665060214766_1678746845473239,196496684212786,LIKE
164665060214766_1678746845473239,237230720117738,LIKE
164665060214766_1678746845473239,1453228528076084,LIKE
164665060214766_1678746845473239,10207165033684818,LIKE
164665060214766_1678746845473239,1865564443764132,LIKE
164665060214766_1678746845473239,200470453815574,LIKE
164665060214766_1678746845473239,1949486878642065,LIKE
164665060214766_1678746845473239,480977978918102,LIKE
164665060214766_1678746845473239,1909850689238072,HAHA
164665060214766_1678746845473239,10155248971128787,HAHA
164665060214766_1678746845473239,10208834099878798,ANGRY
164665060214766_1678746845473239,1488744677853047,ANGRY
164665060214766_1678746845473239,588053868249155,LIKE
164665060214766_1678746845473239,1388705961217713,ANGRY
164665060214766_1678746845473239,1518540984833661,ANGRY
164665060214766_1678746845473239,1389465501169347,LIKE
164665060214766_1678746845473239,1352782888105017,ANGRY
164665060214766_1678746845473239,10158934653900503,ANGRY
164665060214766_1678746845473239,472480766437400,LIKE
164665060214766_1678746845473239,1639140882786309,HAHA
164665060214766_1678746845473239,830015360505387,LIKE
164665060214766_1678746845473239,10212799632682348,LIKE
164665060214766_1678746845473239,10154855623135028,ANGRY
164665060214766_1678746845473239,1475848742458152,LIKE
164665060214766_1678746845473239,1839457589414623,WOW
164665060214766_1678746845473239,10156367837164832,HAHA
164665060214766_1678746845473239,960386247434850,LIKE
164665060214766_1678746845473239,10213280855916869,ANGRY
164665060214766_1678746845473239,10155350642024566,HAHA
164665060214766_1678746845473239,10154653407960770,LIKE
164665060214766_1678746845473239,1756482317695588,HAHA
164665060214766_1678746845473239,10154715318087304,LIKE
164665060214766_1678746845473239,1882311298757336,LIKE
164665060214766_1678746845473239,1500028423393077,LIKE
164665060214766_1678746845473239,10206830264514776,LIKE
164665060214766_1678746845473239,430492724004652,LIKE
164665060214766_1678746845473239,1313562395408147,LIKE
164665060214766_1678746845473239,10155064505134024,LOVE
164665060214766_1678746845473239,10156326634782926,ANGRY
164665060214766_1678746845473239,10214442094552897,LOVE
164665060214766_1678746845473239,1329287983845709,ANGRY
164665060214766_1678746845473239,10155276982086007,LIKE
164665060214766_1678746845473239,1453148894765000,ANGRY
164665060214766_1678746845473239,1468385829887966,LIKE
164665060214766_1678746845473239,1379197018824304,LIKE
164665060214766_1678746845473239,10154693480952286,LIKE
164665060214766_1678746845473239,1973678456212768,HAHA
164665060214766_1678746845473239,1373367306087982,HAHA
164665060214766_1678746845473239,10209303568128178,SAD
164665060214766_1678746845473239,941215189353945,ANGRY
164665060214766_1678746845473239,939466129537501,LIKE
164665060214766_1678746845473239,1992496260981892,LIKE
164665060214766_1678746845473239,10155350425614435,LIKE
164665060214766_1678746845473239,10213043593065141,LIKE
164665060214766_1678746845473239,10156477389894968,HAHA
164665060214766_1678746845473239,10154858307892810,LIKE
164665060214766_1678746845473239,1205297206241328,ANGRY
164665060214766_1678746845473239,10213612712582129,LIKE
164665060214766_1678746845473239,10211851261349666,LIKE
164665060214766_1678746845473239,1415291675214320,LIKE
164665060214766_1678746845473239,283385808794458,LIKE
164665060214766_1678746845473239,1993853934235220,LIKE
164665060214766_1678746845473239,2047593288802316,ANGRY
164665060214766_1678746845473239,1933540380224231,LIKE
164665060214766_1678746845473239,1435425726525854,ANGRY
164665060214766_1678746845473239,10155619292694284,LIKE
164665060214766_1678746845473239,1822823721367114,HAHA
164665060214766_1678746845473239,10212026469450779,LIKE
164665060214766_1678746845473239,184070158795284,LIKE
164665060214766_1678746845473239,1904759353095678,LIKE
164665060214766_1678746845473239,1170007143144874,LIKE
164665060214766_1678746845473239,488322481510239,LIKE
164665060214766_1678746845473239,1501036139953983,LIKE
164665060214766_1678746845473239,1869382136646716,LIKE
