parent_id,id,type
161385360554578_1256986674356242,10213721090847794,LIKE
161385360554578_1256986674356242,1606007692743208,HAHA
161385360554578_1256986674356242,522854741378810,HAHA
161385360554578_1256986674356242,1420418128049224,HAHA
161385360554578_1256986674356242,10210208708718222,LIKE
161385360554578_1256986674356242,10155437137038431,HAHA
161385360554578_1256986674356242,720533994805410,LIKE
161385360554578_1256986674356242,1658393947526893,LIKE
161385360554578_1256986674356242,279297455872287,HAHA
161385360554578_1256986674356242,1867789820104343,HAHA
161385360554578_1256986674356242,1367321470030810,LIKE
161385360554578_1256986674356242,1456132204470696,LIKE
161385360554578_1256986674356242,10213703987617942,LIKE
161385360554578_1256986674356242,1069589149838029,LIKE
161385360554578_1256986674356242,10209932367371859,LIKE
161385360554578_1256986674356242,1586136111418912,LIKE
161385360554578_1256986674356242,1818360158179124,LIKE
161385360554578_1256986674356242,10211169921581260,LIKE
