parent_id,id,type
143666524748_10155471410919749,1237905076316040,LIKE
143666524748_10155471410919749,479265882442339,LOVE
143666524748_10155471410919749,10155598237608701,LIKE
143666524748_10155471410919749,231522247367831,LIKE
143666524748_10155471410919749,10209970274560295,LIKE
143666524748_10155471410919749,1408149005899880,LOVE
143666524748_10155471410919749,174685279737664,LIKE
143666524748_10155471410919749,576203286100613,LIKE
143666524748_10155471410919749,2019857724892359,LIKE
143666524748_10155471410919749,1593661530707467,ANGRY
143666524748_10155471410919749,165516893989900,LOVE
143666524748_10155471410919749,10154534085990588,LIKE
143666524748_10155471410919749,1522383344490811,LOVE
143666524748_10155471410919749,1444310732304741,ANGRY
143666524748_10155471410919749,10209543442128125,LOVE
143666524748_10155471410919749,10154692202158365,LOVE
143666524748_10155471410919749,10209629575280861,LIKE
143666524748_10155471410919749,288305984975847,LOVE
143666524748_10155471410919749,856898321125348,ANGRY
143666524748_10155471410919749,466556663702022,LIKE
143666524748_10155471410919749,260713794414043,LIKE
143666524748_10155471410919749,767960626706063,ANGRY
143666524748_10155471410919749,1486926464702577,LIKE
143666524748_10155471410919749,10154439330406557,ANGRY
143666524748_10155471410919749,234580400394106,LIKE
143666524748_10155471410919749,182168188986274,LIKE
143666524748_10155471410919749,10155469622398126,ANGRY
143666524748_10155471410919749,1364777533606116,LIKE
143666524748_10155471410919749,10155037170968371,ANGRY
143666524748_10155471410919749,1610551465635771,LOVE
143666524748_10155471410919749,1995076977378871,LOVE
143666524748_10155471410919749,10209982025334000,LIKE
143666524748_10155471410919749,1389179397826039,LOVE
143666524748_10155471410919749,10154496836147553,LIKE
143666524748_10155471410919749,1403441009733180,LIKE
143666524748_10155471410919749,808611699293647,LIKE
143666524748_10155471410919749,1253703521402598,LIKE
143666524748_10155471410919749,1907622896146859,LIKE
143666524748_10155471410919749,1249272528514494,LIKE
143666524748_10155471410919749,1931536440433473,LIKE
143666524748_10155471410919749,235008833678944,LIKE
143666524748_10155471410919749,10209078058099154,LIKE
143666524748_10155471410919749,1703719396308432,LIKE
143666524748_10155471410919749,1669963939704969,HAHA
143666524748_10155471410919749,1771703392845127,LIKE
143666524748_10155471410919749,1509576875730582,LIKE
143666524748_10155471410919749,1393864883981999,LOVE
143666524748_10155471410919749,1517251785028331,WOW
143666524748_10155471410919749,736169489923762,LIKE
143666524748_10155471410919749,843101575855394,ANGRY
143666524748_10155471410919749,1356332627776786,LIKE
143666524748_10155471410919749,1527166580668090,LOVE
143666524748_10155471410919749,330571244064049,SAD
143666524748_10155471410919749,2043307059288951,ANGRY
143666524748_10155471410919749,2178437679049413,LIKE
143666524748_10155471410919749,10155250892544792,LIKE
143666524748_10155471410919749,1565243256827267,LIKE
143666524748_10155471410919749,1864207860510669,LIKE
143666524748_10155471410919749,10214038105093583,LIKE
143666524748_10155471410919749,754927931347974,LIKE
143666524748_10155471410919749,10210322515925675,LOVE
143666524748_10155471410919749,1914334925500821,LIKE
143666524748_10155471410919749,1532761436775025,LOVE
143666524748_10155471410919749,1794536073893418,LIKE
143666524748_10155471410919749,10154953921428843,LOVE
143666524748_10155471410919749,10156459901158986,LIKE
143666524748_10155471410919749,10211596877470552,LOVE
143666524748_10155471410919749,272645249881803,LIKE
143666524748_10155471410919749,1489580987769100,LOVE
143666524748_10155471410919749,1776891619268834,LIKE
143666524748_10155471410919749,1894529230797644,HAHA
143666524748_10155471410919749,1598484280176161,LIKE
143666524748_10155471410919749,1490425957718942,LOVE
143666524748_10155471410919749,10211155405975158,LOVE
143666524748_10155471410919749,1866419520275333,LOVE
143666524748_10155471410919749,284695455331389,LOVE
143666524748_10155471410919749,497685630563821,LOVE
143666524748_10155471410919749,10207628582312640,LIKE
143666524748_10155471410919749,1689996987694646,ANGRY
143666524748_10155471410919749,470062566675947,LIKE
143666524748_10155471410919749,743851319150986,ANGRY
143666524748_10155471410919749,10154816857976538,LOVE
143666524748_10155471410919749,1965107340387587,LIKE
143666524748_10155471410919749,10209018481971799,LOVE
143666524748_10155471410919749,489559624726569,LIKE
143666524748_10155471410919749,10156287850925130,ANGRY
143666524748_10155471410919749,10154769579823977,LIKE
143666524748_10155471410919749,692547677595504,LIKE
143666524748_10155471410919749,1697292376978416,LIKE
143666524748_10155471410919749,1738445282836653,LIKE
143666524748_10155471410919749,10155484279828711,ANGRY
143666524748_10155471410919749,935990443209635,LIKE
143666524748_10155471410919749,2023846057844154,HAHA
143666524748_10155471410919749,10213182912903473,LIKE
143666524748_10155471410919749,10209459002975314,ANGRY
143666524748_10155471410919749,10213255797258713,LIKE
143666524748_10155471410919749,10154764121403595,LIKE
143666524748_10155471410919749,1550071751731847,WOW
143666524748_10155471410919749,1710297702333455,LIKE
143666524748_10155471410919749,10211630553812554,LIKE
143666524748_10155471410919749,1894882110772246,LIKE
143666524748_10155471410919749,10212823659973893,ANGRY
143666524748_10155471410919749,10213786779569423,LIKE
143666524748_10155471410919749,702236539984333,ANGRY
143666524748_10155471410919749,1323312827785280,LIKE
143666524748_10155471410919749,10209594744012544,LIKE
143666524748_10155471410919749,10210132609336552,ANGRY
143666524748_10155471410919749,322556768188288,LIKE
143666524748_10155471410919749,1379058285475643,LIKE
143666524748_10155471410919749,787179301446831,LIKE
143666524748_10155471410919749,1503538119668389,LIKE
143666524748_10155471410919749,10154709695057023,LOVE
143666524748_10155471410919749,1551509621578434,ANGRY
143666524748_10155471410919749,1809554522707804,LIKE
143666524748_10155471410919749,1493972927330175,ANGRY
143666524748_10155471410919749,10211102243806837,LOVE
143666524748_10155471410919749,1419895438057169,ANGRY
143666524748_10155471410919749,1602440386434875,LIKE
143666524748_10155471410919749,1510664168953871,LIKE
143666524748_10155471410919749,1614038125297388,ANGRY
143666524748_10155471410919749,1576526589087061,ANGRY
143666524748_10155471410919749,1573426159356360,ANGRY
143666524748_10155471410919749,1914712072138746,LIKE
143666524748_10155471410919749,10154689073601451,LIKE
143666524748_10155471410919749,10213166569623381,LIKE
143666524748_10155471410919749,10213447673603936,ANGRY
143666524748_10155471410919749,1634484189917849,LIKE
143666524748_10155471410919749,502324586786513,LIKE
143666524748_10155471410919749,10155440479016197,LOVE
143666524748_10155471410919749,887958984678369,LIKE
143666524748_10155471410919749,10207144989982851,LIKE
143666524748_10155471410919749,450128018679978,LIKE
143666524748_10155471410919749,1642221062476261,LOVE
143666524748_10155471410919749,1404862912929098,LIKE
143666524748_10155471410919749,10210186995173223,LIKE
143666524748_10155471410919749,1930134693942844,LIKE
143666524748_10155471410919749,1811581408868873,ANGRY
143666524748_10155471410919749,1370605069713833,LOVE
143666524748_10155471410919749,205807369947277,LIKE
143666524748_10155471410919749,10155543183087878,LIKE
143666524748_10155471410919749,491502047851673,LIKE
143666524748_10155471410919749,10211905342781939,LIKE
143666524748_10155471410919749,10211867567218238,LIKE
143666524748_10155471410919749,469903193375788,LOVE
143666524748_10155471410919749,1707674899247276,LOVE
143666524748_10155471410919749,1321084794677221,LOVE
143666524748_10155471410919749,1591235464222474,LIKE
143666524748_10155471410919749,10154746178031705,ANGRY
143666524748_10155471410919749,10155009198519608,ANGRY
143666524748_10155471410919749,1755848311097885,LIKE
143666524748_10155471410919749,1642215072475519,LIKE
143666524748_10155471410919749,10155418421954763,HAHA
143666524748_10155471410919749,10213598960909922,LIKE
143666524748_10155471410919749,1603430213022584,ANGRY
143666524748_10155471410919749,10154436880721222,ANGRY
143666524748_10155471410919749,1450914038321860,LIKE
143666524748_10155471410919749,1893553357580238,ANGRY
143666524748_10155471410919749,10155478996277290,ANGRY
143666524748_10155471410919749,2000745713486762,ANGRY
143666524748_10155471410919749,1927134844166957,ANGRY
143666524748_10155471410919749,1529819953748420,ANGRY
143666524748_10155471410919749,10207991904269586,LIKE
143666524748_10155471410919749,10209784554715977,LIKE
143666524748_10155471410919749,1638324946208642,LIKE
143666524748_10155471410919749,1705968516130319,LIKE
143666524748_10155471410919749,259367707801741,LOVE
143666524748_10155471410919749,10155304641115490,LOVE
143666524748_10155471410919749,10155358676931380,LIKE
143666524748_10155471410919749,1888553898071731,ANGRY
143666524748_10155471410919749,10213912771513804,LIKE
143666524748_10155471410919749,10212242379548012,LIKE
143666524748_10155471410919749,1527492797308172,ANGRY
143666524748_10155471410919749,1607684119256499,LIKE
143666524748_10155471410919749,10209461881572363,LOVE
143666524748_10155471410919749,10203373705899893,ANGRY
143666524748_10155471410919749,1773351519346635,SAD
143666524748_10155471410919749,1696101733753176,ANGRY
143666524748_10155471410919749,10210868916331199,LIKE
143666524748_10155471410919749,1619951924684000,LOVE
143666524748_10155471410919749,1481793085224415,ANGRY
143666524748_10155471410919749,1960601930841845,ANGRY
143666524748_10155471410919749,1622457227766535,ANGRY
