id,message,created_time,permalink_url,type,updated_time,likes_count,shares_count,comments_count,topic,publisher,reactions_file,comments_file,storyname,reaction_like,reaction_sad,reaction_wow,reaction_angry,reaction_haha
228735667216_10154362591222217,MPs vote overwhelmingly to allow Theresa May to get #Brexit negotiations under way.,2017-02-01T19:45:40+0000,https://www.facebook.com/bbcnews/posts/10154362591222217,link,2017-03-01T20:35:55+0000,14731,3584,1151,A50_Commons,BBC,A50_Commons_BBC_reactions.csv,A50_Commons_BBC_comments.json,A50_Commons,14386,951,269,2240,207
164305410295882_1955517447841327,The Government has won backing to trigger Article 50,2017-02-08T20:43:37+0000,https://www.facebook.com/DailyMail/posts/1955517447841327,video,2017-02-12T14:49:22+0000,1118,126,94,A50_Commons,DailyMail,A50_Commons_DailyMail_reactions.csv,A50_Commons_DailyMail_comments.json,A50_Commons,1100,3,3,9,29
165348596842143_1434743636569293,BREAKING,2017-02-01T19:35:17+0000,https://www.facebook.com/eveningstandard/posts/1434743636569293,link,2017-02-03T07:48:43+0000,939,440,143,A50_Commons,EveningStandard,A50_Commons_EveningStandard_reactions.csv,A50_Commons_EveningStandard_comments.json,A50_Commons,916,70,34,217,26
8860325749_10154931960880750,The House of Commons has officially voted to allow Theresa May to start the Brexit process.,2017-02-01T19:40:51+0000,https://www.facebook.com/financialtimes/posts/10154931960880750,link,2017-02-02T19:38:49+0000,758,297,58,A50_Commons,FinancialTimes,A50_Commons_FinancialTimes_reactions.csv,A50_Commons_FinancialTimes_comments.json,A50_Commons,742,199,91,70,29
10513336322_10155060913051323,"""Two thirds or more of MPs think that Brexit is the wrong course. But, as Wednesday night’s vote confirmed, too many of them felt compelled to go through the lobbies in support of a bill that they believe, correctly in our view, will damage Britain. It is not they as individuals who have been found wanting. It is parliament.""",2017-02-09T10:15:00+0000,https://www.facebook.com/theguardian/posts/10155060913051323,link,2017-02-13T16:15:44+0000,675,270,187,A50_Commons,Guardian,A50_Commons_Guardian_reactions.csv,A50_Commons_Guardian_comments.json,A50_Commons,664,158,4,203,14
13312631635_10154475383436636,BREAKING,2017-02-08T20:23:16+0000,https://www.facebook.com/TheIndependentOnline/posts/10154475383436636,link,2017-02-14T23:44:12+0000,1316,768,332,A50_Commons,Independent,A50_Commons_Independent_reactions.csv,A50_Commons_Independent_comments.json,A50_Commons,1285,651,70,755,57
161385360554578_1777579698935128,Brexit begins...,2017-02-01T19:42:42+0000,https://www.facebook.com/thesun/posts/1777579698935128,link,2017-02-03T00:14:06+0000,3227,772,277,A50_Commons,Sun,A50_Commons_Sun_reactions.csv,A50_Commons_Sun_comments.json,A50_Commons,3182,14,20,100,53
228735667216_10154489308442217,Another step closer to Brexit.,2017-03-16T11:09:20+0000,https://www.facebook.com/bbcnews/posts/10154489308442217,link,2017-03-19T10:35:08+0000,8327,1497,681,A50_Lords,BBC,A50_Lords_BBC_reactions.csv,A50_Lords_BBC_comments.json,A50_Lords,8133,1698,193,322,99
164305410295882_2086621124730958,May can now trigger Article 50 within WEEKS!,2017-03-16T10:49:43+0000,https://www.facebook.com/DailyMail/posts/2086621124730958,video,2017-03-17T23:01:36+0000,905,185,79,A50_Lords,DailyMail,A50_Lords_DailyMail_reactions.csv,A50_Lords_DailyMail_comments.json,A50_Lords,889,9,28,11,7
1542228052683519_1835703543335967,It's OFFICIAL.,2017-03-13T22:18:15+0000,https://www.facebook.com/MirrorPolitics/posts/1835703543335967,video,2017-03-15T09:54:41+0000,32,20,20,A50_Lords,DailyMirror,A50_Lords_DailyMirror_reactions.csv,A50_Lords_DailyMirror_comments.json,A50_Lords,32,4,0,24,0
10513336322_10155182431186323,"If the House of Lords backs down and the bill becomes law, Theresa May is expected to trigger the article on Tuesday.",2017-03-13T14:15:00+0000,https://www.facebook.com/theguardian/posts/10155182431186323,link,2017-03-14T15:55:11+0000,175,42,50,A50_Lords,Guardian,A50_Lords_Guardian_reactions.csv,A50_Lords_Guardian_comments.json,A50_Lords,168,8,5,30,9
1021780787876833_1263368207051422,Job done.,2017-03-16T14:00:04+0000,https://www.facebook.com/SunPolitics/posts/1263368207051422,link,2017-03-16T16:57:59+0000,12,1,2,A50_Lords,Sun,A50_Lords_Sun_reactions.csv,A50_Lords_Sun_comments.json,A50_Lords,12,0,0,1,0
283348121682053_1727850623898455,How today's events unfolded in Westminster and Brussels.,2017-03-29T16:19:05+0000,https://www.facebook.com/BBCPolitics/posts/1727850623898455,link,2017-03-30T18:08:37+0000,115,21,13,A50_Triggered,BBC,A50_Triggered_BBC_reactions.csv,A50_Triggered_BBC_comments.json,A50_Triggered,110,1,0,3,1
164305410295882_2129505040442566,Brexit has FINALLY begun!,2017-03-29T07:45:10+0000,https://www.facebook.com/DailyMail/posts/2129505040442566,video,2017-03-29T11:28:53+0000,390,59,86,A50_Triggered,DailyMail,A50_Triggered_DailyMail_reactions.csv,A50_Triggered_DailyMail_comments.json,A50_Triggered,380,19,1,4,2
6013004059_10155238142339060,"As Prime Minister Theresa May triggers Article 50, the formal process for Brexit begins. Here's what you need to know",2017-03-29T09:36:26+0000,https://www.facebook.com/TheEconomist/videos/10155238142339060/,video,2017-04-06T09:30:00+0000,1488,774,91,A50_Triggered,Economist,A50_Triggered_Economist_reactions.csv,A50_Triggered_Economist_comments.json,A50_Triggered,1480,194,71,29,13
10513336322_10155243158406323,"With article 50 triggered, Brexit has officially begun. Now more than ever, the world needs independent journalism. Help us bring an in-depth perspective to the stories that matter - become a Guardian supporter: https://gu.com/support/facebook",2017-03-29T14:30:00+0000,https://www.facebook.com/theguardian/posts/10155243158406323:0,photo,2017-04-14T16:39:38+0000,300,61,48,A50_Triggered,Guardian,A50_Triggered_Guardian_reactions.csv,A50_Triggered_Guardian_comments.json,A50_Triggered,297,151,4,4,15
13312631635_10154638456676636,This is when Article 50 will be triggered,2017-03-29T10:25:19+0000,https://www.facebook.com/TheIndependentOnline/videos/10154638456676636/,video,2017-05-08T19:12:10+0000,2165,1867,1969,A50_Triggered,Independent,A50_Triggered_Independent_reactions.csv,A50_Triggered_Independent_comments.json,A50_Triggered,2119,1415,159,1390,197
164665060214766_1697013113646612,Donald Tusk has received the letter triggering #Article50 and starting the #Brexit process,2017-03-29T11:36:11+0000,https://www.facebook.com/skynews/posts/1697013113646612,link,2017-03-29T11:36:11+0000,889,201,115,A50_Triggered,Sky,A50_Triggered_Sky_reactions.csv,A50_Triggered_Sky_comments.json,A50_Triggered,870,68,8,22,23
161385360554578_1873230876036676,This is huge.,2017-03-29T11:33:31+0000,https://www.facebook.com/thesun/posts/1873230876036676,link,2017-03-30T10:56:06+0000,1481,302,119,A50_Triggered,Sun,A50_Triggered_Sun_reactions.csv,A50_Triggered_Sun_comments.json,A50_Triggered,1456,15,10,16,29
143666524748_10155472936824749,Theresa May fires the starting gun on Brexit with a pledge to get the right deal for 'every single person in this country’.,2017-03-28T21:29:19+0000,https://www.facebook.com/TELEGRAPH.CO.UK/posts/10155472936824749,link,2017-03-30T13:14:28+0000,1370,316,140,A50_Triggered,Telegraph,A50_Triggered_Telegraph_reactions.csv,A50_Triggered_Telegraph_comments.json,A50_Triggered,1348,56,18,118,15
283348121682053_1701316436551874,Key points from the Budget.,2017-03-08T13:38:18+0000,https://www.facebook.com/BBCPolitics/posts/1701316436551874,link,2017-03-10T08:37:38+0000,117,16,25,Budget,BBC,Budget_BBC_reactions.csv,Budget_BBC_comments.json,Budget,109,0,0,7,0
